id,Z-0_FA_AA,Z-1_FA_AA,Z-2_FA_AA,Z-3_FA_AA,Z-4_FA_AA,Z-5_FA_AA,Z-6_FA_AA,I-0_FA_AA,I-1_FA_AA,I-2_FA_AA,I-3_FA_AA,I-4_FA_AA,I-5_FA_AA,I-6_FA_AA,T-0_FA_AA,T-1_FA_AA,T-2_FA_AA,T-3_FA_AA,T-4_FA_AA,T-5_FA_AA,T-6_FA_AA,S-0_FA_AA,S-1_FA_AA,S-2_FA_AA,S-3_FA_AA,S-4_FA_AA,S-5_FA_AA,S-6_FA_AA,chi-0_FA_AA,chi-1_FA_AA,chi-2_FA_AA,chi-3_FA_AA,chi-4_FA_AA,chi-5_FA_AA,chi-6_FA_AA
ir_tbp_1_dft-py_1_dft-sime_1_dft-iacn_1_iodide_1_smi1_1_s_1,9384.0,12504.0,8938.0,12120.0,10084.0,4822.0,2148.0,36.0,74.0,130.0,152.0,178.0,194.0,174.0,204.0,502.0,706.0,814.0,818.0,786.0,790.0,14.061,33.881,50.322,62.119,69.481,62.524,47.506,214.032,469.545,815.2,931.58,1062.822,1188.638,1048.038
ir_tbp_1_dft-pet3_1_dft-oxaz_1_dft-co_1_chloride_1_smi1_1_s_1,7000.0,9686.0,8388.0,9808.0,6122.0,2344.0,1158.0,36.0,74.0,140.0,186.0,244.0,262.0,192.0,220.0,580.0,842.0,1052.0,1096.0,864.0,552.0,12.8,34.782,53.999,68.23,77.281,58.778,34.844,214.356,456.839,847.528,1086.009,1508.869,1538.253,1055.643
ir_tbp_1_dft-pme3_1_dft-py_1_dft-co_1_dft-oh_1_smi1_1_s_1,6670.0,6820.0,8012.0,6106.0,3534.0,1756.0,742.0,29.0,58.0,100.0,138.0,190.0,136.0,108.0,158.0,402.0,602.0,702.0,604.0,460.0,300.0,10.746,27.672,42.195,51.477,47.852,34.606,21.664,173.667,355.663,586.83,843.103,1138.91,820.556,596.923
ir_tbp_1_dft-pme3_1_dft-nme3_1_dft-hicn_1_dft-cn_1_smi1_1_s_1,6608.0,6426.0,9386.0,5798.0,2746.0,1238.0,198.0,32.0,62.0,114.0,158.0,266.0,194.0,198.0,176.0,448.0,696.0,884.0,852.0,590.0,198.0,10.734,27.593,44.378,60.618,61.201,43.443,19.028,181.341,371.815,644.336,918.524,1489.556,1168.112,958.32
ir_tbp_1_dft-ime_1_dft-sime_1_dft-iacn_1_dft-icn_1_smi1_1_s_1,6776.0,5602.0,8762.0,12280.0,7342.0,4538.0,3804.0,42.0,86.0,152.0,172.0,228.0,270.0,276.0,238.0,582.0,832.0,1018.0,1148.0,1172.0,1236.0,14.394,36.327,54.559,68.656,82.032,80.447,76.269,258.296,558.77,965.366,1082.859,1417.646,1716.749,1762.692
ir_tbp_1_dft-nme3_1_dft-nme3_1_dft-hicn_1_dft-itcn_1_smi1_1_s_1,6688.0,5252.0,9048.0,7796.0,3178.0,2576.0,806.0,33.0,64.0,116.0,160.0,272.0,208.0,236.0,180.0,456.0,708.0,912.0,924.0,680.0,236.0,11.196,26.478,42.268,60.862,63.452,54.368,31.397,192.443,403.874,713.822,962.733,1594.478,1221.782,1174.008
ir_tbp_1_dft-nme3_1_dft-sime_1_dft-iacn_1_dft-itcn_1_smi1_1_s_1,6848.0,5540.0,9042.0,11090.0,5926.0,4294.0,2942.0,40.0,80.0,146.0,178.0,262.0,250.0,280.0,226.0,560.0,822.0,1016.0,1098.0,1178.0,1004.0,13.587,33.117,51.031,68.245,77.107,74.917,70.462,235.712,508.243,906.492,1087.301,1555.262,1578.905,1609.454
ir_tbp_1_dft-pph3_1_dft-asme3_1_dft-iacn_1_dft-cn_1_smi1_1_s_1,8232.0,12840.0,13814.0,15366.0,15908.0,13890.0,9156.0,56.0,116.0,198.0,272.0,368.0,422.0,540.0,314.0,802.0,1218.0,1574.0,1866.0,2288.0,2436.0,20.942,54.904,86.431,114.582,138.918,160.664,165.842,319.612,692.071,1132.554,1559.043,2106.663,2536.482,3176.364
ir_tbp_1_dft-pyz_1_dft-iz_1_dft-hicn_1_bromide_1_smi1_1_s_1,7696.0,11402.0,9010.0,7946.0,3852.0,1268.0,402.0,24.0,54.0,94.0,118.0,118.0,94.0,58.0,162.0,478.0,654.0,646.0,516.0,312.0,128.0,11.077,30.14,47.021,50.438,42.064,24.93,11.041,155.39,357.279,636.922,761.528,760.475,575.392,335.695
ir_tbp_1_dft-phos_1_dft-sime_1_dft-iacn_1_dft-sh_1_smi1_1_s_1,7008.0,8262.0,8358.0,10196.0,7390.0,3564.0,2116.0,37.0,76.0,132.0,158.0,188.0,212.0,206.0,208.0,514.0,730.0,858.0,902.0,878.0,828.0,13.968,35.64,53.026,63.752,70.662,65.32,50.631,214.007,468.135,794.372,934.062,1096.415,1232.23,1204.106
ir_tbp_1_dft-sime_1_dft-sime_1_dft-hicn_1_dft-no2_1_smi1_1_s_1,6768.0,8028.0,8378.0,11228.0,7894.0,3664.0,2124.0,41.0,88.0,162.0,196.0,262.0,328.0,204.0,264.0,704.0,1002.0,1304.0,1498.0,1160.0,932.0,13.764,38.874,57.876,73.695,89.555,79.959,50.545,257.124,584.476,1059.761,1303.332,1663.612,2114.32,1274.64
ir_tbp_1_dft-asme3_1_dft-nme3_1_dft-co_1_dft-sh_1_smi1_1_s_1,7658.0,11332.0,10532.0,7216.0,2932.0,972.0,162.0,31.0,60.0,112.0,156.0,260.0,180.0,162.0,172.0,440.0,684.0,856.0,782.0,504.0,162.0,11.003,28.461,45.53,61.469,59.344,35.266,15.568,174.802,356.262,631.088,902.856,1440.493,1052.568,784.08
ir_tbp_1_dft-ime_1_dft-iz_1_dft-co_1_dft-no2_1_smi1_1_s_1,6702.0,7918.0,7838.0,9072.0,5340.0,2420.0,1146.0,30.0,66.0,112.0,134.0,164.0,172.0,110.0,192.0,520.0,714.0,842.0,882.0,608.0,382.0,11.765,32.598,46.644,55.349,60.391,46.358,26.855,203.151,456.684,782.44,935.588,1122.379,1167.954,675.3
ir_tbp_1_dft-pme3_1_dft-iz_1_dft-co_1_fluoride_1_smi1_1_s_1,6662.0,8132.0,7112.0,6012.0,2480.0,908.0,342.0,26.0,54.0,96.0,124.0,180.0,76.0,84.0,156.0,410.0,606.0,668.0,512.0,336.0,192.0,9.881,27.281,40.057,46.526,41.291,20.927,14.21,164.231,340.968,608.126,781.389,1145.943,461.815,462.924
ir_tbp_1_dft-pph3_1_dft-py_1_dft-co_1_dft-oh_1_smi1_1_s_1,7216.0,8188.0,10460.0,13204.0,13878.0,11044.0,7132.0,50.0,106.0,172.0,246.0,286.0,352.0,420.0,278.0,720.0,1094.0,1362.0,1558.0,1804.0,1812.0,19.316,49.572,76.63,99.433,115.711,131.373,130.563,300.245,657.073,1050.69,1472.038,1744.223,2211.404,2563.354
ir_tbp_1_dft-pet3_1_dft-iz_1_dft-iacn_1_dft-cn_1_smi1_1_s_1,6804.0,6918.0,9360.0,10072.0,6190.0,3558.0,2060.0,40.0,80.0,144.0,188.0,242.0,316.0,280.0,224.0,566.0,812.0,1020.0,1186.0,1144.0,886.0,13.658,35.288,54.787,70.084,81.331,79.547,59.452,231.113,488.503,833.374,1072.983,1432.658,1860.692,1607.207
ir_tbp_1_dft-pph3_1_dft-pph3_1_dft-co_1_chloride_1_smi1_1_s_1,8094.0,12290.0,14714.0,20888.0,25224.0,22908.0,16332.0,72.0,154.0,254.0,366.0,438.0,576.0,744.0,408.0,1064.0,1640.0,2106.0,2562.0,3216.0,3636.0,28.354,73.253,116.148,156.817,197.519,245.983,265.086,422.044,933.734,1511.622,2129.645,2601.675,3524.904,4517.7
ir_tbp_1_dft-ime_1_dft-oxaz_1_dft-iacn_1_chloride_1_smi1_1_s_1,6854.0,6912.0,7512.0,9904.0,5760.0,2798.0,1870.0,33.0,68.0,120.0,130.0,152.0,164.0,160.0,188.0,458.0,636.0,690.0,712.0,722.0,708.0,12.347,30.662,45.521,53.617,58.316,50.482,41.69,206.091,445.378,784.997,825.042,966.763,1074.304,974.545
ir_tbp_1_dft-pyz_1_dft-pph3_1_dft-co_1_dft-itcn_1_smi1_1_s_1,7504.0,8306.0,11402.0,15862.0,15190.0,12562.0,9190.0,50.0,106.0,170.0,240.0,286.0,362.0,434.0,276.0,710.0,1078.0,1362.0,1590.0,1864.0,1882.0,20.799,51.362,78.568,103.591,124.367,145.635,149.241,303.871,662.617,1048.562,1441.375,1745.281,2281.889,2676.832
ir_tbp_1_dft-pme3_1_dft-py_1_dft-hicn_1_dft-icn_1_smi1_1_s_1,6740.0,6832.0,8696.0,7638.0,4302.0,2588.0,1234.0,31.0,62.0,104.0,142.0,202.0,160.0,162.0,166.0,418.0,626.0,754.0,718.0,608.0,390.0,11.851,29.917,45.161,57.0,57.255,47.789,32.821,186.82,383.151,612.521,853.797,1204.477,988.021,940.108
ir_tbp_1_dft-asme3_1_dft-ime_1_dft-co_1_dft-sh_1_smi1_1_s_1,7778.0,11490.0,10292.0,9350.0,5790.0,2674.0,882.0,33.0,66.0,118.0,150.0,224.0,184.0,170.0,184.0,462.0,692.0,838.0,818.0,724.0,494.0,12.476,32.24,49.645,61.76,65.647,50.391,33.697,192.208,402.403,685.546,895.648,1296.187,1117.94,958.848
ir_tbp_1_dft-pet3_1_dft-ime_1_dft-iacn_1_dft-cch_1_smi1_1_s_1,6868.0,6978.0,9804.0,12028.0,7902.0,4608.0,3118.0,47.0,94.0,170.0,214.0,296.0,388.0,386.0,264.0,658.0,944.0,1250.0,1514.0,1592.0,1460.0,15.233,39.722,61.557,81.785,100.476,101.79,87.557,265.578,568.8,980.77,1224.978,1725.481,2245.167,2223.091
ir_tbp_1_dft-pet3_1_dft-sime_1_dft-co_1_dft-cn_1_smi1_1_s_1,6858.0,6894.0,10036.0,11104.0,7562.0,4224.0,2406.0,44.0,88.0,166.0,222.0,298.0,370.0,316.0,254.0,652.0,966.0,1252.0,1410.0,1310.0,1072.0,14.411,37.678,60.114,80.408,95.793,91.384,68.211,254.727,535.395,959.845,1284.066,1756.917,2169.624,1892.916
ir_tbp_1_dft-oxaz_1_dft-phos_1_dft-hicn_1_dft-no2_1_smi1_1_s_1,6828.0,9376.0,8058.0,8106.0,4852.0,2136.0,990.0,28.0,62.0,104.0,132.0,152.0,118.0,98.0,180.0,494.0,680.0,770.0,700.0,498.0,324.0,11.805,33.134,48.016,54.602,52.545,36.283,23.08,184.624,414.249,700.626,854.717,1026.421,778.142,589.428
ir_tbp_1_dft-pph3_1_dft-ime_1_dft-iacn_1_dft-itcn_1_smi1_1_s_1,7568.0,8404.0,11882.0,18538.0,16554.0,13822.0,11344.0,59.0,124.0,206.0,268.0,338.0,442.0,560.0,330.0,832.0,1238.0,1586.0,1952.0,2384.0,2654.0,22.606,56.704,86.867,114.993,144.765,172.562,189.126,348.164,770.468,1254.302,1595.725,2042.644,2735.489,3422.8
ir_tbp_1_dft-iz_1_dft-iz_1_dft-iacn_1_chloride_1_smi1_1_s_1,6762.0,6818.0,6868.0,7670.0,3886.0,1854.0,1106.0,26.0,54.0,88.0,98.0,96.0,98.0,96.0,142.0,348.0,480.0,452.0,436.0,442.0,392.0,10.869,26.391,38.235,41.186,39.515,32.783,25.315,166.294,360.658,592.232,618.007,636.65,653.262,579.402
ir_tbp_1_dft-iz_1_dft-py_1_dft-hicn_1_chloride_1_smi1_1_s_1,6748.0,7694.0,7340.0,7250.0,3348.0,1450.0,634.0,25.0,54.0,90.0,116.0,118.0,98.0,76.0,150.0,408.0,580.0,604.0,500.0,366.0,228.0,10.802,28.084,42.244,47.672,42.19,28.638,16.902,158.715,353.161,601.239,732.143,758.488,611.613,438.19
ir_tbp_1_dft-iz_1_dft-nme3_1_dft-co_1_fluoride_1_smi1_1_s_1,6486.0,6612.0,6488.0,5820.0,2240.0,876.0,342.0,26.0,54.0,96.0,124.0,180.0,76.0,84.0,156.0,410.0,606.0,668.0,512.0,336.0,192.0,9.24,24.689,36.125,45.475,39.808,20.48,14.21,168.676,357.713,663.903,790.059,1162.926,469.295,462.924
ir_tbp_1_dft-oxaz_1_dft-sime_1_dft-iacn_1_fluoride_1_smi1_1_s_1,6648.0,6782.0,8342.0,8866.0,4786.0,2504.0,1484.0,35.0,74.0,140.0,166.0,198.0,198.0,188.0,220.0,584.0,864.0,952.0,936.0,850.0,678.0,11.824,32.301,50.707,60.003,60.326,51.436,40.528,221.625,484.802,934.148,1063.914,1298.315,1278.272,1091.069
ir_tbp_1_dft-pyz_1_dft-asme3_1_dft-co_1_iodide_1_smi1_1_s_1,10290.0,18398.0,13338.0,9172.0,6056.0,2524.0,576.0,27.0,56.0,98.0,128.0,188.0,88.0,90.0,160.0,416.0,608.0,710.0,554.0,376.0,240.0,12.293,31.535,47.828,55.854,53.519,28.202,17.432,161.925,345.812,590.4,782.44,1105.06,527.82,490.032
ir_tbp_1_dft-pyz_1_dft-ime_1_dft-co_1_dft-no2_1_smi1_1_s_1,6738.0,7988.0,7908.0,9160.0,6394.0,2870.0,1406.0,31.0,68.0,114.0,138.0,172.0,186.0,116.0,196.0,526.0,716.0,884.0,928.0,660.0,410.0,12.298,33.677,47.709,58.34,64.151,51.781,29.925,209.654,467.533,794.965,970.402,1156.235,1269.306,723.186
ir_tbp_1_dft-pyz_1_dft-pme3_1_dft-hicn_1_fluoride_1_smi1_1_s_1,6684.0,6972.0,7776.0,6208.0,3642.0,1646.0,748.0,28.0,56.0,96.0,126.0,178.0,118.0,122.0,152.0,380.0,560.0,644.0,566.0,464.0,290.0,10.579,27.011,40.474,48.911,45.245,33.124,22.34,172.981,348.017,581.882,794.159,1099.062,730.668,664.187
ir_tbp_1_dft-pyz_1_dft-iz_1_dft-hicn_1_dft-icn_1_smi1_1_s_1,6620.0,6346.0,7860.0,8298.0,3416.0,2252.0,1160.0,26.0,56.0,90.0,118.0,130.0,122.0,94.0,152.0,412.0,598.0,654.0,584.0,438.0,238.0,11.109,28.699,42.466,49.896,47.2,38.118,22.668,174.206,379.459,617.561,768.239,874.986,798.852,600.579
ir_tbp_1_dft-asme3_1_dft-sime_1_dft-iacn_1_fluoride_1_smi1_1_s_1,7628.0,10512.0,9530.0,9646.0,6566.0,3306.0,1538.0,38.0,76.0,142.0,170.0,244.0,210.0,226.0,218.0,540.0,784.0,932.0,942.0,996.0,894.0,12.685,33.608,51.501,62.951,67.944,59.183,51.055,224.663,466.775,845.215,1050.276,1466.996,1330.943,1295.636
ir_tbp_1_dft-pme3_1_dft-phos_1_dft-hicn_1_chloride_1_smi1_1_s_1,7056.0,9616.0,9052.0,7338.0,4066.0,1868.0,774.0,29.0,58.0,100.0,134.0,184.0,120.0,128.0,158.0,398.0,588.0,670.0,584.0,486.0,332.0,12.06,30.857,47.25,57.238,53.243,35.308,24.204,164.782,338.221,552.673,772.784,1036.842,720.404,688.471
ir_tbp_1_dft-pme3_1_dft-py_1_dft-iacn_1_dft-no2_1_smi1_1_s_1,6806.0,9446.0,8792.0,8060.0,5090.0,2534.0,1196.0,34.0,72.0,126.0,164.0,246.0,162.0,162.0,212.0,570.0,814.0,1030.0,940.0,742.0,554.0,12.479,35.468,52.174,65.527,67.074,48.188,35.71,208.333,457.993,782.059,1051.453,1543.507,1023.273,907.025
ir_tbp_1_dft-pph3_1_dft-asme3_1_dft-co_1_dft-sh_1_smi1_1_s_1,8380.0,14220.0,14004.0,14746.0,15256.0,13440.0,8418.0,52.0,108.0,184.0,264.0,356.0,390.0,468.0,292.0,758.0,1176.0,1510.0,1718.0,1998.0,2040.0,20.214,52.953,84.113,111.701,131.978,145.212,142.883,296.933,640.927,1048.861,1509.198,2027.626,2322.426,2731.437
ir_tbp_1_dft-pyz_1_dft-py_1_dft-hicn_1_iodide_1_smi1_1_s_1,9304.0,14232.0,10228.0,9232.0,5584.0,2392.0,790.0,26.0,58.0,100.0,130.0,132.0,110.0,78.0,172.0,502.0,684.0,714.0,584.0,412.0,216.0,12.227,32.265,50.446,56.387,48.143,32.799,17.84,162.307,373.03,654.339,820.266,814.77,657.588,448.942
ir_tbp_1_dft-pet3_1_dft-asme3_1_dft-iacn_1_dft-cn_1_smi1_1_s_1,7800.0,11760.0,12002.0,11244.0,7550.0,4050.0,1716.0,44.0,86.0,162.0,218.0,326.0,374.0,384.0,248.0,628.0,924.0,1244.0,1458.0,1430.0,1014.0,14.547,38.917,62.058,83.288,97.749,92.231,67.386,241.582,496.996,870.633,1206.402,1818.423,2139.855,2080.131
ir_tbp_1_dft-nme3_1_dft-nme3_1_dft-co_1_dft-cn_1_smi1_1_s_1,6446.0,4904.0,9080.0,5172.0,2632.0,1188.0,162.0,31.0,60.0,112.0,156.0,260.0,180.0,162.0,172.0,440.0,684.0,856.0,782.0,504.0,162.0,9.929,24.488,40.213,56.929,57.127,39.73,15.568,183.538,377.224,682.374,939.089,1503.656,1119.096,784.08
ir_tbp_1_dft-pph3_1_dft-iz_1_dft-iacn_1_dft-cch_1_smi1_1_s_1,7224.0,7998.0,11030.0,14292.0,13906.0,11498.0,8020.0,53.0,112.0,182.0,244.0,290.0,382.0,482.0,294.0,748.0,1118.0,1382.0,1682.0,2072.0,2204.0,20.178,51.756,79.669,102.352,123.914,147.177,153.259,311.243,692.299,1104.359,1427.679,1730.11,2342.781,2887.609
ir_tbp_1_dft-pet3_1_dft-asme3_1_dft-co_1_dft-no2_1_smi1_1_s_1,7868.0,14410.0,12922.0,11132.0,7032.0,3120.0,954.0,41.0,84.0,160.0,232.0,372.0,342.0,288.0,258.0,712.0,1082.0,1518.0,1560.0,1152.0,612.0,13.995,40.953,65.597,88.431,100.879,76.095,43.691,240.316,508.626,902.512,1401.212,2254.005,2032.197,1526.184
ir_tbp_1_dft-ime_1_dft-iz_1_dft-co_1_bromide_1_smi1_1_s_1,7750.0,10774.0,7702.0,9536.0,6484.0,2196.0,986.0,28.0,60.0,102.0,116.0,140.0,136.0,90.0,168.0,430.0,602.0,676.0,662.0,484.0,362.0,11.829,30.245,43.794,49.789,54.896,38.73,22.763,179.004,399.366,689.152,750.172,903.323,874.166,523.94
ir_tbp_1_dft-nme3_1_dft-sime_1_dft-iacn_1_dft-cn_1_smi1_1_s_1,6592.0,7350.0,11006.0,7706.0,4306.0,2206.0,720.0,39.0,82.0,160.0,220.0,332.0,290.0,284.0,256.0,736.0,1192.0,1458.0,1396.0,1048.0,524.0,12.485,35.645,59.963,82.64,85.501,66.796,38.452,229.056,519.681,1002.095,1353.442,1978.01,1726.531,1447.248
ir_tbp_1_dft-pyz_1_dft-asme3_1_dft-iacn_1_bromide_1_smi1_1_s_1,8730.0,14502.0,11392.0,9622.0,6642.0,3188.0,1158.0,31.0,62.0,108.0,132.0,184.0,136.0,152.0,170.0,416.0,590.0,680.0,638.0,620.0,500.0,12.69,31.606,47.451,57.468,57.572,43.951,33.22,182.041,379.12,636.397,796.985,1069.334,832.242,852.997
ir_tbp_1_dft-pph3_1_dft-py_1_dft-iacn_1_dft-cn_1_smi1_1_s_1,7260.0,8056.0,11238.0,14292.0,14858.0,11956.0,8354.0,54.0,114.0,186.0,254.0,298.0,382.0,476.0,300.0,764.0,1136.0,1424.0,1686.0,2038.0,2174.0,20.711,52.864,81.214,105.712,126.786,149.284,155.546,317.746,700.649,1120.95,1494.946,1783.364,2353.352,2888.429
ir_tbp_1_dft-pyz_1_dft-py_1_dft-hicn_1_dft-no2_1_smi1_1_s_1,6672.0,8912.0,7850.0,7876.0,4512.0,2086.0,920.0,28.0,64.0,110.0,144.0,160.0,122.0,90.0,194.0,574.0,792.0,878.0,746.0,488.0,280.0,11.67,33.885,49.998,58.566,54.01,36.394,21.782,188.14,435.584,788.585,977.861,1085.978,781.335,534.572
ir_tbp_1_dft-oxaz_1_dft-py_1_dft-hicn_1_dft-icn_1_smi1_1_s_1,6624.0,6368.0,7920.0,8494.0,3654.0,2346.0,1254.0,28.0,60.0,102.0,134.0,148.0,138.0,114.0,168.0,456.0,666.0,738.0,664.0,514.0,302.0,11.262,29.529,44.482,53.051,50.674,41.236,26.173,183.739,398.825,686.555,849.828,976.761,893.375,711.025
ir_tbp_1_dft-iz_1_dft-sime_1_dft-co_1_fluoride_1_smi1_1_s_1,6608.0,6794.0,6354.0,8266.0,4800.0,1808.0,1034.0,30.0,64.0,114.0,134.0,160.0,164.0,98.0,184.0,476.0,678.0,770.0,754.0,552.0,418.0,10.906,29.373,42.398,49.428,52.428,39.288,24.573,195.763,426.294,781.327,873.652,1044.391,1091.614,568.82
ir_tbp_1_dft-pyz_1_dft-nme3_1_dft-co_1_dft-itcn_1_smi1_1_s_1,6782.0,6342.0,8884.0,8926.0,3592.0,2738.0,1102.0,29.0,60.0,106.0,148.0,216.0,154.0,108.0,172.0,468.0,714.0,872.0,716.0,450.0,188.0,11.588,28.929,44.59,60.086,58.96,43.802,23.899,181.739,389.172,686.726,940.985,1316.459,951.036,609.336
ir_tbp_1_dft-pyz_1_dft-pme3_1_dft-hicn_1_dft-cch_1_smi1_1_s_1,6676.0,6594.0,8544.0,6476.0,3998.0,1954.0,904.0,30.0,60.0,100.0,134.0,196.0,158.0,156.0,160.0,400.0,598.0,728.0,700.0,584.0,342.0,11.416,28.98,43.789,54.845,54.824,43.816,27.493,174.986,365.95,582.071,798.358,1123.733,939.515,840.731
ir_tbp_1_dft-pph3_1_dft-sime_1_dft-hicn_1_dft-icn_1_smi1_1_s_1,7340.0,8226.0,11718.0,16582.0,15724.0,12774.0,9504.0,58.0,122.0,206.0,280.0,352.0,448.0,544.0,328.0,842.0,1284.0,1640.0,1962.0,2324.0,2486.0,21.406,55.085,85.973,114.619,141.867,165.144,172.605,346.839,761.506,1257.13,1664.981,2120.577,2776.786,3352.404
ir_tbp_1_dft-iz_1_dft-py_1_dft-iacn_1_dft-itcn_1_smi1_1_s_1,6838.0,6536.0,8076.0,10192.0,4696.0,3226.0,2278.0,30.0,64.0,106.0,132.0,144.0,152.0,138.0,176.0,466.0,658.0,734.0,720.0,634.0,470.0,12.626,31.734,46.519,54.937,56.256,51.286,39.783,187.312,417.083,696.415,832.008,926.924,964.3,807.779
