id,Z-0_FR_AA,Z-1_FR_AA,Z-2_FR_AA,Z-3_FR_AA,Z-4_FR_AA,Z-5_FR_AA,Z-6_FR_AA,I-0_FR_AA,I-1_FR_AA,I-2_FR_AA,I-3_FR_AA,I-4_FR_AA,I-5_FR_AA,I-6_FR_AA,T-0_FR_AA,T-1_FR_AA,T-2_FR_AA,T-3_FR_AA,T-4_FR_AA,T-5_FR_AA,T-6_FR_AA,S-0_FR_AA,S-1_FR_AA,S-2_FR_AA,S-3_FR_AA,S-4_FR_AA,S-5_FR_AA,S-6_FR_AA,chi-0_FR_AA,chi-1_FR_AA,chi-2_FR_AA,chi-3_FR_AA,chi-4_FR_AA,chi-5_FR_AA,chi-6_FR_AA
ir_tbp_1_dft-py_1_dft-sime_1_dft-iacn_1_iodide_1_smi1_1_s_1,36.0,180.3,326.0,569.6,1576.0,1235.1,496.6,36.0,74.0,130.0,152.0,178.0,194.0,174.0,36.0,113.7,172.5,219.7,270.1,250.9,253.3,36.0,89.427,153.957,191.476,247.52,269.551,222.323,36.0,74.888,132.412,153.706,179.579,197.423,177.28
ir_tbp_1_dft-pet3_1_dft-oxaz_1_dft-co_1_chloride_1_smi1_1_s_1,36.0,194.1,393.3,1135.8,1499.5,776.0,391.5,36.0,74.0,140.0,186.0,244.0,262.0,192.0,36.0,124.2,209.1,291.7,384.9,373.5,276.0,36.0,91.791,172.945,246.584,335.257,335.153,226.023,36.0,75.302,142.233,188.123,249.473,268.005,194.342
ir_tbp_1_dft-pme3_1_dft-py_1_dft-co_1_dft-oh_1_smi1_1_s_1,29.0,156.3,400.6,1128.7,587.7,434.6,247.9,29.0,58.0,100.0,138.0,190.0,136.0,108.0,29.0,87.0,139.7,229.0,248.9,188.5,151.7,29.0,71.587,129.555,194.911,229.88,172.039,131.815,29.0,59.061,101.236,139.794,194.63,139.547,109.268
ir_tbp_1_dft-pme3_1_dft-nme3_1_dft-hicn_1_dft-cn_1_smi1_1_s_1,32.0,179.2,368.2,1737.3,602.5,634.3,198.0,32.0,62.0,114.0,158.0,266.0,194.0,198.0,32.0,104.5,159.8,293.8,346.5,338.0,198.0,32.0,78.67,141.136,239.448,319.533,267.667,198.0,32.0,62.872,115.53,159.228,268.235,199.214,198.0
ir_tbp_1_dft-ime_1_dft-sime_1_dft-iacn_1_dft-icn_1_smi1_1_s_1,42.0,215.8,341.6,471.6,1940.6,603.8,703.7,42.0,86.0,152.0,172.0,228.0,270.0,276.0,42.0,134.1,193.0,245.4,338.6,362.8,378.7,42.0,104.228,174.85,211.42,308.929,327.407,340.439,42.0,87.184,155.128,174.318,230.364,274.338,284.234
ir_tbp_1_dft-nme3_1_dft-nme3_1_dft-hicn_1_dft-itcn_1_smi1_1_s_1,33.0,183.6,299.0,1738.6,550.2,636.7,503.2,33.0,64.0,116.0,160.0,272.0,208.0,236.0,33.0,106.5,160.5,294.0,346.5,375.5,236.0,33.0,80.815,133.656,240.757,314.831,283.622,267.964,33.0,65.085,118.299,161.245,276.779,211.652,236.483
ir_tbp_1_dft-nme3_1_dft-sime_1_dft-iacn_1_dft-itcn_1_smi1_1_s_1,40.0,213.0,347.6,1102.3,1434.3,644.7,898.2,40.0,80.0,146.0,178.0,262.0,250.0,280.0,40.0,131.9,194.2,289.3,355.6,355.8,499.8,40.0,99.169,168.536,240.122,331.156,311.224,383.051,40.0,81.107,149.025,179.731,264.903,256.47,284.036
ir_tbp_1_dft-pph3_1_dft-asme3_1_dft-iacn_1_dft-cn_1_smi1_1_s_1,56.0,268.2,716.6,1340.7,1521.7,1702.5,1727.2,56.0,116.0,198.0,272.0,368.0,422.0,540.0,56.0,165.2,265.7,399.0,484.7,581.0,818.5,56.0,139.227,247.815,353.212,459.113,544.655,701.161,56.0,116.87,199.549,274.052,369.751,426.219,545.632
ir_tbp_1_dft-pyz_1_dft-iz_1_dft-hicn_1_bromide_1_smi1_1_s_1,24.0,145.2,394.1,699.7,559.9,284.7,128.3,24.0,54.0,94.0,118.0,118.0,94.0,58.0,24.0,74.5,137.8,174.8,168.0,130.7,74.2,24.0,63.27,115.982,153.94,154.852,119.668,69.273,24.0,55.008,95.611,119.876,119.983,95.613,59.028
ir_tbp_1_dft-phos_1_dft-sime_1_dft-iacn_1_dft-sh_1_smi1_1_s_1,37.0,195.2,404.8,588.8,1506.9,825.0,495.8,37.0,76.0,132.0,158.0,188.0,212.0,206.0,37.0,114.4,173.9,223.7,275.8,289.2,287.2,37.0,93.078,160.283,201.932,258.891,290.53,254.078,37.0,76.782,134.176,159.88,189.762,214.042,209.291
ir_tbp_1_dft-sime_1_dft-sime_1_dft-hicn_1_dft-no2_1_smi1_1_s_1,41.0,234.1,348.5,566.6,1934.6,913.7,545.9,41.0,88.0,162.0,196.0,262.0,328.0,204.0,41.0,140.0,212.7,286.7,425.3,449.0,285.3,41.0,107.384,186.068,239.422,345.33,409.948,253.853,41.0,89.553,165.593,198.479,265.951,340.538,210.505
ir_tbp_1_dft-asme3_1_dft-nme3_1_dft-co_1_dft-sh_1_smi1_1_s_1,31.0,184.0,594.7,1716.8,945.3,515.2,162.0,31.0,60.0,112.0,156.0,260.0,180.0,162.0,31.0,102.5,159.0,293.5,345.5,301.5,162.0,31.0,77.512,144.325,239.613,335.085,232.87,162.0,31.0,60.828,113.507,157.391,262.677,184.836,162.0
ir_tbp_1_dft-ime_1_dft-iz_1_dft-co_1_dft-no2_1_smi1_1_s_1,30.0,172.8,247.0,461.6,1031.2,495.4,291.9,30.0,66.0,112.0,134.0,164.0,172.0,110.0,30.0,94.0,143.7,188.5,245.2,242.7,151.3,30.0,78.416,127.94,162.364,209.402,215.253,137.606,30.0,67.437,114.494,135.93,167.528,179.713,113.102
ir_tbp_1_dft-pme3_1_dft-iz_1_dft-co_1_fluoride_1_smi1_1_s_1,26.0,149.8,307.9,1083.5,595.7,237.0,192.8,26.0,54.0,96.0,124.0,180.0,76.0,84.0,26.0,84.9,133.6,224.4,217.9,120.5,121.5,26.0,67.036,121.05,176.155,215.375,101.714,102.235,26.0,55.344,97.729,126.544,187.948,77.791,85.277
ir_tbp_1_dft-pph3_1_dft-py_1_dft-co_1_dft-oh_1_smi1_1_s_1,50.0,229.3,485.4,760.8,1254.6,1311.2,1190.1,50.0,106.0,172.0,246.0,286.0,352.0,420.0,50.0,135.0,232.2,328.5,383.7,475.0,575.7,50.0,124.264,210.156,301.382,358.242,437.297,519.883,50.0,107.192,174.03,248.327,289.174,357.56,426.816
ir_tbp_1_dft-pet3_1_dft-iz_1_dft-iacn_1_dft-cn_1_smi1_1_s_1,40.0,209.8,415.5,1071.3,1543.6,779.8,685.4,40.0,80.0,144.0,188.0,242.0,316.0,280.0,40.0,127.9,208.2,274.4,378.4,444.4,399.4,40.0,99.01,178.486,246.965,324.936,392.62,348.529,40.0,81.0,145.822,189.386,244.288,320.658,284.683
ir_tbp_1_dft-pph3_1_dft-pph3_1_dft-co_1_chloride_1_smi1_1_s_1,72.0,304.8,591.0,928.5,1881.8,2333.6,2268.6,72.0,154.0,254.0,366.0,438.0,576.0,744.0,72.0,197.8,343.8,489.0,592.5,781.0,1008.0,72.0,178.991,306.259,443.067,543.679,731.12,931.11,72.0,155.039,256.287,368.689,440.955,581.473,752.935
ir_tbp_1_dft-ime_1_dft-oxaz_1_dft-iacn_1_chloride_1_smi1_1_s_1,33.0,168.7,287.9,570.2,1269.7,550.4,417.4,33.0,68.0,120.0,130.0,152.0,164.0,160.0,33.0,105.6,155.3,186.8,223.0,216.2,248.2,33.0,81.994,139.395,165.825,208.944,215.656,203.431,33.0,69.121,122.932,131.96,154.142,168.617,163.369
ir_tbp_1_dft-pyz_1_dft-pph3_1_dft-co_1_dft-itcn_1_smi1_1_s_1,50.0,221.5,413.8,729.7,1220.1,1218.4,1215.3,50.0,106.0,170.0,240.0,286.0,362.0,434.0,50.0,134.0,224.9,317.2,381.5,481.2,592.4,50.0,122.907,204.247,290.664,353.54,441.722,536.716,50.0,106.963,172.091,242.09,288.314,366.402,439.95
ir_tbp_1_dft-pme3_1_dft-py_1_dft-hicn_1_dft-icn_1_smi1_1_s_1,31.0,160.8,346.2,1193.9,585.4,508.6,385.0,31.0,62.0,104.0,142.0,202.0,160.0,162.0,31.0,91.0,141.2,230.7,253.9,238.7,210.7,31.0,75.602,131.824,199.065,242.178,209.426,195.733,31.0,62.928,105.024,143.513,205.383,162.893,165.599
ir_tbp_1_dft-asme3_1_dft-ime_1_dft-co_1_dft-sh_1_smi1_1_s_1,33.0,187.8,590.4,1073.5,1138.1,767.8,469.0,33.0,66.0,118.0,150.0,224.0,184.0,170.0,33.0,104.7,158.0,249.3,305.7,262.3,288.5,33.0,82.694,150.738,210.173,291.861,246.798,221.56,33.0,66.816,119.508,151.871,226.496,188.686,172.936
ir_tbp_1_dft-pet3_1_dft-ime_1_dft-iacn_1_dft-cch_1_smi1_1_s_1,47.0,245.5,456.3,1086.4,2086.6,981.8,976.0,47.0,94.0,170.0,214.0,296.0,388.0,386.0,47.0,152.9,236.0,310.3,457.9,540.5,584.1,47.0,116.921,206.63,278.928,403.428,486.351,486.739,47.0,94.973,172.159,215.659,298.387,392.471,392.313
ir_tbp_1_dft-pet3_1_dft-sime_1_dft-co_1_dft-cn_1_smi1_1_s_1,44.0,231.2,448.2,1022.6,1999.9,926.7,847.7,44.0,88.0,166.0,222.0,298.0,370.0,316.0,44.0,146.7,242.2,336.3,479.3,525.5,461.5,44.0,109.371,202.838,286.054,400.815,459.516,396.366,44.0,88.988,168.256,224.235,300.588,375.703,324.943
ir_tbp_1_dft-oxaz_1_dft-phos_1_dft-hicn_1_dft-no2_1_smi1_1_s_1,28.0,158.8,276.0,733.7,687.7,400.2,243.0,28.0,62.0,104.0,132.0,152.0,118.0,98.0,28.0,86.1,137.4,190.0,205.8,164.7,136.3,28.0,73.565,125.19,168.32,193.441,151.118,120.966,28.0,63.314,106.514,134.309,156.763,121.71,100.297
ir_tbp_1_dft-pph3_1_dft-ime_1_dft-iacn_1_dft-itcn_1_smi1_1_s_1,59.0,270.5,475.5,692.2,1943.6,1472.0,1475.8,59.0,124.0,206.0,268.0,338.0,442.0,560.0,59.0,169.4,265.5,355.8,458.2,591.5,758.3,59.0,146.316,243.718,324.68,431.317,548.25,687.836,59.0,125.065,208.708,270.283,340.454,446.289,567.194
ir_tbp_1_dft-iz_1_dft-iz_1_dft-iacn_1_chloride_1_smi1_1_s_1,26.0,133.9,233.7,539.7,724.0,325.6,253.9,26.0,54.0,88.0,98.0,96.0,98.0,96.0,26.0,74.8,115.7,137.0,128.2,127.0,144.7,26.0,64.011,104.902,126.482,128.392,128.695,123.645,26.0,55.083,89.763,99.503,97.491,100.853,97.579
ir_tbp_1_dft-iz_1_dft-py_1_dft-hicn_1_chloride_1_smi1_1_s_1,25.0,140.5,307.0,642.9,593.3,283.8,182.9,25.0,54.0,90.0,116.0,118.0,98.0,76.0,25.0,72.3,127.1,168.3,165.1,131.2,104.7,25.0,63.678,110.046,149.136,153.472,125.734,94.342,25.0,54.99,91.422,117.614,120.21,100.05,77.172
ir_tbp_1_dft-iz_1_dft-nme3_1_dft-co_1_fluoride_1_smi1_1_s_1,26.0,152.9,234.5,1081.8,578.4,221.2,192.8,26.0,54.0,96.0,124.0,180.0,76.0,84.0,26.0,84.9,133.6,224.4,217.9,120.5,121.5,26.0,67.007,111.008,175.861,213.029,99.686,102.235,26.0,55.473,98.091,126.56,188.058,78.002,85.277
ir_tbp_1_dft-oxaz_1_dft-sime_1_dft-iacn_1_fluoride_1_smi1_1_s_1,35.0,196.1,336.5,982.4,1165.6,534.5,468.1,35.0,74.0,140.0,166.0,198.0,198.0,188.0,35.0,119.8,192.8,263.7,298.8,286.1,296.1,35.0,90.814,162.679,219.061,255.591,245.81,234.825,35.0,75.5,143.611,169.163,204.194,205.259,191.535
ir_tbp_1_dft-pyz_1_dft-asme3_1_dft-co_1_iodide_1_smi1_1_s_1,27.0,150.0,495.8,1129.8,1168.0,381.4,190.1,27.0,56.0,98.0,128.0,188.0,88.0,90.0,27.0,87.2,134.3,226.9,232.1,133.5,129.0,27.0,68.45,127.551,182.093,254.187,119.824,108.71,27.0,56.939,99.263,129.549,192.249,89.222,90.617
ir_tbp_1_dft-pyz_1_dft-ime_1_dft-co_1_dft-no2_1_smi1_1_s_1,31.0,173.8,249.1,468.4,1065.1,509.6,297.8,31.0,68.0,114.0,138.0,172.0,186.0,116.0,31.0,96.3,144.3,191.0,259.8,257.0,158.2,31.0,80.469,129.941,166.271,221.018,229.272,143.608,31.0,69.354,116.556,139.93,175.84,193.942,118.993
ir_tbp_1_dft-pyz_1_dft-pme3_1_dft-hicn_1_fluoride_1_smi1_1_s_1,28.0,148.1,320.8,1163.6,577.8,344.8,240.7,28.0,56.0,96.0,126.0,178.0,118.0,122.0,28.0,85.2,131.6,215.7,219.4,177.7,164.7,28.0,69.202,122.055,180.999,213.226,154.63,143.723,28.0,57.103,97.675,128.274,184.435,120.836,122.872
ir_tbp_1_dft-pyz_1_dft-iz_1_dft-hicn_1_dft-icn_1_smi1_1_s_1,26.0,144.9,307.6,629.0,475.6,281.1,233.7,26.0,56.0,90.0,118.0,130.0,122.0,94.0,26.0,71.5,120.2,165.2,176.8,163.8,123.3,26.0,65.295,108.349,148.669,157.981,148.576,115.261,26.0,57.124,91.611,119.966,132.155,124.49,96.566
ir_tbp_1_dft-asme3_1_dft-sime_1_dft-iacn_1_fluoride_1_smi1_1_s_1,38.0,208.2,574.5,1100.7,1450.1,924.0,658.3,38.0,76.0,142.0,170.0,244.0,210.0,226.0,38.0,129.2,192.6,286.4,335.9,292.4,428.0,38.0,95.691,177.456,233.179,311.15,276.706,303.109,38.0,77.208,144.729,172.74,249.91,218.154,229.522
ir_tbp_1_dft-pme3_1_dft-phos_1_dft-hicn_1_chloride_1_smi1_1_s_1,29.0,146.3,349.7,1203.8,775.4,439.1,278.9,29.0,58.0,100.0,134.0,184.0,120.0,128.0,29.0,88.2,139.6,227.8,226.3,182.6,172.3,29.0,71.089,129.615,193.794,245.714,161.863,153.837,29.0,58.713,100.822,135.2,186.234,122.234,128.964
ir_tbp_1_dft-pme3_1_dft-py_1_dft-iacn_1_dft-no2_1_smi1_1_s_1,34.0,193.5,369.5,1156.5,966.8,570.8,415.3,34.0,72.0,126.0,164.0,246.0,162.0,162.0,34.0,111.7,166.7,273.3,326.3,238.7,259.2,34.0,88.423,155.278,220.444,304.415,213.712,206.875,34.0,73.235,127.907,166.277,253.925,166.901,163.867
ir_tbp_1_dft-pph3_1_dft-asme3_1_dft-co_1_dft-sh_1_smi1_1_s_1,52.0,253.9,748.7,1359.9,1406.8,1579.0,1590.0,52.0,108.0,184.0,264.0,356.0,390.0,468.0,52.0,150.5,251.5,393.5,473.7,534.0,697.5,52.0,130.217,233.786,347.773,452.672,502.045,611.349,52.0,108.831,185.233,265.987,358.241,394.375,473.002
ir_tbp_1_dft-pyz_1_dft-py_1_dft-hicn_1_iodide_1_smi1_1_s_1,26.0,151.9,420.3,771.1,705.7,416.6,222.4,26.0,58.0,100.0,130.0,132.0,110.0,78.0,26.0,79.8,146.5,189.5,189.2,152.5,103.3,26.0,68.075,124.551,169.563,176.544,140.126,96.763,26.0,58.832,101.461,131.613,133.871,111.342,79.09
ir_tbp_1_dft-pet3_1_dft-asme3_1_dft-iacn_1_dft-cn_1_smi1_1_s_1,44.0,238.2,693.8,1662.8,1795.9,1290.0,854.5,44.0,86.0,162.0,218.0,326.0,374.0,384.0,44.0,148.8,236.2,353.0,489.8,578.0,584.2,44.0,109.227,210.127,304.779,435.388,491.706,467.082,44.0,86.87,163.152,219.454,327.804,379.217,388.115
ir_tbp_1_dft-nme3_1_dft-nme3_1_dft-co_1_dft-cn_1_smi1_1_s_1,31.0,175.3,287.0,1656.5,503.2,607.8,162.0,31.0,60.0,112.0,156.0,260.0,180.0,162.0,31.0,102.5,159.0,293.5,345.5,301.5,162.0,31.0,75.924,128.877,233.917,301.218,245.955,162.0,31.0,60.955,114.463,157.124,263.428,186.735,162.0
ir_tbp_1_dft-pph3_1_dft-iz_1_dft-iacn_1_dft-cch_1_smi1_1_s_1,53.0,245.9,446.3,826.4,1442.2,1314.8,1334.6,53.0,112.0,182.0,244.0,290.0,382.0,482.0,53.0,146.4,238.5,320.7,380.7,506.0,665.3,53.0,131.789,218.914,300.144,365.411,475.63,604.115,53.0,112.991,184.157,245.899,291.625,385.343,486.96
ir_tbp_1_dft-pet3_1_dft-asme3_1_dft-co_1_dft-no2_1_smi1_1_s_1,41.0,237.4,670.6,1650.2,1811.4,1169.9,568.1,41.0,84.0,160.0,232.0,372.0,342.0,288.0,41.0,143.7,236.0,399.1,571.5,536.2,409.5,41.0,106.157,206.836,315.831,489.98,443.348,335.481,41.0,85.322,162.05,234.568,381.911,351.498,291.008
ir_tbp_1_dft-ime_1_dft-iz_1_dft-co_1_bromide_1_smi1_1_s_1,28.0,150.6,242.8,457.6,1073.2,664.3,210.7,28.0,60.0,102.0,116.0,140.0,136.0,90.0,28.0,87.2,131.7,167.1,210.5,178.5,131.3,28.0,71.338,118.452,145.378,188.461,186.036,111.619,28.0,61.187,104.011,117.582,142.367,140.64,91.07
ir_tbp_1_dft-nme3_1_dft-sime_1_dft-iacn_1_dft-cn_1_smi1_1_s_1,39.0,234.0,384.6,1847.9,969.8,856.7,466.1,39.0,82.0,160.0,220.0,332.0,290.0,284.0,39.0,136.3,224.2,403.7,494.8,489.5,374.0,39.0,101.974,183.241,307.925,409.465,384.968,317.361,39.0,83.234,163.051,221.835,337.358,296.693,285.19
ir_tbp_1_dft-pyz_1_dft-asme3_1_dft-iacn_1_bromide_1_smi1_1_s_1,31.0,161.3,517.5,1148.2,1125.5,642.8,370.7,31.0,62.0,108.0,132.0,184.0,136.0,152.0,31.0,98.0,145.1,220.9,230.9,197.2,245.2,31.0,76.201,138.889,188.498,245.678,188.143,192.431,31.0,62.825,109.45,133.399,186.685,138.694,153.396
ir_tbp_1_dft-pph3_1_dft-py_1_dft-iacn_1_dft-cn_1_smi1_1_s_1,54.0,246.9,450.7,770.3,1460.8,1366.8,1322.2,54.0,114.0,186.0,254.0,298.0,382.0,476.0,54.0,149.7,246.4,334.6,397.7,511.6,652.7,54.0,133.841,223.838,308.971,374.436,473.821,593.875,54.0,114.876,188.096,255.891,299.689,385.505,481.675
ir_tbp_1_dft-pyz_1_dft-py_1_dft-hicn_1_dft-no2_1_smi1_1_s_1,28.0,171.4,323.4,669.4,595.7,364.7,218.5,28.0,64.0,110.0,144.0,160.0,122.0,90.0,28.0,86.2,147.3,204.6,223.4,166.2,121.2,28.0,75.334,129.62,176.925,197.523,150.466,111.046,28.0,65.316,111.873,146.768,164.709,125.086,91.736
ir_tbp_1_dft-oxaz_1_dft-py_1_dft-hicn_1_dft-icn_1_smi1_1_s_1,28.0,156.3,339.2,738.2,592.5,330.3,285.9,28.0,60.0,102.0,134.0,148.0,138.0,114.0,28.0,82.2,140.4,192.8,206.8,190.6,155.3,28.0,70.924,123.095,170.427,182.52,169.778,140.276,28.0,61.141,104.004,136.21,150.695,141.123,117.204
ir_tbp_1_dft-iz_1_dft-sime_1_dft-co_1_fluoride_1_smi1_1_s_1,30.0,168.9,260.0,488.6,1177.4,478.2,235.3,30.0,64.0,114.0,134.0,160.0,164.0,98.0,30.0,97.7,152.9,199.8,250.2,211.5,148.7,30.0,77.749,132.504,167.102,210.876,201.544,122.737,30.0,65.504,116.695,136.383,163.926,172.756,99.157
ir_tbp_1_dft-pyz_1_dft-nme3_1_dft-co_1_dft-itcn_1_smi1_1_s_1,29.0,164.6,338.7,1123.3,531.0,401.6,371.0,29.0,60.0,106.0,148.0,216.0,154.0,108.0,29.0,90.2,147.8,253.1,300.0,213.4,133.6,29.0,72.65,124.798,201.802,257.826,192.69,144.069,29.0,60.982,108.099,149.796,219.825,157.571,109.744
ir_tbp_1_dft-pyz_1_dft-pme3_1_dft-hicn_1_dft-cch_1_smi1_1_s_1,30.0,160.5,340.3,1246.7,582.6,454.9,291.4,30.0,60.0,100.0,134.0,196.0,158.0,156.0,30.0,88.0,133.2,218.5,247.0,234.5,202.3,30.0,73.552,126.913,191.561,239.114,209.354,180.842,30.0,60.785,101.131,135.279,198.11,160.59,156.99
ir_tbp_1_dft-pph3_1_dft-sime_1_dft-hicn_1_dft-icn_1_smi1_1_s_1,58.0,268.5,482.1,787.5,1910.9,1477.6,1459.7,58.0,122.0,206.0,280.0,352.0,448.0,544.0,58.0,167.2,273.2,383.5,484.6,599.8,747.8,58.0,144.139,245.18,341.75,447.197,554.753,672.836,58.0,123.208,208.657,282.671,354.931,452.634,552.008
ir_tbp_1_dft-iz_1_dft-py_1_dft-iacn_1_dft-itcn_1_smi1_1_s_1,30.0,165.3,341.9,594.9,778.6,380.1,384.2,30.0,64.0,106.0,132.0,144.0,152.0,138.0,30.0,87.2,141.4,182.0,200.4,209.7,197.8,30.0,75.809,127.562,163.796,181.37,188.298,178.624,30.0,64.985,107.732,133.7,145.889,155.062,139.663
ir_tbp_1_dft-pme3_1_dft-pme3_1_dft-iacn_1_dft-oh_1_smi1_1_s_1,35.0,192.4,528.9,1725.1,949.7,630.5,390.0,35.0,68.0,126.0,164.0,272.0,212.0,240.0,35.0,117.2,173.2,299.0,354.8,359.8,321.0,35.0,87.065,166.26,250.236,342.171,280.201,268.062,35.0,69.088,127.105,165.809,276.61,215.71,240.786
ir_tbp_1_dft-pet3_1_dft-py_1_dft-co_1_dft-cch_1_smi1_1_s_1,39.0,202.6,405.1,1138.2,1381.3,809.7,590.5,39.0,78.0,138.0,194.0,250.0,310.0,260.0,39.0,120.5,203.4,283.8,389.9,435.8,347.4,39.0,96.29,172.823,254.578,332.053,383.725,315.107,39.0,78.83,139.418,195.295,252.661,314.803,263.635
ir_tbp_1_dft-pyz_1_dft-ime_1_dft-hicn_1_chloride_1_smi1_1_s_1,30.0,151.1,245.4,529.7,1064.6,467.3,329.0,30.0,62.0,102.0,120.0,146.0,150.0,132.0,30.0,87.4,129.8,169.2,213.5,196.2,188.5,30.0,73.583,118.911,151.58,197.98,193.305,165.562,30.0,62.99,104.121,121.452,148.2,153.824,134.132
