id,Z-0_FS_AA,Z-1_FS_AA,Z-2_FS_AA,Z-3_FS_AA,Z-4_FS_AA,Z-5_FS_AA,Z-6_FS_AA,I-0_FS_AA,I-1_FS_AA,I-2_FS_AA,I-3_FS_AA,I-4_FS_AA,I-5_FS_AA,I-6_FS_AA,T-0_FS_AA,T-1_FS_AA,T-2_FS_AA,T-3_FS_AA,T-4_FS_AA,T-5_FS_AA,T-6_FS_AA,S-0_FS_AA,S-1_FS_AA,S-2_FS_AA,S-3_FS_AA,S-4_FS_AA,S-5_FS_AA,S-6_FS_AA,chi-0_FS_AA,chi-1_FS_AA,chi-2_FS_AA,chi-3_FS_AA,chi-4_FS_AA,chi-5_FS_AA,chi-6_FS_AA
ir_tbp_1_dft-pph3_1_dft-pme3_1_dft-iacn_1_dft-itcn_1_smi1_1_s_1,616.0,1886.0,3290.0,5238.0,5758.0,5800.0,5594.0,114.0,236.0,400.0,548.0,748.0,872.0,1144.0,236.0,636.0,984.0,1368.0,1674.0,2076.0,2536.0,63.82,160.96,262.04,362.76,463.0,557.96,668.24,271.68,578.32,960.98,1316.52,1796.56,2142.68,2774.76
ir_tbp_1_dft-asme3_1_dft-oxaz_1_dft-iacn_1_chloride_1_smi1_1_s_1,428.0,1398.0,2478.0,3576.0,2584.0,1498.0,942.0,62.0,124.0,228.0,272.0,368.0,268.0,328.0,124.0,352.0,520.0,664.0,648.0,612.0,616.0,33.62,85.46,144.2,181.58,202.12,156.54,148.08,149.72,308.22,557.64,666.66,896.7,671.78,781.26
ir_tbp_1_dft-py_1_dft-sime_1_dft-iacn_1_iodide_1_smi1_1_s_1,496.0,1392.0,2116.0,3064.0,4558.0,3176.0,1442.0,72.0,148.0,260.0,304.0,356.0,388.0,348.0,148.0,408.0,596.0,712.0,798.0,760.0,752.0,39.96,99.24,158.32,193.72,230.48,232.24,188.0,174.44,373.0,652.32,752.08,868.34,962.4,856.82
ir_tbp_1_dft-pet3_1_dft-oxaz_1_dft-co_1_chloride_1_smi1_1_s_1,424.0,1514.0,2172.0,3730.0,3888.0,1946.0,990.0,72.0,148.0,280.0,372.0,488.0,524.0,384.0,148.0,440.0,684.0,904.0,1084.0,964.0,672.0,38.06,100.66,171.32,229.1,288.28,257.74,165.66,173.94,368.3,687.78,897.32,1214.74,1273.42,900.72
ir_tbp_1_dft-pme3_1_dft-py_1_dft-co_1_dft-oh_1_smi1_1_s_1,368.0,1204.0,2060.0,3126.0,1794.0,1192.0,630.0,58.0,116.0,200.0,276.0,380.0,272.0,216.0,116.0,316.0,488.0,680.0,670.0,504.0,372.0,31.46,79.7,130.92,178.3,190.42,140.92,99.0,140.52,287.9,483.84,680.68,932.04,670.22,508.2
ir_tbp_1_dft-pme3_1_dft-nme3_1_dft-hicn_1_dft-cn_1_smi1_1_s_1,360.0,1208.0,2198.0,4156.0,1770.0,1432.0,396.0,64.0,124.0,228.0,316.0,532.0,388.0,396.0,124.0,352.0,544.0,848.0,920.0,784.0,396.0,32.68,82.44,138.72,213.28,255.6,200.28,122.76,151.42,304.08,542.38,761.18,1257.42,957.76,871.2
ir_tbp_1_dft-ime_1_dft-sime_1_dft-iacn_1_dft-icn_1_smi1_1_s_1,452.0,1426.0,2146.0,2998.0,4944.0,2258.0,2250.0,84.0,172.0,304.0,344.0,456.0,540.0,552.0,172.0,476.0,688.0,848.0,1068.0,1124.0,1140.0,44.66,112.58,177.18,217.18,286.26,298.1,295.74,206.46,438.56,767.32,862.88,1133.7,1361.12,1402.2
ir_tbp_1_dft-nme3_1_dft-nme3_1_dft-hicn_1_dft-itcn_1_smi1_1_s_1,376.0,1190.0,2056.0,4270.0,1770.0,1704.0,1042.0,66.0,128.0,232.0,320.0,544.0,416.0,472.0,128.0,360.0,552.0,864.0,960.0,888.0,472.0,34.06,83.08,133.52,214.44,258.52,225.92,174.44,158.28,322.12,575.98,783.16,1318.92,1011.94,1052.84
ir_tbp_1_dft-nme3_1_dft-sime_1_dft-iacn_1_dft-itcn_1_smi1_1_s_1,432.0,1356.0,2178.0,3716.0,3794.0,2194.0,2272.0,80.0,160.0,292.0,356.0,524.0,500.0,560.0,160.0,452.0,668.0,908.0,1060.0,1080.0,1212.0,41.72,103.84,166.44,227.84,287.88,278.16,299.52,192.86,403.58,728.84,878.46,1274.64,1262.62,1346.52
ir_tbp_1_dft-pph3_1_dft-asme3_1_dft-iacn_1_dft-cn_1_smi1_1_s_1,620.0,1984.0,3672.0,5224.0,5824.0,6032.0,5316.0,112.0,232.0,396.0,544.0,736.0,844.0,1080.0,232.0,628.0,976.0,1352.0,1634.0,1984.0,2412.0,61.96,158.4,261.48,359.2,453.0,536.64,620.76,266.5,567.0,947.54,1302.94,1758.26,2070.56,2622.6
ir_tbp_1_dft-pyz_1_dft-iz_1_dft-hicn_1_bromide_1_smi1_1_s_1,408.0,1494.0,2272.0,2636.0,1780.0,818.0,328.0,48.0,108.0,188.0,236.0,236.0,188.0,116.0,108.0,324.0,512.0,570.0,508.0,356.0,178.0,29.58,79.86,134.5,157.7,145.48,99.8,51.48,121.12,278.46,489.8,599.56,599.4,465.5,279.28
ir_tbp_1_dft-phos_1_dft-sime_1_dft-iacn_1_dft-sh_1_smi1_1_s_1,440.0,1400.0,2162.0,2850.0,4064.0,2306.0,1442.0,74.0,152.0,264.0,316.0,376.0,424.0,412.0,152.0,416.0,612.0,744.0,854.0,866.0,822.0,40.62,103.44,164.76,201.56,238.96,247.76,208.0,176.98,377.3,648.74,768.86,907.14,1021.84,998.16
ir_tbp_1_dft-sime_1_dft-sime_1_dft-hicn_1_dft-no2_1_smi1_1_s_1,444.0,1748.0,2148.0,3104.0,5080.0,2552.0,1528.0,82.0,176.0,324.0,392.0,524.0,656.0,408.0,176.0,528.0,784.0,1012.0,1340.0,1248.0,848.0,43.06,117.76,189.52,240.72,317.52,333.6,208.08,203.14,453.68,829.52,1006.76,1317.0,1676.24,1026.4
ir_tbp_1_dft-asme3_1_dft-nme3_1_dft-co_1_dft-sh_1_smi1_1_s_1,404.0,1366.0,2666.0,4290.0,2322.0,1152.0,324.0,62.0,120.0,224.0,312.0,520.0,360.0,324.0,120.0,344.0,536.0,832.0,880.0,684.0,324.0,32.04,81.74,140.54,212.82,256.1,169.56,100.44,146.18,292.76,531.94,750.06,1223.4,874.44,712.8
ir_tbp_1_dft-ime_1_dft-iz_1_dft-co_1_dft-no2_1_smi1_1_s_1,404.0,1574.0,1850.0,2496.0,3006.0,1494.0,816.0,60.0,132.0,224.0,268.0,328.0,344.0,220.0,132.0,384.0,560.0,676.0,800.0,668.0,412.0,34.46,93.14,142.66,173.14,205.4,183.88,111.84,154.14,347.6,592.12,704.78,857.02,903.66,547.44
ir_tbp_1_dft-pme3_1_dft-iz_1_dft-co_1_fluoride_1_smi1_1_s_1,356.0,1326.0,1806.0,3004.0,1612.0,654.0,426.0,52.0,108.0,192.0,248.0,360.0,152.0,168.0,108.0,312.0,472.0,648.0,580.0,340.0,276.0,28.54,76.6,124.22,161.38,172.7,84.4,71.88,128.68,272.22,480.78,621.82,912.58,375.98,395.22
ir_tbp_1_dft-pph3_1_dft-py_1_dft-co_1_dft-oh_1_smi1_1_s_1,560.0,1720.0,2840.0,3882.0,4974.0,4816.0,3972.0,100.0,212.0,344.0,492.0,572.0,704.0,840.0,212.0,556.0,884.0,1160.0,1348.0,1620.0,1776.0,57.08,144.74,231.48,312.34,368.68,438.58,477.18,243.42,528.5,851.1,1201.84,1411.08,1765.94,2078.4
ir_tbp_1_dft-pet3_1_dft-iz_1_dft-iacn_1_dft-cn_1_smi1_1_s_1,428.0,1398.0,2350.0,3688.0,4052.0,2310.0,1750.0,80.0,160.0,288.0,376.0,484.0,632.0,560.0,160.0,448.0,684.0,880.0,1128.0,1212.0,1016.0,41.8,106.12,175.2,232.88,292.44,323.56,266.28,191.1,395.74,693.14,896.94,1176.7,1534.92,1344.7
ir_tbp_1_dft-pph3_1_dft-pph3_1_dft-co_1_chloride_1_smi1_1_s_1,768.0,2286.0,3836.0,5638.0,8232.0,9084.0,8136.0,144.0,308.0,508.0,732.0,876.0,1152.0,1488.0,308.0,816.0,1312.0,1752.0,2136.0,2760.0,3324.0,83.08,210.96,343.8,475.28,592.8,772.08,907.08,347.06,758.84,1240.98,1765.04,2132.52,2849.04,3669.72
ir_tbp_1_dft-ime_1_dft-oxaz_1_dft-iacn_1_chloride_1_smi1_1_s_1,412.0,1276.0,1838.0,2698.0,3384.0,1670.0,1230.0,66.0,136.0,240.0,260.0,304.0,328.0,320.0,136.0,376.0,540.0,608.0,680.0,672.0,704.0,36.38,91.14,144.2,168.2,197.1,189.84,169.1,163.32,348.36,615.04,654.28,765.02,842.76,792.0
ir_tbp_1_dft-pyz_1_dft-pph3_1_dft-co_1_dft-itcn_1_smi1_1_s_1,600.0,1760.0,2870.0,4056.0,5144.0,5004.0,4470.0,100.0,212.0,340.0,480.0,572.0,724.0,868.0,212.0,552.0,868.0,1146.0,1366.0,1668.0,1846.0,59.46,147.18,231.82,313.62,381.48,466.14,517.62,245.06,530.32,845.56,1175.04,1411.22,1818.42,2158.24
ir_tbp_1_dft-pme3_1_dft-py_1_dft-hicn_1_dft-icn_1_smi1_1_s_1,392.0,1252.0,2106.0,3464.0,1984.0,1544.0,996.0,62.0,124.0,208.0,284.0,404.0,320.0,324.0,124.0,332.0,504.0,712.0,742.0,660.0,508.0,34.44,85.66,136.98,189.3,213.18,182.56,148.56,150.9,308.66,503.8,695.66,986.98,796.38,782.22
ir_tbp_1_dft-asme3_1_dft-ime_1_dft-co_1_dft-sh_1_smi1_1_s_1,440.0,1452.0,2650.0,3514.0,3146.0,1978.0,1052.0,66.0,132.0,236.0,300.0,448.0,368.0,340.0,132.0,368.0,556.0,768.0,852.0,728.0,664.0,35.76,91.26,152.06,201.38,246.8,202.14,161.4,158.06,326.02,568.7,733.44,1076.28,910.04,809.84
ir_tbp_1_dft-pet3_1_dft-ime_1_dft-iacn_1_dft-cch_1_smi1_1_s_1,460.0,1514.0,2516.0,4088.0,5334.0,2946.0,2554.0,94.0,188.0,340.0,428.0,592.0,776.0,772.0,188.0,528.0,788.0,1040.0,1404.0,1568.0,1552.0,47.86,122.4,200.48,268.08,360.92,406.2,380.48,222.32,462.66,817.2,1023.38,1428.14,1867.56,1857.58
ir_tbp_1_dft-pet3_1_dft-sime_1_dft-co_1_dft-cn_1_smi1_1_s_1,448.0,1464.0,2490.0,3836.0,5104.0,2724.0,2122.0,88.0,176.0,332.0,444.0,596.0,740.0,632.0,176.0,508.0,796.0,1068.0,1372.0,1392.0,1172.0,45.02,115.22,196.22,269.82,351.88,375.1,304.34,210.2,434.26,799.0,1067.28,1444.16,1792.62,1554.28
ir_tbp_1_dft-oxaz_1_dft-phos_1_dft-hicn_1_dft-no2_1_smi1_1_s_1,404.0,1580.0,1950.0,2774.0,2248.0,1240.0,688.0,56.0,124.0,208.0,264.0,304.0,236.0,196.0,124.0,360.0,532.0,656.0,662.0,500.0,366.0,33.14,90.32,141.38,172.7,183.02,135.54,97.3,141.96,320.66,539.78,670.32,791.28,608.66,482.02
ir_tbp_1_dft-pph3_1_dft-ime_1_dft-iacn_1_dft-itcn_1_smi1_1_s_1,636.0,1908.0,3082.0,4436.0,6718.0,5794.0,5494.0,118.0,248.0,412.0,536.0,676.0,884.0,1120.0,248.0,660.0,1004.0,1304.0,1650.0,2084.0,2458.0,66.82,167.6,264.92,348.64,451.56,563.08,659.2,285.26,618.38,1018.14,1307.46,1659.42,2198.98,2773.08
ir_tbp_1_dft-iz_1_dft-iz_1_dft-iacn_1_chloride_1_smi1_1_s_1,376.0,1156.0,1634.0,2248.0,2074.0,1048.0,740.0,52.0,108.0,176.0,196.0,192.0,196.0,192.0,108.0,284.0,412.0,428.0,412.0,412.0,408.0,30.46,75.06,114.98,128.14,128.06,118.46,102.64,130.32,279.84,456.94,491.76,493.58,508.76,472.52
ir_tbp_1_dft-iz_1_dft-py_1_dft-hicn_1_chloride_1_smi1_1_s_1,372.0,1302.0,1860.0,2438.0,1782.0,876.0,490.0,50.0,108.0,180.0,232.0,236.0,196.0,152.0,108.0,300.0,468.0,542.0,498.0,384.0,272.0,29.88,77.38,124.28,150.76,145.18,109.48,73.64,124.94,276.9,465.28,582.26,598.78,490.96,365.62
ir_tbp_1_dft-iz_1_dft-nme3_1_dft-co_1_fluoride_1_smi1_1_s_1,340.0,1262.0,1598.0,2972.0,1548.0,622.0,426.0,52.0,108.0,192.0,248.0,360.0,152.0,168.0,108.0,312.0,472.0,648.0,580.0,340.0,276.0,27.82,73.72,114.86,159.94,169.82,82.96,71.88,130.38,279.02,502.88,625.22,919.38,379.38,395.22
ir_tbp_1_dft-oxaz_1_dft-sime_1_dft-iacn_1_fluoride_1_smi1_1_s_1,400.0,1456.0,2108.0,3320.0,3096.0,1594.0,1212.0,70.0,148.0,280.0,332.0,396.0,396.0,376.0,148.0,440.0,680.0,826.0,884.0,826.0,758.0,36.72,98.64,164.82,205.58,225.44,206.8,180.48,173.76,379.48,723.42,838.86,1015.04,1011.5,907.8
ir_tbp_1_dft-pyz_1_dft-asme3_1_dft-co_1_iodide_1_smi1_1_s_1,492.0,1580.0,2650.0,3588.0,3112.0,1160.0,486.0,54.0,112.0,196.0,256.0,376.0,176.0,180.0,112.0,320.0,476.0,674.0,622.0,382.0,312.0,31.88,82.16,136.82,177.5,206.46,104.38,80.88,131.12,278.72,480.16,632.34,913.94,431.3,419.94
ir_tbp_1_dft-pyz_1_dft-ime_1_dft-co_1_dft-no2_1_smi1_1_s_1,416.0,1596.0,1874.0,2568.0,3216.0,1636.0,894.0,62.0,136.0,228.0,276.0,344.0,372.0,232.0,136.0,392.0,564.0,702.0,844.0,720.0,438.0,35.92,96.1,145.58,180.58,216.92,200.56,120.42,159.24,356.82,602.32,728.54,891.8,978.76,580.8
ir_tbp_1_dft-pyz_1_dft-pme3_1_dft-hicn_1_fluoride_1_smi1_1_s_1,368.0,1192.0,1902.0,3196.0,1768.0,1020.0,618.0,56.0,112.0,192.0,252.0,356.0,236.0,244.0,112.0,304.0,456.0,630.0,608.0,494.0,392.0,30.72,77.56,124.8,167.32,178.24,130.72,105.6,137.38,279.84,471.9,631.14,887.82,588.9,568.86
ir_tbp_1_dft-pyz_1_dft-iz_1_dft-hicn_1_dft-icn_1_smi1_1_s_1,380.0,1326.0,1956.0,2560.0,1680.0,1086.0,704.0,52.0,112.0,180.0,236.0,260.0,244.0,188.0,112.0,304.0,472.0,572.0,568.0,476.0,308.0,31.38,80.26,124.5,155.98,159.2,138.52,94.22,133.26,292.28,471.7,602.18,674.04,624.9,475.82
ir_tbp_1_dft-asme3_1_dft-sime_1_dft-iacn_1_fluoride_1_smi1_1_s_1,444.0,1498.0,2602.0,3636.0,3826.0,2406.0,1564.0,76.0,152.0,284.0,340.0,488.0,420.0,452.0,152.0,436.0,644.0,856.0,944.0,888.0,1048.0,38.84,100.96,169.32,215.4,260.72,232.44,230.2,182.76,377.14,693.1,843.44,1196.46,1063.7,1085.68
ir_tbp_1_dft-pme3_1_dft-phos_1_dft-hicn_1_chloride_1_smi1_1_s_1,400.0,1266.0,2082.0,3434.0,2190.0,1218.0,692.0,58.0,116.0,200.0,268.0,368.0,240.0,256.0,116.0,316.0,480.0,660.0,626.0,510.0,420.0,33.0,82.78,136.86,184.52,203.32,136.98,113.26,137.46,280.64,470.16,643.06,873.26,589.84,593.94
ir_tbp_1_dft-pme3_1_dft-py_1_dft-iacn_1_dft-no2_1_smi1_1_s_1,412.0,1650.0,2220.0,3594.0,2796.0,1636.0,1048.0,68.0,144.0,252.0,328.0,492.0,324.0,324.0,144.0,424.0,620.0,892.0,950.0,714.0,652.0,37.0,100.84,161.24,216.12,258.92,184.8,158.64,166.58,363.18,626.04,828.44,1237.14,818.6,767.86
ir_tbp_1_dft-pph3_1_dft-asme3_1_dft-co_1_dft-sh_1_smi1_1_s_1,612.0,1946.0,3638.0,5126.0,5442.0,5610.0,4806.0,104.0,216.0,368.0,528.0,712.0,780.0,936.0,216.0,584.0,932.0,1312.0,1546.0,1776.0,2040.0,58.38,149.66,249.74,350.46,435.62,486.9,535.92,247.38,526.56,878.8,1262.72,1697.46,1904.58,2263.44
ir_tbp_1_dft-pyz_1_dft-py_1_dft-hicn_1_iodide_1_smi1_1_s_1,456.0,1562.0,2496.0,2990.0,2300.0,1260.0,588.0,52.0,116.0,200.0,260.0,264.0,220.0,156.0,116.0,344.0,540.0,626.0,570.0,436.0,266.0,32.08,85.36,143.64,174.56,164.6,122.56,76.2,129.04,294.62,512.08,652.78,656.48,538.0,374.64
ir_tbp_1_dft-pet3_1_dft-asme3_1_dft-iacn_1_dft-cn_1_smi1_1_s_1,476.0,1624.0,3144.0,4918.0,4714.0,3254.0,1950.0,88.0,172.0,324.0,436.0,652.0,748.0,768.0,172.0,496.0,760.0,1088.0,1400.0,1516.0,1344.0,44.44,114.6,198.36,279.88,369.12,388.8,333.0,205.3,414.0,751.28,1025.5,1537.82,1791.92,1789.98
ir_tbp_1_dft-nme3_1_dft-nme3_1_dft-co_1_dft-cn_1_smi1_1_s_1,344.0,1130.0,1994.0,3926.0,1578.0,1368.0,324.0,62.0,120.0,224.0,312.0,520.0,360.0,324.0,120.0,344.0,536.0,832.0,880.0,684.0,324.0,31.24,77.42,127.9,205.94,241.54,183.96,100.44,149.52,301.2,554.08,763.28,1249.56,904.68,712.8
ir_tbp_1_dft-pph3_1_dft-iz_1_dft-iacn_1_dft-cch_1_smi1_1_s_1,572.0,1770.0,2890.0,4144.0,5368.0,5008.0,4492.0,106.0,224.0,364.0,488.0,580.0,764.0,964.0,224.0,588.0,908.0,1160.0,1410.0,1808.0,2110.0,59.98,152.04,240.44,315.76,386.32,485.12,557.04,255.72,557.26,897.92,1180.24,1414.86,1892.32,2361.88
ir_tbp_1_dft-pet3_1_dft-asme3_1_dft-co_1_dft-no2_1_smi1_1_s_1,480.0,1934.0,3244.0,4980.0,4674.0,2802.0,1242.0,82.0,168.0,320.0,464.0,744.0,684.0,576.0,168.0,516.0,812.0,1264.0,1572.0,1332.0,900.0,42.2,116.22,203.66,297.18,401.88,338.4,230.22,196.46,413.4,759.22,1135.96,1835.76,1673.94,1327.32
ir_tbp_1_dft-ime_1_dft-iz_1_dft-co_1_bromide_1_smi1_1_s_1,428.0,1400.0,1788.0,2452.0,3132.0,1668.0,636.0,56.0,120.0,204.0,232.0,280.0,272.0,180.0,120.0,336.0,488.0,568.0,640.0,508.0,372.0,32.8,84.5,131.46,152.48,181.68,153.76,92.44,140.22,310.24,530.5,588.84,710.44,693.84,434.64
ir_tbp_1_dft-nme3_1_dft-sime_1_dft-iacn_1_dft-cn_1_smi1_1_s_1,400.0,1646.0,2616.0,4824.0,2796.0,2086.0,1004.0,78.0,164.0,320.0,440.0,664.0,580.0,568.0,164.0,512.0,840.0,1252.0,1380.0,1212.0,808.0,39.62,108.8,188.84,286.64,342.2,296.32,212.08,187.7,413.3,801.72,1088.96,1622.64,1421.74,1282.64
ir_tbp_1_dft-pyz_1_dft-asme3_1_dft-iacn_1_bromide_1_smi1_1_s_1,472.0,1440.0,2560.0,3668.0,3174.0,1802.0,958.0,62.0,124.0,216.0,264.0,368.0,272.0,304.0,124.0,340.0,492.0,654.0,656.0,590.0,608.0,34.92,86.86,142.14,182.68,209.92,163.6,147.72,149.22,306.92,524.08,648.04,887.66,674.9,720.46
ir_tbp_1_dft-pph3_1_dft-py_1_dft-iacn_1_dft-cn_1_smi1_1_s_1,584.0,1790.0,2922.0,4096.0,5554.0,5188.0,4560.0,108.0,228.0,372.0,508.0,596.0,764.0,952.0,228.0,600.0,928.0,1200.0,1432.0,1792.0,2070.0,61.44,155.04,245.56,326.4,395.2,487.8,556.92,260.82,565.5,914.68,1231.8,1455.82,1896.5,2348.34
ir_tbp_1_dft-pyz_1_dft-py_1_dft-hicn_1_dft-no2_1_smi1_1_s_1,396.0,1704.0,2068.0,2712.0,2070.0,1176.0,630.0,56.0,128.0,220.0,288.0,320.0,244.0,180.0,128.0,388.0,600.0,732.0,712.0,500.0,326.0,33.36,93.48,149.44,186.04,189.12,135.6,90.36,143.56,334.36,588.04,749.88,836.14,619.36,439.74
ir_tbp_1_dft-oxaz_1_dft-py_1_dft-hicn_1_dft-icn_1_smi1_1_s_1,384.0,1352.0,2026.0,2784.0,1926.0,1196.0,820.0,56.0,120.0,204.0,268.0,296.0,276.0,228.0,120.0,336.0,528.0,646.0,646.0,548.0,384.0,32.56,84.34,134.88,171.28,176.36,153.86,111.96,141.88,309.94,529.34,674.84,759.94,703.22,570.4
ir_tbp_1_dft-iz_1_dft-sime_1_dft-co_1_fluoride_1_smi1_1_s_1,380.0,1376.0,1648.0,2344.0,3080.0,1308.0,692.0,60.0,128.0,228.0,268.0,320.0,328.0,196.0,128.0,368.0,548.0,652.0,736.0,588.0,420.0,32.78,87.4,137.14,163.56,190.08,164.24,100.76,151.06,331.28,596.22,682.36,816.16,854.28,472.64
ir_tbp_1_dft-pyz_1_dft-nme3_1_dft-co_1_dft-itcn_1_smi1_1_s_1,392.0,1346.0,2130.0,3408.0,1804.0,1338.0,880.0,58.0,120.0,212.0,296.0,432.0,308.0,216.0,120.0,344.0,544.0,788.0,804.0,544.0,296.0,33.12,83.54,134.74,197.28,224.66,166.6,106.66,143.86,306.02,540.06,744.9,1066.98,767.2,514.16
ir_tbp_1_dft-pyz_1_dft-pme3_1_dft-hicn_1_dft-cch_1_smi1_1_s_1,376.0,1224.0,2064.0,3408.0,1892.0,1304.0,748.0,60.0,120.0,200.0,268.0,392.0,316.0,312.0,120.0,320.0,480.0,682.0,724.0,644.0,476.0,33.12,82.88,132.12,182.08,207.08,174.92,131.68,144.02,296.68,482.32,653.64,938.72,772.7,723.64
ir_tbp_1_dft-pph3_1_dft-sime_1_dft-hicn_1_dft-icn_1_smi1_1_s_1,608.0,1868.0,3064.0,4468.0,6536.0,5600.0,5088.0,116.0,244.0,412.0,560.0,704.0,896.0,1088.0,244.0,656.0,1028.0,1364.0,1690.0,2064.0,2358.0,64.58,163.9,264.18,356.9,454.86,553.92,624.9,281.88,609.9,1018.88,1365.34,1725.48,2229.14,2704.38
ir_tbp_1_dft-iz_1_dft-py_1_dft-iacn_1_dft-itcn_1_smi1_1_s_1,412.0,1404.0,2062.0,2656.0,2426.0,1466.0,1206.0,60.0,128.0,212.0,264.0,288.0,304.0,276.0,128.0,352.0,532.0,630.0,662.0,636.0,528.0,35.52,90.28,140.28,170.64,184.08,179.16,152.24,148.86,327.3,543.6,662.34,730.3,768.14,668.64
ir_tbp_1_dft-pme3_1_dft-pme3_1_dft-iacn_1_dft-oh_1_smi1_1_s_1,384.0,1320.0,2460.0,4280.0,2420.0,1520.0,840.0,70.0,136.0,252.0,328.0,544.0,424.0,480.0,136.0,388.0,580.0,872.0,968.0,904.0,696.0,35.16,91.32,156.82,220.58,267.38,213.34,179.04,163.72,328.36,584.18,789.3,1290.98,1017.26,1081.2
