id,Z-0_MR_AA,Z-1_MR_AA,Z-2_MR_AA,Z-3_MR_AA,Z-4_MR_AA,Z-5_MR_AA,Z-6_MR_AA,I-0_MR_AA,I-1_MR_AA,I-2_MR_AA,I-3_MR_AA,I-4_MR_AA,I-5_MR_AA,I-6_MR_AA,T-0_MR_AA,T-1_MR_AA,T-2_MR_AA,T-3_MR_AA,T-4_MR_AA,T-5_MR_AA,T-6_MR_AA,S-0_MR_AA,S-1_MR_AA,S-2_MR_AA,S-3_MR_AA,S-4_MR_AA,S-5_MR_AA,S-6_MR_AA,chi-0_MR_AA,chi-1_MR_AA,chi-2_MR_AA,chi-3_MR_AA,chi-4_MR_AA,chi-5_MR_AA,chi-6_MR_AA
ir_tbp_1_dft-pph3_1_dft-pme3_1_dft-iacn_1_dft-itcn_1_smi1_1_s_1,1.0,34.1,100.8,787.6,770.0,500.5,231.0,1.0,4.0,8.0,17.0,15.0,9.0,3.0,1.0,6.0,11.0,49.0,44.0,28.0,12.0,1.0,6.553,15.506,55.799,52.525,33.085,13.645,1.0,3.596,6.763,15.892,14.176,8.588,3.0
ir_tbp_1_dft-asme3_1_dft-oxaz_1_dft-iacn_1_chloride_1_smi1_1_s_1,1.0,30.7,75.2,959.3,385.0,0.0,0.0,1.0,4.0,6.0,15.0,5.0,0.0,0.0,1.0,8.3,7.3,52.0,20.0,0.0,0.0,1.0,6.485,11.643,60.58,22.742,0.0,0.0,1.0,3.292,5.037,14.365,5.0,0.0,0.0
ir_tbp_1_dft-py_1_dft-sime_1_dft-iacn_1_iodide_1_smi1_1_s_1,1.0,38.1,58.7,243.8,1167.8,77.0,0.0,1.0,4.0,5.0,9.0,16.0,1.0,0.0,1.0,8.7,7.3,15.7,61.3,4.0,0.0,1.0,6.863,9.821,22.617,70.157,4.548,0.0,1.0,3.276,3.897,8.039,15.863,1.0,0.0
ir_tbp_1_dft-pet3_1_dft-oxaz_1_dft-co_1_chloride_1_smi1_1_s_1,1.0,43.1,64.2,754.0,847.0,0.0,0.0,1.0,5.0,5.0,14.0,11.0,0.0,0.0,1.0,12.9,6.7,52.5,55.0,0.0,0.0,1.0,8.754,9.658,50.798,50.032,0.0,0.0,1.0,3.927,4.314,13.091,11.0,0.0,0.0
ir_tbp_1_dft-pme3_1_dft-py_1_dft-co_1_dft-oh_1_smi1_1_s_1,1.0,38.6,150.8,872.7,166.8,77.0,0.0,1.0,4.0,7.0,13.0,3.0,1.0,0.0,1.0,6.3,13.7,46.7,9.3,4.0,0.0,1.0,7.372,16.342,53.895,11.028,4.548,0.0,1.0,3.231,5.953,12.725,2.863,1.0,0.0
ir_tbp_1_dft-pme3_1_dft-nme3_1_dft-hicn_1_dft-cn_1_smi1_1_s_1,1.0,41.8,99.0,1463.0,0.0,0.0,0.0,1.0,4.0,8.0,19.0,0.0,0.0,0.0,1.0,6.0,12.0,76.0,0.0,0.0,0.0,1.0,7.167,15.561,86.419,0.0,0.0,0.0,1.0,3.454,6.624,19.0,0.0,0.0,0.0
ir_tbp_1_dft-ime_1_dft-sime_1_dft-iacn_1_dft-icn_1_smi1_1_s_1,1.0,49.5,67.8,125.1,1617.0,0.0,0.0,1.0,4.0,6.0,10.0,21.0,0.0,0.0,1.0,6.7,9.3,13.7,84.0,0.0,0.0,1.0,7.78,11.861,19.52,95.516,0.0,0.0,1.0,3.312,4.481,8.404,21.0,0.0,0.0
ir_tbp_1_dft-nme3_1_dft-nme3_1_dft-hicn_1_dft-itcn_1_smi1_1_s_1,1.0,45.8,100.8,1467.8,0.0,0.0,0.0,1.0,4.0,8.0,20.0,0.0,0.0,0.0,1.0,6.0,10.0,80.0,0.0,0.0,0.0,1.0,7.889,15.506,87.762,0.0,0.0,0.0,1.0,3.034,6.763,19.853,0.0,0.0,0.0
ir_tbp_1_dft-nme3_1_dft-sime_1_dft-iacn_1_dft-itcn_1_smi1_1_s_1,1.0,47.7,84.3,762.0,1001.0,0.0,0.0,1.0,4.0,7.0,15.0,13.0,0.0,0.0,1.0,6.3,9.7,45.0,52.0,0.0,0.0,1.0,7.835,13.684,51.936,59.129,0.0,0.0,1.0,3.173,5.622,14.166,13.0,0.0,0.0
ir_tbp_1_dft-pph3_1_dft-asme3_1_dft-iacn_1_dft-cn_1_smi1_1_s_1,1.0,33.1,99.0,782.8,770.0,500.5,231.0,1.0,4.0,8.0,16.0,15.0,9.0,3.0,1.0,6.0,13.0,45.0,44.0,28.0,12.0,1.0,6.366,15.561,54.456,52.525,33.085,13.645,1.0,3.739,6.624,15.039,14.176,8.588,3.0
ir_tbp_1_dft-pyz_1_dft-iz_1_dft-hicn_1_bromide_1_smi1_1_s_1,1.0,62.7,216.3,419.8,154.0,0.0,0.0,1.0,6.0,7.0,8.0,2.0,0.0,0.0,1.0,16.0,23.0,37.0,12.0,0.0,0.0,1.0,10.941,18.809,28.645,9.097,0.0,0.0,1.0,4.779,6.175,7.31,2.0,0.0,0.0
ir_tbp_1_dft-phos_1_dft-sime_1_dft-iacn_1_dft-sh_1_smi1_1_s_1,1.0,35.6,135.7,243.8,1167.8,77.0,0.0,1.0,4.0,6.0,9.0,16.0,1.0,0.0,1.0,6.7,11.3,15.7,61.3,4.0,0.0,1.0,6.524,14.369,22.617,70.157,4.548,0.0,1.0,3.583,4.897,8.039,15.863,1.0,0.0
ir_tbp_1_dft-sime_1_dft-sime_1_dft-hicn_1_dft-no2_1_smi1_1_s_1,1.0,68.8,55.0,179.7,1540.0,0.0,0.0,1.0,6.0,5.0,9.0,20.0,0.0,0.0,1.0,15.0,11.0,18.0,120.0,0.0,0.0,1.0,12.053,9.93,20.0,90.968,0.0,0.0,1.0,4.591,3.618,7.902,20.0,0.0,0.0
ir_tbp_1_dft-asme3_1_dft-nme3_1_dft-co_1_dft-sh_1_smi1_1_s_1,1.0,31.0,163.6,1386.0,0.0,0.0,0.0,1.0,4.0,8.0,18.0,0.0,0.0,0.0,1.0,6.0,14.0,72.0,0.0,0.0,0.0,1.0,6.445,18.274,81.871,0.0,0.0,0.0,1.0,3.448,6.816,18.0,0.0,0.0,0.0
ir_tbp_1_dft-ime_1_dft-iz_1_dft-co_1_dft-no2_1_smi1_1_s_1,1.0,66.9,57.3,229.2,770.0,0.0,0.0,1.0,6.0,5.0,8.0,10.0,0.0,0.0,1.0,15.0,14.0,23.0,60.0,0.0,0.0,1.0,12.108,9.971,20.74,45.484,0.0,0.0,1.0,4.452,3.812,7.037,10.0,0.0,0.0
ir_tbp_1_dft-pme3_1_dft-iz_1_dft-co_1_fluoride_1_smi1_1_s_1,1.0,47.1,64.2,870.8,154.0,0.0,0.0,1.0,5.0,5.0,13.0,2.0,0.0,0.0,1.0,12.9,7.1,58.3,10.0,0.0,0.0,1.0,9.845,9.658,53.95,9.097,0.0,0.0,1.0,3.783,4.314,12.586,2.0,0.0,0.0
ir_tbp_1_dft-pph3_1_dft-py_1_dft-co_1_dft-oh_1_smi1_1_s_1,1.0,38.6,150.8,256.7,705.8,577.5,231.0,1.0,4.0,7.0,10.0,15.0,10.0,3.0,1.0,6.3,14.7,18.7,41.3,32.0,12.0,1.0,7.372,16.342,24.549,49.908,37.633,13.645,1.0,3.231,5.953,8.902,14.039,9.588,3.0
ir_tbp_1_dft-pet3_1_dft-iz_1_dft-iacn_1_dft-cn_1_smi1_1_s_1,1.0,41.8,86.2,691.2,1078.0,0.0,0.0,1.0,4.0,7.0,14.0,14.0,0.0,0.0,1.0,6.3,11.7,38.7,56.0,0.0,0.0,1.0,7.167,13.629,48.031,63.677,0.0,0.0,1.0,3.454,5.761,13.037,14.0,0.0,0.0
ir_tbp_1_dft-pph3_1_dft-pph3_1_dft-co_1_chloride_1_smi1_1_s_1,1.0,27.6,86.6,154.0,1078.0,1001.0,462.0,1.0,4.0,7.0,12.0,24.0,18.0,6.0,1.0,8.0,12.0,16.0,64.0,56.0,24.0,1.0,5.949,13.725,23.178,77.759,66.17,27.29,1.0,3.568,5.816,10.353,22.353,17.176,6.0
ir_tbp_1_dft-ime_1_dft-oxaz_1_dft-iacn_1_chloride_1_smi1_1_s_1,1.0,41.2,58.7,317.6,1001.0,0.0,0.0,1.0,4.0,5.0,10.0,13.0,0.0,0.0,1.0,8.7,7.0,20.7,52.0,0.0,0.0,1.0,7.231,9.821,27.371,59.129,0.0,0.0,1.0,3.145,3.897,8.816,13.0,0.0,0.0
ir_tbp_1_dft-pyz_1_dft-pph3_1_dft-co_1_dft-itcn_1_smi1_1_s_1,1.0,40.0,86.6,261.5,704.0,500.5,231.0,1.0,4.0,7.0,11.0,15.0,9.0,3.0,1.0,6.3,12.7,22.7,42.0,28.0,12.0,1.0,7.221,13.725,25.892,49.962,33.085,13.645,1.0,3.315,5.816,9.755,13.9,8.588,3.0
ir_tbp_1_dft-pme3_1_dft-py_1_dft-hicn_1_dft-icn_1_smi1_1_s_1,1.0,40.0,88.0,959.3,166.8,77.0,0.0,1.0,4.0,7.0,15.0,3.0,1.0,0.0,1.0,6.3,9.7,54.7,9.3,4.0,0.0,1.0,7.221,13.575,60.58,11.028,4.548,0.0,1.0,3.315,5.9,14.365,2.863,1.0,0.0
ir_tbp_1_dft-asme3_1_dft-ime_1_dft-co_1_dft-sh_1_smi1_1_s_1,1.0,32.8,147.1,744.3,616.0,0.0,0.0,1.0,4.0,7.0,13.0,8.0,0.0,0.0,1.0,6.3,13.7,40.7,32.0,0.0,0.0,1.0,6.391,16.451,48.662,36.387,0.0,0.0,1.0,3.587,5.675,12.451,8.0,0.0,0.0
ir_tbp_1_dft-pet3_1_dft-ime_1_dft-iacn_1_dft-cch_1_smi1_1_s_1,1.0,43.6,84.3,641.7,1540.0,0.0,0.0,1.0,4.0,7.0,15.0,20.0,0.0,0.0,1.0,6.3,9.7,36.7,80.0,0.0,0.0,1.0,7.112,13.684,47.291,90.968,0.0,0.0,1.0,3.593,5.622,13.902,20.0,0.0,0.0
ir_tbp_1_dft-pet3_1_dft-sime_1_dft-co_1_dft-cn_1_smi1_1_s_1,1.0,43.6,81.1,551.8,1463.0,0.0,0.0,1.0,4.0,7.0,13.0,19.0,0.0,0.0,1.0,6.3,13.7,31.0,76.0,0.0,0.0,1.0,7.112,13.889,40.811,86.419,0.0,0.0,1.0,3.593,5.399,12.039,19.0,0.0,0.0
ir_tbp_1_dft-oxaz_1_dft-phos_1_dft-hicn_1_dft-no2_1_smi1_1_s_1,1.0,59.2,62.3,510.1,320.8,77.0,0.0,1.0,6.0,5.0,10.0,5.0,1.0,0.0,1.0,15.0,10.5,44.5,26.0,6.0,0.0,1.0,11.494,9.712,35.221,20.125,4.548,0.0,1.0,4.594,4.175,9.228,4.863,1.0,0.0
ir_tbp_1_dft-pph3_1_dft-ime_1_dft-iacn_1_dft-itcn_1_smi1_1_s_1,1.0,41.8,84.3,146.0,1386.0,500.5,231.0,1.0,4.0,7.0,12.0,23.0,9.0,3.0,1.0,6.3,10.7,17.7,76.0,28.0,12.0,1.0,7.167,13.684,22.589,88.912,33.085,13.645,1.0,3.454,5.622,10.343,22.176,8.588,3.0
ir_tbp_1_dft-iz_1_dft-iz_1_dft-iacn_1_chloride_1_smi1_1_s_1,1.0,39.4,62.3,368.5,539.0,0.0,0.0,1.0,4.0,5.0,9.0,7.0,0.0,0.0,1.0,8.7,7.3,22.3,28.0,0.0,0.0,1.0,7.286,9.712,27.96,31.839,0.0,0.0,1.0,3.006,4.175,8.036,7.0,0.0,0.0
ir_tbp_1_dft-iz_1_dft-py_1_dft-hicn_1_chloride_1_smi1_1_s_1,1.0,52.2,139.3,434.5,308.0,0.0,0.0,1.0,5.0,6.0,9.0,4.0,0.0,0.0,1.0,12.1,14.2,31.7,20.0,0.0,0.0,1.0,9.217,14.26,30.522,18.194,0.0,0.0,1.0,3.869,5.175,8.312,4.0,0.0,0.0
ir_tbp_1_dft-iz_1_dft-nme3_1_dft-co_1_fluoride_1_smi1_1_s_1,1.0,53.0,64.2,870.8,154.0,0.0,0.0,1.0,5.0,5.0,13.0,2.0,0.0,0.0,1.0,12.9,7.1,58.3,10.0,0.0,0.0,1.0,10.513,9.658,53.95,9.097,0.0,0.0,1.0,3.502,4.314,12.586,2.0,0.0,0.0
ir_tbp_1_dft-oxaz_1_dft-sime_1_dft-iacn_1_fluoride_1_smi1_1_s_1,1.0,56.2,73.3,677.0,770.0,0.0,0.0,1.0,5.0,6.0,13.0,10.0,0.0,0.0,1.0,12.1,9.6,47.5,50.0,0.0,0.0,1.0,10.309,11.698,46.249,45.484,0.0,0.0,1.0,3.726,4.898,12.091,10.0,0.0,0.0
ir_tbp_1_dft-pyz_1_dft-asme3_1_dft-co_1_iodide_1_smi1_1_s_1,1.0,37.2,64.2,872.7,165.0,0.0,0.0,1.0,5.0,5.0,13.0,3.0,0.0,0.0,1.0,12.9,7.1,58.3,12.5,0.0,0.0,1.0,8.253,9.658,53.895,11.083,0.0,0.0,1.0,4.062,4.314,12.725,2.724,0.0,0.0
ir_tbp_1_dft-pyz_1_dft-ime_1_dft-co_1_dft-no2_1_smi1_1_s_1,1.0,66.9,57.3,231.0,781.0,0.0,0.0,1.0,6.0,5.0,8.0,11.0,0.0,0.0,1.0,15.0,14.0,23.0,63.0,0.0,0.0,1.0,12.108,9.971,20.686,47.47,0.0,0.0,1.0,4.452,3.812,7.176,10.724,0.0,0.0
ir_tbp_1_dft-pyz_1_dft-pme3_1_dft-hicn_1_fluoride_1_smi1_1_s_1,1.0,37.5,75.2,949.7,165.0,0.0,0.0,1.0,4.0,6.0,14.0,3.0,0.0,0.0,1.0,8.3,7.7,50.7,10.0,0.0,0.0,1.0,7.709,11.643,58.444,11.083,0.0,0.0,1.0,3.144,5.037,13.725,2.724,0.0,0.0
ir_tbp_1_dft-pyz_1_dft-iz_1_dft-hicn_1_dft-icn_1_smi1_1_s_1,1.0,58.7,152.2,442.3,231.0,0.0,0.0,1.0,5.0,7.0,10.0,3.0,0.0,0.0,1.0,9.6,16.7,37.5,15.0,0.0,0.0,1.0,9.821,16.192,32.713,13.645,0.0,0.0,1.0,3.897,6.037,8.812,3.0,0.0,0.0
ir_tbp_1_dft-asme3_1_dft-sime_1_dft-iacn_1_fluoride_1_smi1_1_s_1,1.0,36.6,71.5,757.2,1001.0,0.0,0.0,1.0,4.0,6.0,14.0,13.0,0.0,0.0,1.0,8.3,7.7,41.0,52.0,0.0,0.0,1.0,7.522,11.752,50.593,59.129,0.0,0.0,1.0,3.287,4.759,13.314,13.0,0.0,0.0
ir_tbp_1_dft-pme3_1_dft-phos_1_dft-hicn_1_chloride_1_smi1_1_s_1,1.0,27.6,75.2,949.7,166.8,77.0,0.0,1.0,4.0,6.0,14.0,3.0,1.0,0.0,1.0,8.3,7.7,50.7,9.3,4.0,0.0,1.0,5.949,11.643,58.444,11.028,4.548,0.0,1.0,3.568,5.037,13.725,2.863,1.0,0.0
ir_tbp_1_dft-pme3_1_dft-py_1_dft-iacn_1_dft-no2_1_smi1_1_s_1,1.0,59.2,75.2,885.5,397.8,77.0,0.0,1.0,6.0,6.0,14.0,6.0,1.0,0.0,1.0,14.5,11.5,71.5,32.0,6.0,0.0,1.0,11.494,11.643,55.827,24.673,4.548,0.0,1.0,4.594,5.037,13.588,5.863,1.0,0.0
ir_tbp_1_dft-pph3_1_dft-asme3_1_dft-co_1_dft-sh_1_smi1_1_s_1,1.0,25.1,163.6,770.0,539.0,500.5,231.0,1.0,4.0,8.0,15.0,12.0,9.0,3.0,1.0,6.0,15.0,44.0,32.0,28.0,12.0,1.0,5.777,18.274,52.525,38.879,33.085,13.645,1.0,3.729,6.816,14.176,11.176,8.588,3.0
ir_tbp_1_dft-pyz_1_dft-py_1_dft-hicn_1_iodide_1_smi1_1_s_1,1.0,62.0,216.3,421.7,166.8,77.0,0.0,1.0,6.0,7.0,8.0,3.0,1.0,0.0,1.0,16.0,23.0,37.0,14.0,6.0,0.0,1.0,10.781,18.809,28.591,11.028,4.548,0.0,1.0,4.863,6.175,7.449,2.863,1.0,0.0
ir_tbp_1_dft-pet3_1_dft-asme3_1_dft-iacn_1_dft-cn_1_smi1_1_s_1,1.0,33.1,99.0,1206.3,924.0,0.0,0.0,1.0,4.0,8.0,19.0,12.0,0.0,0.0,1.0,6.0,12.0,64.0,48.0,0.0,0.0,1.0,6.366,15.561,75.952,54.581,0.0,0.0,1.0,3.739,6.624,18.451,12.0,0.0,0.0
ir_tbp_1_dft-nme3_1_dft-nme3_1_dft-co_1_dft-cn_1_smi1_1_s_1,1.0,47.7,97.6,1386.0,0.0,0.0,0.0,1.0,4.0,8.0,18.0,0.0,0.0,0.0,1.0,6.0,14.0,72.0,0.0,0.0,0.0,1.0,7.835,15.711,81.871,0.0,0.0,0.0,1.0,3.173,6.54,18.0,0.0,0.0,0.0
ir_tbp_1_dft-pph3_1_dft-iz_1_dft-iacn_1_dft-cch_1_smi1_1_s_1,1.0,41.8,88.0,344.7,924.0,500.5,231.0,1.0,4.0,7.0,12.0,17.0,9.0,3.0,1.0,6.3,10.7,23.7,52.0,28.0,12.0,1.0,7.167,13.575,31.083,61.621,33.085,13.645,1.0,3.454,5.9,10.626,16.176,8.588,3.0
ir_tbp_1_dft-pet3_1_dft-asme3_1_dft-co_1_dft-no2_1_smi1_1_s_1,1.0,50.6,86.6,1193.5,693.0,0.0,0.0,1.0,6.0,7.0,18.0,9.0,0.0,0.0,1.0,14.0,15.0,94.5,54.0,0.0,0.0,1.0,10.693,13.725,74.02,40.935,0.0,0.0,1.0,4.879,5.816,17.588,9.0,0.0,0.0
ir_tbp_1_dft-ime_1_dft-iz_1_dft-co_1_bromide_1_smi1_1_s_1,1.0,48.5,47.7,229.2,770.0,0.0,0.0,1.0,5.0,4.0,8.0,10.0,0.0,0.0,1.0,13.3,6.7,19.2,50.0,0.0,0.0,1.0,9.16,7.835,20.74,45.484,0.0,0.0,1.0,3.832,3.173,7.037,10.0,0.0,0.0
ir_tbp_1_dft-nme3_1_dft-sime_1_dft-iacn_1_dft-cn_1_smi1_1_s_1,1.0,71.5,111.8,1475.8,231.0,0.0,0.0,1.0,6.0,9.0,20.0,3.0,0.0,0.0,1.0,12.5,19.5,115.5,18.0,0.0,0.0,1.0,11.752,17.492,88.351,13.645,0.0,0.0,1.0,4.759,7.487,19.863,3.0,0.0,0.0
ir_tbp_1_dft-pyz_1_dft-asme3_1_dft-iacn_1_bromide_1_smi1_1_s_1,1.0,28.4,75.2,885.5,396.0,0.0,0.0,1.0,4.0,6.0,14.0,6.0,0.0,0.0,1.0,8.3,7.7,47.7,22.0,0.0,0.0,1.0,6.277,11.643,55.827,24.728,0.0,0.0,1.0,3.339,5.037,13.588,5.724,0.0,0.0
ir_tbp_1_dft-pph3_1_dft-py_1_dft-iacn_1_dft-cn_1_smi1_1_s_1,1.0,41.8,86.2,269.5,936.8,577.5,231.0,1.0,4.0,7.0,11.0,18.0,10.0,3.0,1.0,6.3,12.7,19.7,53.3,32.0,12.0,1.0,7.167,13.629,26.48,63.553,37.633,13.645,1.0,3.454,5.761,9.765,17.039,9.588,3.0
ir_tbp_1_dft-pyz_1_dft-py_1_dft-hicn_1_dft-no2_1_smi1_1_s_1,1.0,77.9,139.3,434.5,243.8,77.0,0.0,1.0,7.0,6.0,9.0,4.0,1.0,0.0,1.0,19.2,19.8,45.5,23.3,7.0,0.0,1.0,14.093,14.26,30.522,15.577,4.548,0.0,1.0,5.176,5.175,8.312,3.863,1.0,0.0
ir_tbp_1_dft-oxaz_1_dft-py_1_dft-hicn_1_dft-icn_1_smi1_1_s_1,1.0,58.7,152.2,519.8,308.0,0.0,0.0,1.0,5.0,7.0,11.0,4.0,0.0,0.0,1.0,9.6,16.2,42.1,20.0,0.0,0.0,1.0,9.821,16.192,37.358,18.194,0.0,0.0,1.0,3.897,6.037,9.867,4.0,0.0,0.0
ir_tbp_1_dft-iz_1_dft-sime_1_dft-co_1_fluoride_1_smi1_1_s_1,1.0,54.8,47.7,229.2,924.0,0.0,0.0,1.0,5.0,4.0,8.0,12.0,0.0,0.0,1.0,13.3,6.7,18.3,60.0,0.0,0.0,1.0,10.459,7.835,20.74,54.581,0.0,0.0,1.0,3.641,3.173,7.037,12.0,0.0,0.0
ir_tbp_1_dft-pyz_1_dft-nme3_1_dft-co_1_dft-itcn_1_smi1_1_s_1,1.0,58.7,163.6,875.6,77.0,0.0,0.0,1.0,5.0,8.0,14.0,1.0,0.0,0.0,1.0,9.2,19.6,64.2,5.0,0.0,0.0,1.0,9.821,18.274,55.293,4.548,0.0,0.0,1.0,3.897,6.816,13.439,1.0,0.0,0.0
ir_tbp_1_dft-pyz_1_dft-pme3_1_dft-hicn_1_dft-cch_1_smi1_1_s_1,1.0,41.8,88.0,1026.7,165.0,0.0,0.0,1.0,4.0,7.0,15.0,3.0,0.0,0.0,1.0,6.3,9.7,54.7,10.0,0.0,0.0,1.0,7.167,13.575,62.992,11.083,0.0,0.0,1.0,3.454,5.9,14.725,2.724,0.0,0.0
ir_tbp_1_dft-pph3_1_dft-sime_1_dft-hicn_1_dft-icn_1_smi1_1_s_1,1.0,41.8,84.3,215.0,1309.0,500.5,231.0,1.0,4.0,7.0,12.0,22.0,9.0,3.0,1.0,6.3,10.7,20.0,72.0,28.0,12.0,1.0,7.167,13.684,26.0,84.363,33.085,13.645,1.0,3.454,5.622,10.267,21.176,8.588,3.0
ir_tbp_1_dft-iz_1_dft-py_1_dft-iacn_1_dft-itcn_1_smi1_1_s_1,1.0,58.7,152.2,375.1,539.0,0.0,0.0,1.0,5.0,7.0,10.0,7.0,0.0,0.0,1.0,9.6,16.7,32.9,35.0,0.0,0.0,1.0,9.821,16.192,29.248,31.839,0.0,0.0,1.0,3.897,6.037,9.027,7.0,0.0,0.0
ir_tbp_1_dft-pme3_1_dft-pme3_1_dft-iacn_1_dft-oh_1_smi1_1_s_1,1.0,32.7,165.0,1398.8,231.0,0.0,0.0,1.0,4.0,8.0,19.0,3.0,0.0,0.0,1.0,6.0,12.0,73.0,12.0,0.0,0.0,1.0,6.703,18.123,83.802,13.645,0.0,0.0,1.0,3.511,6.9,18.863,3.0,0.0,0.0
ir_tbp_1_dft-pet3_1_dft-py_1_dft-co_1_dft-cch_1_smi1_1_s_1,1.0,41.8,86.6,757.2,859.8,77.0,0.0,1.0,4.0,7.0,14.0,12.0,1.0,0.0,1.0,6.3,11.7,41.7,45.3,4.0,0.0,1.0,7.167,13.725,50.593,51.964,4.548,0.0,1.0,3.454,5.816,13.314,11.863,1.0,0.0
ir_tbp_1_dft-pyz_1_dft-ime_1_dft-hicn_1_chloride_1_smi1_1_s_1,1.0,41.2,58.7,308.0,781.0,0.0,0.0,1.0,4.0,5.0,9.0,11.0,0.0,0.0,1.0,8.7,7.3,19.3,42.0,0.0,0.0,1.0,7.231,9.821,25.234,47.47,0.0,0.0,1.0,3.145,3.897,8.176,10.724,0.0,0.0
