id,Z-0_MS_AA,Z-1_MS_AA,Z-2_MS_AA,Z-3_MS_AA,Z-4_MS_AA,Z-5_MS_AA,Z-6_MS_AA,I-0_MS_AA,I-1_MS_AA,I-2_MS_AA,I-3_MS_AA,I-4_MS_AA,I-5_MS_AA,I-6_MS_AA,T-0_MS_AA,T-1_MS_AA,T-2_MS_AA,T-3_MS_AA,T-4_MS_AA,T-5_MS_AA,T-6_MS_AA,S-0_MS_AA,S-1_MS_AA,S-2_MS_AA,S-3_MS_AA,S-4_MS_AA,S-5_MS_AA,S-6_MS_AA,chi-0_MS_AA,chi-1_MS_AA,chi-2_MS_AA,chi-3_MS_AA,chi-4_MS_AA,chi-5_MS_AA,chi-6_MS_AA
ir_tbp_1_dft-pph3_1_dft-pme3_1_dft-iacn_1_dft-itcn_1_smi1_1_s_1,154.0,351.0,665.0,1376.0,1200.0,717.0,234.0,2.0,8.0,16.0,34.0,30.0,18.0,6.0,8.0,28.0,57.0,100.0,87.0,51.0,15.0,2.82,9.22,17.1,32.92,28.32,16.74,5.16,4.4,18.77,38.49,77.63,68.1,40.65,13.2
ir_tbp_1_dft-asme3_1_dft-oxaz_1_dft-iacn_1_chloride_1_smi1_1_s_1,154.0,371.0,499.0,1187.0,390.0,0.0,0.0,2.0,8.0,12.0,30.0,10.0,0.0,0.0,8.0,26.0,45.0,82.0,25.0,0.0,0.0,2.82,9.29,12.82,26.99,8.6,0.0,0.0,4.4,19.73,28.99,67.94,22.0,0.0,0.0
ir_tbp_1_dft-py_1_dft-sime_1_dft-iacn_1_iodide_1_smi1_1_s_1,154.0,380.0,418.0,737.0,1253.0,78.0,0.0,2.0,8.0,10.0,18.0,32.0,2.0,0.0,8.0,25.0,34.0,64.0,82.0,5.0,0.0,2.82,9.2,10.64,18.42,27.94,1.72,0.0,4.4,19.6,25.22,42.05,70.75,4.4,0.0
ir_tbp_1_dft-pet3_1_dft-oxaz_1_dft-co_1_chloride_1_smi1_1_s_1,154.0,438.0,415.0,1119.0,858.0,0.0,0.0,2.0,10.0,10.0,28.0,22.0,0.0,0.0,10.0,37.0,44.0,97.0,66.0,0.0,0.0,2.82,11.24,10.7,26.11,18.92,0.0,0.0,4.4,25.38,23.75,64.24,48.4,0.0,0.0
ir_tbp_1_dft-pme3_1_dft-py_1_dft-co_1_dft-oh_1_smi1_1_s_1,154.0,344.0,578.0,1024.0,239.0,78.0,0.0,2.0,8.0,14.0,26.0,6.0,2.0,0.0,8.0,27.0,48.0,69.0,17.0,5.0,0.0,2.82,8.81,14.49,23.2,5.58,1.72,0.0,4.4,20.02,33.79,57.9,13.55,4.4,0.0
ir_tbp_1_dft-pme3_1_dft-nme3_1_dft-hicn_1_dft-cn_1_smi1_1_s_1,154.0,342.0,666.0,1482.0,0.0,0.0,0.0,2.0,8.0,16.0,38.0,0.0,0.0,0.0,8.0,28.0,59.0,95.0,0.0,0.0,0.0,2.82,8.88,17.08,32.68,0.0,0.0,0.0,4.4,19.13,38.98,83.6,0.0,0.0,0.0
ir_tbp_1_dft-ime_1_dft-sime_1_dft-iacn_1_dft-icn_1_smi1_1_s_1,154.0,333.0,503.0,832.0,1638.0,0.0,0.0,2.0,8.0,12.0,20.0,42.0,0.0,0.0,8.0,26.0,40.0,75.0,105.0,0.0,0.0,2.82,8.54,12.74,21.33,36.12,0.0,0.0,4.4,19.49,30.95,48.39,92.4,0.0,0.0
ir_tbp_1_dft-nme3_1_dft-nme3_1_dft-hicn_1_dft-itcn_1_smi1_1_s_1,154.0,335.0,665.0,1575.0,0.0,0.0,0.0,2.0,8.0,16.0,40.0,0.0,0.0,0.0,8.0,28.0,60.0,100.0,0.0,0.0,0.0,2.82,8.5,17.1,35.14,0.0,0.0,0.0,4.4,20.47,38.49,88.38,0.0,0.0,0.0
ir_tbp_1_dft-nme3_1_dft-sime_1_dft-iacn_1_dft-itcn_1_smi1_1_s_1,154.0,334.0,584.0,1210.0,1014.0,0.0,0.0,2.0,8.0,14.0,30.0,26.0,0.0,0.0,8.0,27.0,50.0,90.0,65.0,0.0,0.0,2.82,8.52,14.92,28.64,22.36,0.0,0.0,4.4,19.98,34.72,68.13,57.2,0.0,0.0
ir_tbp_1_dft-pph3_1_dft-asme3_1_dft-iacn_1_dft-cn_1_smi1_1_s_1,154.0,368.0,666.0,1283.0,1200.0,717.0,234.0,2.0,8.0,16.0,32.0,30.0,18.0,6.0,8.0,28.0,56.0,95.0,87.0,51.0,15.0,2.82,9.36,17.08,30.46,28.32,16.74,5.16,4.4,18.27,38.98,72.85,68.1,40.65,13.2
ir_tbp_1_dft-pyz_1_dft-iz_1_dft-hicn_1_bromide_1_smi1_1_s_1,154.0,529.0,572.0,641.0,156.0,0.0,0.0,2.0,12.0,14.0,16.0,4.0,0.0,0.0,12.0,53.0,58.0,61.0,14.0,0.0,0.0,2.82,13.27,14.12,14.98,3.44,0.0,0.0,4.4,29.89,33.04,37.23,8.8,0.0,0.0
ir_tbp_1_dft-phos_1_dft-sime_1_dft-iacn_1_dft-sh_1_smi1_1_s_1,154.0,351.0,496.0,737.0,1253.0,78.0,0.0,2.0,8.0,12.0,18.0,32.0,2.0,0.0,8.0,26.0,39.0,64.0,82.0,5.0,0.0,2.82,9.22,12.36,18.42,27.94,1.72,0.0,4.4,18.67,29.62,42.05,70.75,4.4,0.0
ir_tbp_1_dft-sime_1_dft-sime_1_dft-hicn_1_dft-no2_1_smi1_1_s_1,154.0,503.0,420.0,742.0,1560.0,0.0,0.0,2.0,12.0,10.0,18.0,40.0,0.0,0.0,12.0,51.0,44.0,87.0,140.0,0.0,0.0,2.82,12.68,10.6,18.84,34.4,0.0,0.0,4.4,30.77,26.2,42.4,88.0,0.0,0.0
ir_tbp_1_dft-asme3_1_dft-nme3_1_dft-co_1_dft-sh_1_smi1_1_s_1,154.0,370.0,661.0,1404.0,0.0,0.0,0.0,2.0,8.0,16.0,36.0,0.0,0.0,0.0,8.0,28.0,58.0,90.0,0.0,0.0,0.0,2.82,9.32,16.63,30.96,0.0,0.0,0.0,4.4,19.15,38.54,79.2,0.0,0.0,0.0
ir_tbp_1_dft-ime_1_dft-iz_1_dft-co_1_dft-no2_1_smi1_1_s_1,154.0,504.0,419.0,655.0,780.0,0.0,0.0,2.0,12.0,10.0,16.0,20.0,0.0,0.0,12.0,51.0,43.0,70.0,70.0,0.0,0.0,2.82,12.66,10.59,16.26,17.2,0.0,0.0,4.4,31.26,25.62,37.79,44.0,0.0,0.0
ir_tbp_1_dft-pme3_1_dft-iz_1_dft-co_1_fluoride_1_smi1_1_s_1,154.0,430.0,415.0,1025.0,156.0,0.0,0.0,2.0,10.0,10.0,26.0,4.0,0.0,0.0,10.0,37.0,43.0,82.0,12.0,0.0,0.0,2.82,10.79,10.7,23.18,3.44,0.0,0.0,4.4,26.2,23.75,58.39,8.8,0.0,0.0
ir_tbp_1_dft-pph3_1_dft-py_1_dft-co_1_dft-oh_1_smi1_1_s_1,154.0,344.0,578.0,820.0,1205.0,795.0,234.0,2.0,8.0,14.0,20.0,30.0,20.0,6.0,8.0,27.0,45.0,66.0,89.0,56.0,15.0,2.82,8.81,14.49,20.56,28.74,18.46,5.16,4.4,20.02,33.79,46.8,68.45,45.05,13.2
ir_tbp_1_dft-pet3_1_dft-iz_1_dft-iacn_1_dft-cn_1_smi1_1_s_1,154.0,342.0,583.0,1123.0,1092.0,0.0,0.0,2.0,8.0,14.0,28.0,28.0,0.0,0.0,8.0,27.0,49.0,86.0,70.0,0.0,0.0,2.82,8.88,14.94,26.58,24.08,0.0,0.0,4.4,19.13,34.23,64.19,61.6,0.0,0.0
ir_tbp_1_dft-pph3_1_dft-pph3_1_dft-co_1_chloride_1_smi1_1_s_1,154.0,361.0,583.0,996.0,1932.0,1434.0,468.0,2.0,8.0,14.0,24.0,48.0,36.0,12.0,8.0,27.0,47.0,84.0,144.0,102.0,30.0,2.82,9.53,14.91,25.68,46.32,33.48,10.32,4.4,18.89,34.14,57.0,109.8,81.3,26.4
ir_tbp_1_dft-ime_1_dft-oxaz_1_dft-iacn_1_chloride_1_smi1_1_s_1,154.0,344.0,418.0,817.0,1014.0,0.0,0.0,2.0,8.0,10.0,20.0,26.0,0.0,0.0,8.0,25.0,35.0,67.0,65.0,0.0,0.0,2.82,8.83,10.64,20.07,22.36,0.0,0.0,4.4,20.1,25.22,47.34,57.2,0.0,0.0
ir_tbp_1_dft-pyz_1_dft-pph3_1_dft-co_1_dft-itcn_1_smi1_1_s_1,154.0,343.0,583.0,913.0,1206.0,717.0,234.0,2.0,8.0,14.0,22.0,30.0,18.0,6.0,8.0,27.0,46.0,71.0,88.0,51.0,15.0,2.82,8.86,14.91,23.02,28.72,16.74,5.16,4.4,19.62,34.14,51.58,68.94,40.65,13.2
ir_tbp_1_dft-pme3_1_dft-py_1_dft-hicn_1_dft-icn_1_smi1_1_s_1,154.0,343.0,582.0,1187.0,239.0,78.0,0.0,2.0,8.0,14.0,30.0,6.0,2.0,0.0,8.0,27.0,50.0,79.0,17.0,5.0,0.0,2.82,8.86,14.96,26.99,5.58,1.72,0.0,4.4,19.62,33.74,67.94,13.55,4.4,0.0
ir_tbp_1_dft-asme3_1_dft-ime_1_dft-co_1_dft-sh_1_smi1_1_s_1,154.0,369.0,580.0,1034.0,624.0,0.0,0.0,2.0,8.0,14.0,26.0,16.0,0.0,0.0,8.0,27.0,48.0,75.0,40.0,0.0,0.0,2.82,9.34,14.45,24.04,13.76,0.0,0.0,4.4,18.66,34.77,58.6,35.2,0.0,0.0
ir_tbp_1_dft-pet3_1_dft-ime_1_dft-iacn_1_dft-cch_1_smi1_1_s_1,154.0,341.0,584.0,1210.0,1560.0,0.0,0.0,2.0,8.0,14.0,30.0,40.0,0.0,0.0,8.0,27.0,50.0,97.0,100.0,0.0,0.0,2.82,8.9,14.92,29.16,34.4,0.0,0.0,4.4,18.64,34.72,68.8,88.0,0.0,0.0
ir_tbp_1_dft-pet3_1_dft-sime_1_dft-co_1_dft-cn_1_smi1_1_s_1,154.0,341.0,586.0,1049.0,1482.0,0.0,0.0,2.0,8.0,14.0,26.0,38.0,0.0,0.0,8.0,27.0,48.0,86.0,95.0,0.0,0.0,2.82,8.9,14.85,25.3,32.68,0.0,0.0,4.4,18.64,35.61,59.65,83.6,0.0,0.0
ir_tbp_1_dft-oxaz_1_dft-phos_1_dft-hicn_1_dft-no2_1_smi1_1_s_1,154.0,513.0,416.0,802.0,395.0,78.0,0.0,2.0,12.0,10.0,20.0,10.0,2.0,0.0,12.0,51.0,45.0,78.0,37.0,7.0,0.0,2.82,13.0,10.68,18.81,9.02,1.72,0.0,4.4,30.9,24.24,46.29,22.35,4.4,0.0
ir_tbp_1_dft-pph3_1_dft-ime_1_dft-iacn_1_dft-itcn_1_smi1_1_s_1,154.0,342.0,584.0,1006.0,1824.0,717.0,234.0,2.0,8.0,14.0,24.0,46.0,18.0,6.0,8.0,27.0,47.0,85.0,127.0,51.0,15.0,2.82,8.88,14.92,26.0,42.08,16.74,5.16,4.4,19.13,34.72,57.03,103.3,40.65,13.2
ir_tbp_1_dft-iz_1_dft-iz_1_dft-iacn_1_chloride_1_smi1_1_s_1,154.0,345.0,416.0,729.0,546.0,0.0,0.0,2.0,8.0,10.0,18.0,14.0,0.0,0.0,8.0,25.0,34.0,56.0,35.0,0.0,0.0,2.82,8.81,10.68,17.54,12.04,0.0,0.0,4.4,20.59,24.24,42.33,30.8,0.0,0.0
ir_tbp_1_dft-iz_1_dft-py_1_dft-hicn_1_chloride_1_smi1_1_s_1,154.0,428.0,494.0,723.0,312.0,0.0,0.0,2.0,10.0,12.0,18.0,8.0,0.0,0.0,10.0,38.0,45.0,62.0,24.0,0.0,0.0,2.82,10.95,12.4,17.14,6.88,0.0,0.0,4.4,25.34,28.64,41.49,17.6,0.0,0.0
ir_tbp_1_dft-iz_1_dft-nme3_1_dft-co_1_fluoride_1_smi1_1_s_1,154.0,422.0,415.0,1025.0,156.0,0.0,0.0,2.0,10.0,10.0,26.0,4.0,0.0,0.0,10.0,37.0,43.0,82.0,12.0,0.0,0.0,2.82,10.43,10.7,23.18,3.44,0.0,0.0,4.4,27.05,23.75,58.39,8.8,0.0,0.0
ir_tbp_1_dft-oxaz_1_dft-sime_1_dft-iacn_1_fluoride_1_smi1_1_s_1,154.0,420.0,500.0,1041.0,780.0,0.0,0.0,2.0,10.0,12.0,26.0,20.0,0.0,0.0,10.0,38.0,50.0,91.0,60.0,0.0,0.0,2.82,10.5,12.8,24.39,17.2,0.0,0.0,4.4,26.16,29.48,59.84,44.0,0.0,0.0
ir_tbp_1_dft-pyz_1_dft-asme3_1_dft-co_1_iodide_1_smi1_1_s_1,154.0,492.0,415.0,1024.0,240.0,0.0,0.0,2.0,10.0,10.0,26.0,6.0,0.0,0.0,10.0,37.0,43.0,82.0,19.0,0.0,0.0,2.82,11.73,10.7,23.2,5.56,0.0,0.0,4.4,24.87,23.75,57.9,14.04,0.0,0.0
ir_tbp_1_dft-pyz_1_dft-ime_1_dft-co_1_dft-no2_1_smi1_1_s_1,154.0,504.0,419.0,654.0,864.0,0.0,0.0,2.0,12.0,10.0,16.0,22.0,0.0,0.0,12.0,51.0,43.0,70.0,78.0,0.0,0.0,2.82,12.66,10.59,16.28,19.32,0.0,0.0,4.4,31.26,25.62,37.3,49.24,0.0,0.0
ir_tbp_1_dft-pyz_1_dft-pme3_1_dft-hicn_1_fluoride_1_smi1_1_s_1,154.0,345.0,499.0,1102.0,240.0,0.0,0.0,2.0,8.0,12.0,28.0,6.0,0.0,0.0,8.0,26.0,44.0,74.0,16.0,0.0,0.0,2.82,8.72,12.82,24.92,5.56,0.0,0.0,4.4,20.56,28.99,62.3,14.04,0.0,0.0
ir_tbp_1_dft-pyz_1_dft-iz_1_dft-hicn_1_dft-icn_1_smi1_1_s_1,154.0,418.0,577.0,809.0,234.0,0.0,0.0,2.0,10.0,14.0,20.0,6.0,0.0,0.0,10.0,39.0,52.0,67.0,18.0,0.0,0.0,2.82,10.64,14.54,19.19,5.16,0.0,0.0,4.4,25.22,33.39,47.62,13.2,0.0,0.0
ir_tbp_1_dft-asme3_1_dft-sime_1_dft-iacn_1_fluoride_1_smi1_1_s_1,154.0,362.0,501.0,1117.0,1014.0,0.0,0.0,2.0,8.0,12.0,28.0,26.0,0.0,0.0,8.0,26.0,44.0,85.0,65.0,0.0,0.0,2.82,8.86,12.78,26.18,22.36,0.0,0.0,4.4,20.06,29.97,63.35,57.2,0.0,0.0
ir_tbp_1_dft-pme3_1_dft-phos_1_dft-hicn_1_chloride_1_smi1_1_s_1,154.0,361.0,499.0,1102.0,239.0,78.0,0.0,2.0,8.0,12.0,28.0,6.0,2.0,0.0,8.0,26.0,44.0,74.0,17.0,5.0,0.0,2.82,9.53,12.82,24.92,5.58,1.72,0.0,4.4,18.89,28.99,62.3,13.55,4.4,0.0
ir_tbp_1_dft-pme3_1_dft-py_1_dft-iacn_1_dft-no2_1_smi1_1_s_1,154.0,513.0,499.0,1107.0,473.0,78.0,0.0,2.0,12.0,12.0,28.0,12.0,2.0,0.0,12.0,52.0,56.0,105.0,44.0,7.0,0.0,2.82,13.0,12.82,25.34,10.74,1.72,0.0,4.4,30.9,28.99,62.65,26.75,4.4,0.0
ir_tbp_1_dft-pph3_1_dft-asme3_1_dft-co_1_dft-sh_1_smi1_1_s_1,154.0,378.0,661.0,1200.0,966.0,717.0,234.0,2.0,8.0,16.0,30.0,24.0,18.0,6.0,8.0,28.0,55.0,87.0,72.0,51.0,15.0,2.82,9.68,16.63,28.32,23.16,16.74,5.16,4.4,18.3,38.54,68.1,54.9,40.65,13.2
ir_tbp_1_dft-pyz_1_dft-py_1_dft-hicn_1_iodide_1_smi1_1_s_1,154.0,547.0,572.0,640.0,239.0,78.0,0.0,2.0,12.0,14.0,16.0,6.0,2.0,0.0,12.0,53.0,58.0,61.0,23.0,7.0,0.0,2.82,13.46,14.12,15.0,5.58,1.72,0.0,4.4,29.59,33.04,36.74,13.55,4.4,0.0
ir_tbp_1_dft-pet3_1_dft-asme3_1_dft-iacn_1_dft-cn_1_smi1_1_s_1,154.0,368.0,666.0,1502.0,936.0,0.0,0.0,2.0,8.0,16.0,38.0,24.0,0.0,0.0,8.0,28.0,59.0,107.0,60.0,0.0,0.0,2.82,9.36,17.08,34.36,20.64,0.0,0.0,4.4,18.27,38.98,85.0,52.8,0.0,0.0
ir_tbp_1_dft-nme3_1_dft-nme3_1_dft-co_1_dft-cn_1_smi1_1_s_1,154.0,334.0,667.0,1404.0,0.0,0.0,0.0,2.0,8.0,16.0,36.0,0.0,0.0,0.0,8.0,28.0,58.0,90.0,0.0,0.0,0.0,2.82,8.52,17.03,30.96,0.0,0.0,0.0,4.4,19.98,39.38,79.2,0.0,0.0,0.0
ir_tbp_1_dft-pph3_1_dft-iz_1_dft-iacn_1_dft-cch_1_smi1_1_s_1,154.0,342.0,582.0,982.0,1356.0,717.0,234.0,2.0,8.0,14.0,24.0,34.0,18.0,6.0,8.0,27.0,47.0,79.0,97.0,51.0,15.0,2.82,8.88,14.96,24.4,31.76,16.74,5.16,4.4,19.13,33.74,56.44,76.9,40.65,13.2
ir_tbp_1_dft-pet3_1_dft-asme3_1_dft-co_1_dft-no2_1_smi1_1_s_1,154.0,539.0,583.0,1419.0,702.0,0.0,0.0,2.0,12.0,14.0,36.0,18.0,0.0,0.0,12.0,53.0,67.0,135.0,63.0,0.0,0.0,2.82,13.48,14.91,32.22,15.48,0.0,0.0,4.4,30.04,34.14,80.25,39.6,0.0,0.0
ir_tbp_1_dft-ime_1_dft-iz_1_dft-co_1_bromide_1_smi1_1_s_1,154.0,447.0,334.0,655.0,780.0,0.0,0.0,2.0,10.0,8.0,16.0,20.0,0.0,0.0,10.0,36.0,32.0,62.0,60.0,0.0,0.0,2.82,11.08,8.52,16.26,17.2,0.0,0.0,4.4,25.54,19.98,37.79,44.0,0.0,0.0
ir_tbp_1_dft-nme3_1_dft-sime_1_dft-iacn_1_dft-cn_1_smi1_1_s_1,154.0,501.0,749.0,1565.0,234.0,0.0,0.0,2.0,12.0,18.0,40.0,6.0,0.0,0.0,12.0,55.0,85.0,143.0,21.0,0.0,0.0,2.82,12.78,19.22,34.82,5.16,0.0,0.0,4.4,29.97,43.73,88.35,13.2,0.0,0.0
ir_tbp_1_dft-pyz_1_dft-asme3_1_dft-iacn_1_bromide_1_smi1_1_s_1,154.0,389.0,499.0,1107.0,474.0,0.0,0.0,2.0,8.0,12.0,28.0,12.0,0.0,0.0,8.0,26.0,44.0,77.0,31.0,0.0,0.0,2.82,9.47,12.82,25.34,10.72,0.0,0.0,4.4,19.53,28.99,62.65,27.24,0.0,0.0
ir_tbp_1_dft-pph3_1_dft-py_1_dft-iacn_1_dft-cn_1_smi1_1_s_1,154.0,342.0,583.0,903.0,1439.0,795.0,234.0,2.0,8.0,14.0,22.0,36.0,20.0,6.0,8.0,27.0,46.0,74.0,104.0,56.0,15.0,2.82,8.88,14.94,22.7,33.9,18.46,5.16,4.4,19.13,34.23,51.55,81.65,45.05,13.2
ir_tbp_1_dft-pyz_1_dft-py_1_dft-hicn_1_dft-no2_1_smi1_1_s_1,154.0,588.0,494.0,723.0,317.0,78.0,0.0,2.0,14.0,12.0,18.0,8.0,2.0,0.0,14.0,68.0,57.0,79.0,34.0,8.0,0.0,2.82,14.78,12.4,17.14,7.3,1.72,0.0,4.4,36.5,28.64,41.49,17.95,4.4,0.0
ir_tbp_1_dft-oxaz_1_dft-py_1_dft-hicn_1_dft-icn_1_smi1_1_s_1,154.0,418.0,577.0,887.0,312.0,0.0,0.0,2.0,10.0,14.0,22.0,8.0,0.0,0.0,10.0,39.0,53.0,74.0,24.0,0.0,0.0,2.82,10.64,14.54,20.88,6.88,0.0,0.0,4.4,25.22,33.39,51.93,17.6,0.0,0.0
ir_tbp_1_dft-iz_1_dft-sime_1_dft-co_1_fluoride_1_smi1_1_s_1,154.0,421.0,334.0,655.0,936.0,0.0,0.0,2.0,10.0,8.0,16.0,24.0,0.0,0.0,10.0,36.0,32.0,64.0,72.0,0.0,0.0,2.82,10.45,8.52,16.26,20.64,0.0,0.0,4.4,26.56,19.98,37.79,52.8,0.0,0.0
ir_tbp_1_dft-pyz_1_dft-nme3_1_dft-co_1_dft-itcn_1_smi1_1_s_1,154.0,418.0,661.0,1118.0,78.0,0.0,0.0,2.0,10.0,16.0,28.0,2.0,0.0,0.0,10.0,40.0,62.0,87.0,6.0,0.0,0.0,2.82,10.64,16.63,25.64,1.72,0.0,0.0,4.4,25.22,38.54,63.17,4.4,0.0,0.0
ir_tbp_1_dft-pyz_1_dft-pme3_1_dft-hicn_1_dft-cch_1_smi1_1_s_1,154.0,342.0,582.0,1180.0,240.0,0.0,0.0,2.0,8.0,14.0,30.0,6.0,0.0,0.0,8.0,27.0,50.0,79.0,16.0,0.0,0.0,2.82,8.88,14.96,26.64,5.56,0.0,0.0,4.4,19.13,33.74,66.7,14.04,0.0,0.0
ir_tbp_1_dft-pph3_1_dft-sime_1_dft-hicn_1_dft-icn_1_smi1_1_s_1,154.0,342.0,584.0,993.0,1746.0,717.0,234.0,2.0,8.0,14.0,24.0,44.0,18.0,6.0,8.0,27.0,47.0,84.0,122.0,51.0,15.0,2.82,8.88,14.92,25.19,40.36,16.74,5.16,4.4,19.13,34.72,57.54,98.9,40.65,13.2
ir_tbp_1_dft-iz_1_dft-py_1_dft-iacn_1_dft-itcn_1_smi1_1_s_1,154.0,418.0,577.0,821.0,546.0,0.0,0.0,2.0,10.0,14.0,20.0,14.0,0.0,0.0,10.0,39.0,52.0,71.0,42.0,0.0,0.0,2.82,10.64,14.54,20.02,12.04,0.0,0.0,4.4,25.22,33.39,46.62,30.8,0.0,0.0
ir_tbp_1_dft-pme3_1_dft-pme3_1_dft-iacn_1_dft-oh_1_smi1_1_s_1,154.0,352.0,660.0,1487.0,234.0,0.0,0.0,2.0,8.0,16.0,38.0,6.0,0.0,0.0,8.0,28.0,59.0,98.0,15.0,0.0,0.0,2.82,9.17,16.68,33.1,5.16,0.0,0.0,4.4,19.17,38.14,83.95,13.2,0.0,0.0
ir_tbp_1_dft-pet3_1_dft-py_1_dft-co_1_dft-cch_1_smi1_1_s_1,154.0,342.0,583.0,1117.0,941.0,78.0,0.0,2.0,8.0,14.0,28.0,24.0,2.0,0.0,8.0,27.0,49.0,83.0,62.0,5.0,0.0,2.82,8.88,14.91,26.18,21.06,1.72,0.0,4.4,19.13,34.14,63.35,53.15,4.4,0.0
ir_tbp_1_dft-pyz_1_dft-ime_1_dft-hicn_1_chloride_1_smi1_1_s_1,154.0,344.0,418.0,732.0,864.0,0.0,0.0,2.0,8.0,10.0,18.0,22.0,0.0,0.0,8.0,25.0,34.0,59.0,56.0,0.0,0.0,2.82,8.83,10.64,18.0,19.32,0.0,0.0,4.4,20.1,25.22,41.7,49.24,0.0,0.0
