id,Z-0_FA_AB,Z-1_FA_AB,Z-2_FA_AB,Z-3_FA_AB,Z-4_FA_AB,Z-5_FA_AB,Z-6_FA_AB,I-0_FA_AB,I-1_FA_AB,I-2_FA_AB,I-3_FA_AB,I-4_FA_AB,I-5_FA_AB,I-6_FA_AB,T-0_FA_AB,T-1_FA_AB,T-2_FA_AB,T-3_FA_AB,T-4_FA_AB,T-5_FA_AB,T-6_FA_AB,S-0_FA_AB,S-1_FA_AB,S-2_FA_AB,S-3_FA_AB,S-4_FA_AB,S-5_FA_AB,S-6_FA_AB,chi-0_FA_AB,chi-1_FA_AB,chi-2_FA_AB,chi-3_FA_AB,chi-4_FA_AB,chi-5_FA_AB,chi-6_FA_AB
ir_tbp_1_dft-pph3_1_dft-pme3_1_dft-iacn_1_dft-itcn_1_smi1_1_s_1,3641.8,6317.8,9646.1,10563.2,11467.1,10359.9,7889.7,422.4,731.8,1075.1,1423.4,1657.3,2148.2,2371.6,1154.2,1806.9,2695.1,3174.9,3919.2,4749.2,4287.0,296.345,483.017,712.342,872.726,1055.209,1252.746,1162.169,1039.506,1759.96,2593.17,3411.404,4058.905,5210.12,5581.405
ir_tbp_1_dft-asme3_1_dft-oxaz_1_dft-iacn_1_chloride_1_smi1_1_s_1,2744.2,4658.2,6213.8,4616.6,2702.6,1590.4,583.1,216.4,405.9,523.5,673.1,508.9,556.3,422.7,622.3,947.4,1253.9,1207.3,1099.4,1041.8,489.1,155.048,262.437,342.121,365.482,285.97,250.835,142.3,540.308,995.64,1290.409,1634.66,1262.441,1323.827,948.247
ir_tbp_1_dft-py_1_dft-sime_1_dft-iacn_1_iodide_1_smi1_1_s_1,2704.5,3874.0,5751.8,8251.7,5699.4,2555.8,1923.6,255.4,453.3,575.7,678.0,738.3,625.1,656.6,708.7,1046.2,1381.9,1511.4,1411.8,1347.7,1293.6,176.682,280.16,372.307,431.284,430.422,336.156,308.996,646.051,1138.618,1435.79,1648.071,1819.881,1539.253,1537.043
ir_tbp_1_dft-pet3_1_dft-oxaz_1_dft-co_1_chloride_1_smi1_1_s_1,2999.8,4434.7,6643.9,6838.5,3520.1,1703.0,912.2,256.6,508.0,694.5,922.0,978.7,684.0,431.3,777.5,1259.3,1712.7,2026.6,1769.5,1173.8,630.3,181.206,321.121,432.797,530.241,473.342,290.671,167.44,641.92,1257.872,1694.857,2278.414,2367.148,1598.055,1003.485
ir_tbp_1_dft-pme3_1_dft-py_1_dft-co_1_dft-oh_1_smi1_1_s_1,2309.5,3710.0,5457.5,3328.1,2108.5,1129.3,443.2,201.5,358.3,520.6,679.8,481.6,389.4,235.1,559.9,878.9,1264.7,1193.2,901.9,671.2,319.0,143.063,235.149,331.647,339.73,250.842,177.745,89.634,501.593,871.729,1288.019,1658.153,1186.033,917.531,534.208
ir_tbp_1_dft-pme3_1_dft-nme3_1_dft-hicn_1_dft-cn_1_smi1_1_s_1,2337.1,4200.8,6830.6,3089.8,2332.4,613.8,0.0,215.6,401.2,578.5,927.4,713.1,613.8,0.0,616.8,979.8,1505.9,1640.5,1327.0,613.8,0.0,148.616,250.713,379.379,447.358,345.14,190.292,0.0,531.503,956.775,1395.795,2196.731,1730.485,1350.457,0.0
ir_tbp_1_dft-ime_1_dft-sime_1_dft-iacn_1_dft-icn_1_smi1_1_s_1,2658.7,3977.6,5523.7,8853.7,4152.7,3982.3,3429.3,296.5,524.0,640.9,850.6,1026.3,1012.7,947.0,820.5,1200.0,1607.7,1999.4,2107.7,2045.2,2041.0,198.473,311.414,409.264,530.151,556.52,532.221,484.655,760.268,1326.295,1620.474,2116.403,2570.72,2555.191,2311.977
ir_tbp_1_dft-nme3_1_dft-nme3_1_dft-hicn_1_dft-itcn_1_smi1_1_s_1,2284.4,3901.2,7061.9,3126.6,2880.2,1644.7,0.0,222.3,403.5,575.0,945.6,761.6,760.4,0.0,625.8,978.5,1520.6,1707.2,1522.0,760.4,0.0,149.116,239.985,376.792,453.753,394.162,279.339,0.0,563.693,1004.477,1412.016,2290.484,1831.774,1695.184,0.0
ir_tbp_1_dft-nme3_1_dft-sime_1_dft-iacn_1_dft-itcn_1_smi1_1_s_1,2554.8,4068.4,6458.1,6671.8,3907.6,3823.7,2031.0,275.1,501.4,649.2,937.5,937.2,993.3,1011.3,776.5,1167.8,1650.6,1936.4,1972.2,2076.6,1227.2,183.494,293.842,413.123,518.022,506.935,516.618,376.279,698.129,1254.043,1610.126,2284.758,2341.444,2375.525,2266.697
ir_tbp_1_dft-pph3_1_dft-asme3_1_dft-iacn_1_dft-cn_1_smi1_1_s_1,3847.7,6954.7,9633.7,10693.1,11757.7,10087.4,7024.0,414.1,724.7,1071.1,1402.6,1604.7,2034.5,2256.1,1138.8,1795.8,2670.4,3101.4,3753.4,4523.6,4063.9,291.05,481.119,707.534,853.588,1013.538,1171.869,1074.338,1015.738,1734.347,2575.539,3349.582,3920.494,4936.126,5311.553
ir_tbp_1_dft-pyz_1_dft-iz_1_dft-hicn_1_bromide_1_smi1_1_s_1,3112.8,5131.6,5733.6,3736.1,1783.4,671.5,126.8,199.0,395.7,545.5,531.7,403.3,242.7,69.8,619.5,1112.1,1329.3,1094.6,766.8,370.8,79.3,152.819,288.369,368.781,314.718,214.449,106.857,25.443,512.956,1032.151,1399.255,1337.258,1000.002,581.822,161.585
ir_tbp_1_dft-phos_1_dft-sime_1_dft-iacn_1_dft-sh_1_smi1_1_s_1,2676.6,3983.6,5394.4,7364.1,4142.0,2578.9,1930.6,263.5,464.2,603.2,717.3,801.8,745.7,663.2,727.7,1084.6,1450.4,1613.7,1607.2,1478.3,1300.5,184.627,294.61,390.513,447.113,457.98,373.928,311.092,655.599,1139.051,1476.772,1726.96,1927.146,1805.517,1551.69
ir_tbp_1_dft-sime_1_dft-sime_1_dft-hicn_1_dft-no2_1_smi1_1_s_1,3457.1,4760.3,5835.3,9379.7,4988.9,2812.2,2069.5,306.3,601.7,748.5,1019.1,1335.6,890.9,683.4,934.6,1495.9,1970.2,2639.8,2585.5,1641.7,1515.1,211.334,366.634,469.575,619.532,670.833,415.954,328.288,795.771,1563.752,1943.703,2576.527,3367.043,2181.901,1600.489
ir_tbp_1_dft-asme3_1_dft-nme3_1_dft-co_1_dft-sh_1_smi1_1_s_1,2690.9,4913.2,7125.0,3854.8,1865.1,503.5,0.0,207.4,395.2,573.2,901.7,634.4,503.5,0.0,602.7,968.4,1474.9,1536.2,1137.9,503.5,0.0,147.349,254.054,378.565,438.892,286.738,156.075,0.0,508.36,941.57,1379.007,2120.839,1523.851,1107.631,0.0
ir_tbp_1_dft-ime_1_dft-iz_1_dft-co_1_dft-no2_1_smi1_1_s_1,3197.3,4300.7,4881.9,6055.5,3169.6,1592.5,804.8,239.0,442.9,548.0,683.8,756.5,486.5,293.6,708.5,1138.1,1409.3,1675.9,1479.4,835.3,505.4,173.832,292.491,361.04,427.605,400.141,231.099,130.921,634.578,1191.213,1458.44,1783.964,1960.771,1190.368,694.006
ir_tbp_1_dft-pme3_1_dft-iz_1_dft-co_1_fluoride_1_smi1_1_s_1,2637.9,3681.9,5289.2,3102.4,1315.1,747.3,141.4,190.1,359.0,481.1,671.2,330.8,297.2,141.4,562.1,895.8,1239.4,1119.9,678.4,494.5,141.4,139.915,237.663,309.776,324.378,173.475,127.027,43.84,481.47,910.756,1217.378,1683.882,812.566,697.042,311.12
ir_tbp_1_dft-pph3_1_dft-py_1_dft-co_1_dft-oh_1_smi1_1_s_1,3272.1,5156.0,7499.3,9357.2,9645.9,7537.1,5592.5,377.3,633.4,972.0,1120.9,1314.2,1593.4,1567.3,1010.7,1605.4,2353.9,2560.9,3051.4,3404.6,3018.5,263.607,421.772,626.925,703.147,827.974,913.982,809.826,943.317,1566.075,2389.827,2739.415,3293.744,3963.677,3775.392
ir_tbp_1_dft-pet3_1_dft-iz_1_dft-iacn_1_dft-cn_1_smi1_1_s_1,2658.4,4451.0,6498.5,7046.0,4057.7,2978.8,1587.6,277.0,504.4,693.7,891.4,1127.1,981.9,707.3,781.4,1215.9,1635.8,2042.9,2152.9,1754.5,1138.4,189.323,313.013,430.662,529.194,572.224,459.952,289.319,687.786,1216.36,1667.873,2164.341,2728.661,2348.981,1633.281
ir_tbp_1_dft-pph3_1_dft-pph3_1_dft-co_1_chloride_1_smi1_1_s_1,4402.9,7215.4,10986.1,15459.7,18364.3,15829.9,12949.7,553.6,941.8,1459.5,1739.5,2194.8,2891.6,3144.8,1495.4,2401.3,3592.3,4122.7,5315.9,6469.9,6645.3,388.306,633.318,964.853,1143.074,1484.515,1775.668,1758.95,1369.114,2296.312,3545.049,4205.933,5424.215,7137.474,7646.469
ir_tbp_1_dft-ime_1_dft-oxaz_1_dft-iacn_1_chloride_1_smi1_1_s_1,2429.0,3418.5,4909.0,6258.3,3080.1,2169.6,1625.8,235.3,419.0,500.2,585.8,632.5,575.4,588.5,654.3,955.2,1195.5,1304.8,1257.8,1237.4,1049.5,162.014,256.495,325.366,371.315,357.044,300.2,260.402,605.726,1075.396,1272.128,1465.095,1609.255,1422.507,1396.307
ir_tbp_1_dft-pyz_1_dft-pph3_1_dft-co_1_dft-itcn_1_smi1_1_s_1,3395.0,5479.2,7925.0,9877.2,10165.1,8605.5,6868.5,384.5,629.0,959.2,1141.7,1388.5,1698.7,1673.2,1013.4,1588.2,2356.6,2653.0,3234.2,3635.1,3189.0,272.965,428.086,638.152,743.178,903.12,1015.134,910.956,966.237,1562.15,2366.059,2796.598,3484.659,4235.327,4056.418
ir_tbp_1_dft-pme3_1_dft-py_1_dft-hicn_1_dft-icn_1_smi1_1_s_1,2439.6,4062.3,6169.0,3812.1,2818.3,1785.6,633.7,222.6,379.4,545.7,746.0,614.5,586.3,286.1,601.9,925.0,1355.9,1392.3,1235.0,929.5,390.6,158.545,252.582,360.846,396.726,341.981,268.583,114.471,557.524,924.018,1342.944,1819.021,1519.752,1411.98,664.799
ir_tbp_1_dft-asme3_1_dft-ime_1_dft-co_1_dft-sh_1_smi1_1_s_1,2819.8,4779.2,6055.5,5586.8,3505.6,1794.3,486.6,227.5,417.1,561.3,796.7,672.6,592.5,486.6,644.6,996.2,1410.1,1532.0,1304.0,1135.0,486.6,163.182,272.261,369.969,437.391,362.766,277.666,150.834,562.593,1007.607,1378.91,1914.386,1647.235,1409.461,1070.434
ir_tbp_1_dft-pet3_1_dft-ime_1_dft-iacn_1_dft-cch_1_smi1_1_s_1,2845.5,4731.9,7137.3,9203.7,5172.3,4306.4,2836.1,322.2,591.2,782.3,1078.2,1398.0,1356.7,1225.6,913.4,1391.4,1912.6,2538.0,2798.8,2653.9,2117.3,215.891,355.384,490.378,647.889,722.168,654.651,515.221,794.971,1422.356,1881.985,2603.113,3351.021,3246.667,2809.098
ir_tbp_1_dft-pet3_1_dft-sime_1_dft-co_1_dft-cn_1_smi1_1_s_1,2758.9,4655.7,6714.1,8767.3,4761.7,3585.5,1920.0,301.4,572.0,798.7,1078.4,1324.2,1123.4,840.7,873.3,1387.8,1941.1,2464.5,2491.5,2022.7,1488.3,203.004,344.955,488.583,628.972,664.021,527.836,351.289,747.059,1377.815,1933.306,2617.59,3194.535,2740.613,1925.183
ir_tbp_1_dft-oxaz_1_dft-phos_1_dft-hicn_1_dft-no2_1_smi1_1_s_1,3262.2,4701.5,5564.6,4791.4,2720.0,1385.7,649.7,230.4,428.7,563.5,667.9,564.7,410.6,251.0,685.7,1122.5,1436.6,1455.4,1151.9,750.7,398.8,173.273,300.483,378.946,394.738,312.875,200.418,107.879,600.63,1129.628,1445.605,1714.987,1445.1,1001.816,591.167
ir_tbp_1_dft-pph3_1_dft-ime_1_dft-iacn_1_dft-itcn_1_smi1_1_s_1,3622.6,5827.9,8503.3,12395.6,11496.3,10234.7,9528.0,440.2,743.5,1051.4,1317.7,1685.0,2135.6,2258.4,1183.7,1812.8,2615.9,3158.7,3977.4,4665.2,4697.0,304.65,481.575,693.462,862.287,1073.832,1250.881,1254.248,1101.707,1836.369,2581.618,3220.996,4181.576,5282.461,5479.476
ir_tbp_1_dft-iz_1_dft-iz_1_dft-iacn_1_chloride_1_smi1_1_s_1,2226.4,2996.8,4209.0,4042.5,1997.1,1361.1,831.9,189.3,313.4,388.1,388.1,378.2,349.3,322.7,502.7,737.1,877.3,815.5,775.3,741.4,530.3,135.37,206.538,256.098,250.189,225.976,187.684,138.888,492.266,815.153,983.879,984.461,978.449,861.793,761.348
ir_tbp_1_dft-iz_1_dft-py_1_dft-hicn_1_chloride_1_smi1_1_s_1,2619.5,3832.2,4766.2,3760.2,1810.8,955.8,364.0,195.1,348.6,486.8,506.7,406.8,293.4,163.4,556.1,911.9,1168.6,1046.9,782.0,524.8,239.8,144.492,243.163,321.706,302.011,225.02,142.846,66.517,501.412,902.825,1236.044,1267.646,1018.078,707.101,377.641
ir_tbp_1_dft-iz_1_dft-nme3_1_dft-co_1_fluoride_1_smi1_1_s_1,2480.8,3217.2,5159.0,2975.5,1223.1,745.2,141.4,187.6,351.4,468.8,667.5,326.5,295.1,141.4,552.0,875.5,1221.2,1111.7,669.8,492.4,141.4,132.294,216.608,300.239,317.266,167.839,126.369,43.836,487.952,930.453,1194.841,1686.856,809.808,692.375,311.094
ir_tbp_1_dft-oxaz_1_dft-sime_1_dft-iacn_1_fluoride_1_smi1_1_s_1,2811.1,4225.7,6316.5,5689.4,2963.7,2146.9,1181.6,255.6,502.6,662.0,799.3,784.0,681.8,566.4,770.5,1256.7,1688.7,1743.3,1574.2,1345.7,855.9,175.23,305.156,414.259,442.411,396.396,322.82,221.343,659.139,1304.647,1695.164,2027.923,1978.06,1643.182,1307.898
ir_tbp_1_dft-pyz_1_dft-asme3_1_dft-co_1_iodide_1_smi1_1_s_1,3273.3,5448.7,6768.0,5611.5,2396.4,902.9,367.7,201.4,372.9,510.4,715.3,391.0,327.7,199.9,588.3,923.8,1321.8,1224.7,779.4,572.6,227.9,154.602,268.076,353.629,388.3,219.025,148.123,73.155,503.774,923.168,1267.092,1727.684,947.594,768.279,463.277
ir_tbp_1_dft-pyz_1_dft-ime_1_dft-co_1_dft-no2_1_smi1_1_s_1,3245.9,4355.9,5122.6,6445.5,3456.8,1822.0,961.5,247.8,453.7,568.4,719.4,810.7,521.2,329.5,728.2,1151.4,1475.5,1764.7,1583.4,914.8,588.9,180.32,299.483,379.611,451.703,433.92,256.019,153.8,655.63,1219.205,1515.345,1863.645,2105.273,1288.707,774.825
ir_tbp_1_dft-pyz_1_dft-pme3_1_dft-hicn_1_fluoride_1_smi1_1_s_1,2298.7,3556.5,5591.6,3308.3,1865.8,1112.3,407.9,197.2,347.0,481.1,643.0,439.3,431.0,221.9,544.2,828.1,1185.1,1110.9,899.2,700.7,252.9,140.961,226.755,315.023,323.088,239.6,187.76,81.196,494.659,857.899,1211.415,1593.309,1092.362,1008.405,514.284
ir_tbp_1_dft-pyz_1_dft-iz_1_dft-hicn_1_dft-icn_1_smi1_1_s_1,2653.2,4119.0,5038.0,3733.6,2240.8,1388.5,446.1,206.8,352.3,502.5,563.8,508.8,372.0,159.1,571.5,930.7,1248.3,1203.6,983.5,615.8,213.4,152.126,246.389,336.239,339.025,285.989,187.294,67.989,541.126,924.685,1296.519,1445.689,1304.73,937.173,388.86
ir_tbp_1_dft-asme3_1_dft-sime_1_dft-iacn_1_fluoride_1_smi1_1_s_1,2853.2,4729.2,6266.4,6628.1,4172.5,2607.3,1267.2,258.7,492.2,628.1,863.6,778.4,790.7,907.2,750.9,1137.5,1555.6,1703.9,1603.3,1760.7,1123.2,177.547,298.553,391.432,462.238,417.866,392.17,311.471,644.193,1205.274,1564.712,2115.583,1948.168,1889.142,2021.018
ir_tbp_1_dft-pme3_1_dft-phos_1_dft-hicn_1_chloride_1_smi1_1_s_1,2510.1,3996.9,6127.5,4029.7,2215.9,1229.0,472.4,206.4,365.9,519.0,678.3,455.9,453.4,252.3,572.4,884.9,1263.2,1166.6,938.7,753.5,345.3,153.153,253.846,354.582,370.156,254.653,201.092,96.389,501.018,862.602,1249.255,1606.523,1112.849,1053.648,571.854
ir_tbp_1_dft-pme3_1_dft-py_1_dft-iacn_1_dft-no2_1_smi1_1_s_1,3388.9,5114.2,6711.9,5490.5,3242.3,1933.5,907.4,262.2,503.0,671.3,974.2,742.5,630.4,522.1,791.8,1286.9,1805.6,1944.0,1513.6,1221.5,695.2,190.538,333.939,441.972,517.133,395.077,300.338,193.893,667.203,1278.818,1703.674,2431.842,1835.602,1486.827,1176.849
ir_tbp_1_dft-pph3_1_dft-asme3_1_dft-co_1_dft-sh_1_smi1_1_s_1,3815.7,6803.5,9428.2,9992.3,11114.1,9365.1,5945.6,387.5,681.3,1039.7,1352.4,1465.0,1771.5,1883.2,1068.8,1721.0,2590.7,2911.5,3351.6,3883.0,3369.8,276.809,462.014,689.903,814.256,919.416,1027.214,893.128,948.111,1627.379,2498.321,3216.892,3567.695,4286.26,4432.367
ir_tbp_1_dft-pyz_1_dft-py_1_dft-hicn_1_iodide_1_smi1_1_s_1,3287.2,5621.1,6633.8,4758.8,2614.4,1165.9,349.4,214.7,421.1,595.4,591.4,468.7,329.6,142.2,660.6,1170.3,1452.6,1221.5,929.8,558.1,202.5,164.296,307.522,406.295,354.507,260.89,158.679,59.816,545.767,1080.972,1507.536,1459.773,1145.593,788.065,334.132
ir_tbp_1_dft-pet3_1_dft-asme3_1_dft-iacn_1_dft-cn_1_smi1_1_s_1,3144.5,5943.2,8440.7,7902.0,5417.6,3141.1,1181.8,297.0,569.6,799.0,1163.1,1341.8,1293.0,901.8,866.6,1368.6,1962.1,2504.9,2634.8,2194.8,1069.8,205.512,357.261,505.987,651.388,674.727,549.269,303.078,717.036,1324.406,1881.506,2751.199,3193.229,3001.285,2003.592
ir_tbp_1_dft-nme3_1_dft-nme3_1_dft-co_1_dft-cn_1_smi1_1_s_1,2162.8,3754.1,6404.7,2757.7,2220.8,503.4,0.0,207.0,385.6,559.7,898.4,654.6,503.4,0.0,592.6,945.4,1458.1,1553.0,1158.0,503.4,0.0,137.645,227.452,360.357,419.935,315.354,156.068,0.0,524.12,955.899,1374.922,2160.668,1615.145,1107.582,0.0
ir_tbp_1_dft-pph3_1_dft-iz_1_dft-iacn_1_dft-cch_1_smi1_1_s_1,3389.7,5500.8,7935.8,10154.0,10152.3,8534.0,6761.3,402.3,671.8,977.1,1155.5,1458.6,1854.8,1931.7,1074.1,1666.7,2382.1,2732.6,3470.5,4057.2,3770.1,279.693,442.955,640.241,749.012,931.611,1074.028,993.524,1003.933,1653.198,2381.538,2801.176,3608.151,4550.442,4632.242
ir_tbp_1_dft-pet3_1_dft-asme3_1_dft-co_1_dft-no2_1_smi1_1_s_1,3951.3,7058.8,9109.4,8183.8,4886.4,2059.5,503.4,297.9,613.7,891.1,1406.9,1370.1,1024.6,503.4,938.3,1618.8,2412.5,3005.9,2506.6,1528.0,503.4,215.309,407.763,574.303,752.251,639.673,397.891,156.066,739.69,1490.739,2193.292,3460.744,3293.75,2347.485,1107.566
ir_tbp_1_dft-ime_1_dft-iz_1_dft-co_1_bromide_1_smi1_1_s_1,2812.5,3712.0,4772.1,6024.5,3331.6,1196.1,804.8,213.0,381.0,462.5,563.1,573.2,360.9,293.6,606.9,918.6,1158.4,1298.6,1057.1,709.7,505.4,155.161,252.249,310.399,360.317,317.026,178.629,130.927,553.196,996.713,1188.952,1422.098,1448.96,866.123,694.035
ir_tbp_1_dft-nme3_1_dft-sime_1_dft-iacn_1_dft-cn_1_smi1_1_s_1,3290.6,5617.9,8798.2,5214.3,3646.1,1654.3,365.3,285.9,599.8,889.0,1336.5,1139.6,958.3,365.3,910.4,1667.9,2537.3,2699.3,2198.1,1342.3,365.3,196.559,372.782,576.069,670.759,547.532,354.575,113.241,724.78,1515.674,2218.197,3242.629,2748.421,2160.989,803.645
ir_tbp_1_dft-pyz_1_dft-asme3_1_dft-iacn_1_bromide_1_smi1_1_s_1,2858.8,4778.8,6578.0,5674.0,3287.9,1674.9,819.4,218.6,390.0,514.2,673.9,511.9,539.6,473.3,608.6,904.2,1249.0,1215.1,1081.4,1061.4,580.7,159.277,260.573,349.467,381.354,301.216,259.521,172.539,542.776,950.754,1266.872,1620.367,1261.572,1279.166,1078.712
ir_tbp_1_dft-pph3_1_dft-py_1_dft-iacn_1_dft-cn_1_smi1_1_s_1,3440.6,5563.7,7993.2,10513.9,10484.1,8740.2,7000.5,411.4,687.7,1018.4,1189.8,1463.7,1850.3,1917.5,1099.1,1706.1,2471.2,2779.5,3461.4,4030.1,3810.1,286.362,453.167,664.59,768.148,941.257,1084.586,1010.836,1024.696,1688.274,2486.499,2887.439,3628.541,4570.27,4616.97
ir_tbp_1_dft-pyz_1_dft-py_1_dft-hicn_1_dft-no2_1_smi1_1_s_1,3571.6,5177.6,5693.6,4679.6,2655.4,1320.3,548.5,240.3,477.0,651.4,734.6,589.7,390.0,206.5,756.3,1337.6,1692.9,1609.5,1179.2,696.0,320.7,181.202,331.719,429.018,428.069,321.504,193.025,91.066,631.459,1293.891,1716.41,1889.457,1491.685,946.057,485.015
ir_tbp_1_dft-oxaz_1_dft-py_1_dft-hicn_1_dft-icn_1_smi1_1_s_1,2700.4,4314.1,5362.3,4152.3,2441.2,1566.1,561.5,220.2,392.9,562.3,636.5,577.5,439.9,214.6,625.4,1031.2,1393.1,1358.9,1122.6,743.8,291.7,159.1,265.072,364.153,371.486,315.642,216.015,88.782,571.636,1020.76,1433.452,1614.725,1470.556,1095.588,517.967
ir_tbp_1_dft-iz_1_dft-sime_1_dft-co_1_fluoride_1_smi1_1_s_1,2666.9,3259.6,4389.5,5785.2,2532.4,1277.3,914.7,220.9,410.7,509.4,621.9,657.3,386.1,343.6,644.7,992.4,1272.7,1439.5,1175.3,785.2,596.1,155.184,252.548,317.251,367.791,324.932,191.141,150.871,574.968,1082.824,1314.505,1579.218,1695.075,925.639,810.355
ir_tbp_1_dft-pyz_1_dft-nme3_1_dft-co_1_dft-itcn_1_smi1_1_s_1,2699.3,4446.4,6220.4,3715.9,2551.4,1553.2,193.7,218.2,399.9,593.5,837.3,625.3,392.2,97.0,630.5,1051.6,1569.5,1582.8,1059.2,554.4,97.0,156.904,263.141,393.619,439.987,325.512,192.404,34.853,559.828,1023.572,1506.85,2066.096,1539.449,934.631,215.939
ir_tbp_1_dft-pyz_1_dft-pme3_1_dft-hicn_1_dft-cch_1_smi1_1_s_1,2379.3,3975.2,5985.8,3605.5,2367.0,1356.6,448.5,214.0,365.1,517.0,720.7,600.8,548.7,244.1,579.1,882.0,1298.6,1350.2,1183.7,848.8,278.1,152.677,243.268,346.924,382.419,323.178,234.34,89.285,530.708,882.839,1267.385,1723.908,1457.056,1278.384,565.532
