id,Z-0_FR_AB,Z-1_FR_AB,Z-2_FR_AB,Z-3_FR_AB,Z-4_FR_AB,Z-5_FR_AB,Z-6_FR_AB,I-0_FR_AB,I-1_FR_AB,I-2_FR_AB,I-3_FR_AB,I-4_FR_AB,I-5_FR_AB,I-6_FR_AB,T-0_FR_AB,T-1_FR_AB,T-2_FR_AB,T-3_FR_AB,T-4_FR_AB,T-5_FR_AB,T-6_FR_AB,S-0_FR_AB,S-1_FR_AB,S-2_FR_AB,S-3_FR_AB,S-4_FR_AB,S-5_FR_AB,S-6_FR_AB,chi-0_FR_AB,chi-1_FR_AB,chi-2_FR_AB,chi-3_FR_AB,chi-4_FR_AB,chi-5_FR_AB,chi-6_FR_AB
ir_tbp_1_dft-pph3_1_dft-py_1_dft-co_1_dft-oh_1_smi1_1_s_1,2208.7,3742.2,5513.6,7005.6,7188.9,5772.2,4270.5,282.5,447.4,715.1,819.9,962.6,1184.5,1178.3,729.9,1162.5,1723.5,1880.8,2245.1,2543.0,2290.3,189.962,303.772,459.085,517.146,610.292,683.478,613.784,702.618,1108.145,1753.308,2006.698,2415.008,2949.248,2844.802
ir_tbp_1_dft-pet3_1_dft-iz_1_dft-iacn_1_dft-cn_1_smi1_1_s_1,1814.3,3062.7,5120.6,5889.6,3257.7,2552.9,1432.2,219.2,390.5,518.1,660.9,866.5,784.2,615.8,609.7,921.8,1220.5,1542.3,1674.6,1456.2,1015.1,142.896,235.382,322.466,402.112,449.613,380.627,255.865,541.093,938.897,1238.086,1603.269,2107.742,1893.671,1426.61
ir_tbp_1_dft-pph3_1_dft-pph3_1_dft-co_1_chloride_1_smi1_1_s_1,2921.8,4963.7,8003.9,11113.3,13397.5,11835.4,9755.1,408.2,657.9,1060.0,1244.6,1553.3,2056.5,2321.0,1066.1,1717.9,2586.3,2945.5,3764.3,4670.6,4939.7,275.407,448.549,693.188,820.217,1055.342,1284.21,1310.308,1003.157,1609.939,2566.459,3006.947,3838.868,5088.761,5654.788
ir_tbp_1_dft-ime_1_dft-oxaz_1_dft-iacn_1_chloride_1_smi1_1_s_1,1652.0,2399.3,3835.1,5182.7,2473.8,1826.6,1433.4,185.5,324.7,374.8,435.2,471.7,451.9,509.8,510.3,725.7,897.6,971.5,953.0,1022.4,920.3,122.434,193.202,244.607,283.226,275.9,245.243,227.498,473.683,831.701,949.109,1087.376,1215.641,1129.264,1211.92
ir_tbp_1_dft-pyz_1_dft-pph3_1_dft-co_1_dft-itcn_1_smi1_1_s_1,2243.7,3697.3,5709.5,7144.5,7374.7,6378.2,5144.9,280.0,441.7,696.6,808.8,975.9,1202.2,1223.4,721.7,1138.3,1692.2,1880.1,2275.1,2602.9,2364.2,191.528,302.564,457.83,526.958,638.087,729.24,675.149,698.404,1099.873,1712.698,1978.524,2449.305,3006.583,2976.693
ir_tbp_1_dft-pme3_1_dft-py_1_dft-hicn_1_dft-icn_1_smi1_1_s_1,1598.6,2714.0,4816.8,2898.8,2169.4,1466.6,556.0,166.4,275.6,390.3,559.4,427.0,452.1,244.5,441.9,665.9,997.4,1010.9,898.5,739.9,339.3,112.779,180.65,263.134,293.014,249.865,213.313,98.976,412.608,665.303,958.219,1362.214,1067.231,1098.122,569.31
ir_tbp_1_dft-asme3_1_dft-ime_1_dft-co_1_dft-sh_1_smi1_1_s_1,1864.3,3528.6,4939.4,4617.7,2922.4,1565.4,438.3,180.7,318.7,413.0,624.4,524.0,482.4,438.3,499.4,744.8,1077.9,1198.0,1031.6,972.9,438.3,122.451,203.796,280.992,347.447,290.38,234.441,135.873,445.617,766.697,1013.423,1498.132,1295.787,1156.101,964.261
ir_tbp_1_dft-pet3_1_dft-ime_1_dft-iacn_1_dft-cch_1_smi1_1_s_1,1977.3,3288.7,5682.6,7709.0,4147.0,3674.9,2538.6,258.8,462.8,588.8,807.7,1078.9,1071.6,1071.9,721.5,1064.7,1437.0,1936.3,2174.3,2205.5,1882.3,165.728,270.277,370.527,498.835,567.456,538.26,455.497,635.709,1111.694,1410.312,1946.707,2596.979,2590.62,2460.867
ir_tbp_1_dft-pet3_1_dft-sime_1_dft-co_1_dft-cn_1_smi1_1_s_1,1910.9,3268.4,5335.0,7423.2,3856.8,3085.8,1736.8,242.5,454.0,615.1,825.0,1035.1,878.2,739.7,696.5,1082.5,1492.5,1909.8,1937.2,1668.5,1337.9,156.231,265.726,374.989,490.755,527.119,432.48,313.052,596.933,1092.077,1480.17,1994.181,2506.991,2176.033,1697.041
ir_tbp_1_dft-oxaz_1_dft-phos_1_dft-hicn_1_dft-no2_1_smi1_1_s_1,1971.6,2934.3,4020.5,3639.2,2052.9,1097.5,559.7,162.9,289.0,387.1,450.4,382.4,303.7,208.0,466.1,751.7,980.4,995.6,812.7,578.6,338.5,116.534,198.947,258.116,273.293,222.002,153.635,91.047,418.979,758.327,983.145,1162.601,996.177,748.65,491.875
ir_tbp_1_dft-pph3_1_dft-ime_1_dft-iacn_1_dft-itcn_1_smi1_1_s_1,2458.4,3994.7,6231.0,9440.5,8500.6,7814.9,7455.8,332.2,544.6,771.2,952.4,1211.9,1547.8,1714.8,876.8,1329.0,1906.0,2287.8,2861.1,3452.6,3629.8,221.081,349.52,504.993,627.276,777.637,926.954,968.61,826.184,1346.879,1889.213,2322.832,3009.928,3848.93,4174.617
ir_tbp_1_dft-iz_1_dft-iz_1_dft-iacn_1_chloride_1_smi1_1_s_1,1487.4,2158.4,3187.9,3328.4,1607.4,1133.5,741.6,146.4,235.6,289.4,280.6,277.1,279.2,274.4,382.0,551.2,653.1,587.5,586.8,607.6,464.7,100.104,153.444,190.808,185.089,173.775,153.717,120.712,378.61,611.145,731.857,711.066,728.617,692.627,650.984
ir_tbp_1_dft-iz_1_dft-py_1_dft-hicn_1_chloride_1_smi1_1_s_1,1646.6,2658.0,3560.7,2976.7,1425.2,795.3,320.8,144.3,242.6,352.6,357.9,298.7,232.3,140.7,394.4,646.5,841.6,752.4,588.9,428.0,209.3,101.491,170.041,231.686,218.928,171.01,116.081,57.86,369.28,627.013,891.366,899.247,754.922,563.346,325.78
ir_tbp_1_dft-iz_1_dft-nme3_1_dft-co_1_fluoride_1_smi1_1_s_1,1614.9,2354.7,4290.1,2462.1,1011.6,664.7,129.8,147.4,266.6,355.2,518.4,250.5,248.1,129.8,421.2,657.1,942.1,862.4,536.6,430.2,129.8,98.825,160.953,232.272,249.569,134.014,109.201,40.241,379.175,696.277,904.702,1322.936,629.367,586.035,285.581
ir_tbp_1_dft-oxaz_1_dft-sime_1_dft-iacn_1_fluoride_1_smi1_1_s_1,1880.9,3003.9,5081.3,4740.1,2423.4,1861.1,1068.7,202.6,387.1,492.9,602.6,593.1,562.4,503.6,597.3,945.3,1272.2,1321.8,1239.8,1150.4,768.5,132.981,228.639,313.036,339.85,311.716,273.248,198.072,517.549,998.452,1255.956,1536.857,1520.812,1363.917,1164.941
ir_tbp_1_dft-pyz_1_dft-asme3_1_dft-co_1_iodide_1_smi1_1_s_1,1981.3,3685.4,5240.2,4637.3,1940.8,753.5,336.9,151.0,267.9,361.7,535.7,278.1,264.3,180.1,425.9,651.1,969.2,911.3,584.4,480.3,206.2,108.19,187.317,256.791,298.427,164.595,122.015,66.289,374.818,656.048,898.668,1303.549,679.318,619.805,418.21
ir_tbp_1_dft-pyz_1_dft-ime_1_dft-co_1_dft-no2_1_smi1_1_s_1,2008.6,2920.5,3652.2,5030.7,2610.8,1416.1,807.2,180.4,319.8,409.7,501.5,575.4,381.7,261.5,514.5,805.4,1049.0,1246.5,1153.2,686.8,487.3,125.5,207.734,269.727,319.903,316.947,192.843,125.784,471.017,850.0,1082.346,1299.881,1519.136,954.401,618.076
ir_tbp_1_dft-pyz_1_dft-pme3_1_dft-hicn_1_fluoride_1_smi1_1_s_1,1530.1,2485.4,4503.7,2650.6,1478.2,933.2,374.9,151.7,255.4,350.0,497.1,323.0,346.3,200.3,407.1,605.5,892.0,841.6,686.5,585.5,229.4,103.058,165.686,235.938,248.917,183.246,154.46,73.735,378.121,625.552,879.286,1237.818,812.416,811.756,465.116
ir_tbp_1_dft-pyz_1_dft-iz_1_dft-hicn_1_dft-icn_1_smi1_1_s_1,1675.5,2746.9,3661.9,2800.7,1629.1,1107.9,390.7,147.7,241.0,354.8,383.9,356.7,282.4,133.9,396.2,647.2,871.3,832.5,705.7,480.7,182.3,104.21,169.119,235.355,234.419,205.099,146.227,58.197,384.614,630.979,910.487,985.061,919.765,717.088,329.211
ir_tbp_1_dft-asme3_1_dft-sime_1_dft-iacn_1_fluoride_1_smi1_1_s_1,1943.5,3468.8,5115.4,5628.5,3522.2,2291.7,1160.6,210.0,387.9,469.4,689.3,592.1,631.3,828.5,597.9,870.8,1211.2,1331.1,1242.8,1517.5,1027.8,137.022,229.233,301.982,369.613,330.28,330.089,284.724,519.951,944.89,1167.408,1686.47,1505.451,1525.781,1845.863
ir_tbp_1_dft-pme3_1_dft-phos_1_dft-hicn_1_chloride_1_smi1_1_s_1,1608.6,2681.9,4811.3,3239.9,1781.2,1039.8,427.6,156.5,264.7,368.5,513.3,324.7,362.2,221.1,421.2,633.1,928.8,862.4,704.0,622.1,308.3,109.183,179.961,257.511,283.717,192.054,164.969,85.579,377.96,621.317,884.919,1214.722,803.142,845.567,502.012
ir_tbp_1_dft-pme3_1_dft-py_1_dft-iacn_1_dft-no2_1_smi1_1_s_1,2068.6,3339.4,5101.1,4201.1,2487.2,1576.5,788.1,191.8,350.7,456.8,702.2,505.2,477.8,442.2,556.8,870.1,1266.8,1392.9,1087.2,974.8,596.0,131.564,227.182,307.392,375.668,283.673,236.391,165.83,481.052,878.269,1154.927,1769.408,1271.634,1135.252,998.209
ir_tbp_1_dft-pph3_1_dft-asme3_1_dft-co_1_dft-sh_1_smi1_1_s_1,2475.0,4753.0,7200.4,7386.7,8113.7,7069.3,4665.6,287.8,479.9,740.4,996.0,1050.5,1293.0,1422.1,767.8,1220.3,1876.2,2120.2,2420.6,2869.5,2588.0,195.831,326.787,496.63,600.828,664.923,758.645,685.434,700.015,1145.999,1777.835,2363.375,2568.37,3132.925,3353.84
ir_tbp_1_dft-pyz_1_dft-py_1_dft-hicn_1_iodide_1_smi1_1_s_1,1943.8,3689.2,4796.9,3650.4,2070.7,958.6,305.6,153.1,276.9,413.4,406.9,339.6,254.8,120.2,445.1,786.0,1009.8,863.5,690.2,443.3,174.6,110.474,203.104,282.121,252.114,194.151,125.689,51.373,388.48,709.148,1043.624,1010.154,834.115,612.056,283.425
ir_tbp_1_dft-pet3_1_dft-asme3_1_dft-iacn_1_dft-cn_1_smi1_1_s_1,2094.4,4114.4,6782.4,6585.6,4564.6,2779.1,1092.8,236.7,440.1,580.5,881.0,1010.4,1070.7,831.8,676.8,1020.6,1461.5,1891.4,2081.1,1902.5,988.4,154.453,266.343,375.562,501.986,534.22,469.089,279.777,568.935,1019.225,1364.439,2074.918,2428.73,2500.768,1848.172
ir_tbp_1_dft-nme3_1_dft-nme3_1_dft-co_1_dft-cn_1_smi1_1_s_1,1463.1,2600.9,5563.3,2159.7,1947.0,470.3,0.0,165.2,306.9,418.1,715.6,484.0,470.3,0.0,472.1,725.0,1133.7,1199.7,954.3,470.3,0.0,104.771,172.235,280.607,331.479,255.075,145.778,0.0,412.681,758.427,1021.118,1718.686,1228.427,1034.554,0.0
ir_tbp_1_dft-pph3_1_dft-iz_1_dft-iacn_1_dft-cch_1_smi1_1_s_1,2269.3,3728.7,5875.6,7509.0,7385.8,6446.5,5178.4,297.9,474.1,702.4,820.2,1031.0,1338.1,1454.6,772.0,1189.7,1704.1,1940.0,2470.5,2983.2,2870.9,199.113,314.419,458.872,534.988,666.472,788.106,755.36,739.618,1171.725,1708.247,1985.578,2552.945,3294.296,3494.51
ir_tbp_1_dft-pet3_1_dft-asme3_1_dft-co_1_dft-no2_1_smi1_1_s_1,2440.7,4696.9,7087.9,6751.3,4110.5,1820.1,470.3,228.1,448.7,627.4,1036.2,1012.9,853.5,470.3,691.0,1138.4,1732.9,2255.0,1970.9,1323.8,470.3,154.215,286.527,409.321,571.987,499.566,339.571,145.779,558.698,1072.917,1528.238,2571.198,2474.894,1965.008,1034.563
ir_tbp_1_dft-ime_1_dft-iz_1_dft-co_1_bromide_1_smi1_1_s_1,1773.6,2546.9,3562.4,4854.6,2743.3,973.8,696.9,161.4,278.6,344.2,408.2,422.3,281.0,244.3,447.2,670.5,854.8,947.5,801.7,568.5,432.4,111.625,180.503,228.985,266.809,245.033,142.385,111.094,415.983,724.17,880.18,1031.17,1084.889,678.443,579.795
ir_tbp_1_dft-nme3_1_dft-sime_1_dft-iacn_1_dft-cn_1_smi1_1_s_1,2106.7,3941.4,7267.4,4186.2,3134.6,1501.7,338.5,224.8,454.0,637.1,1001.5,870.8,856.2,338.5,693.9,1209.4,1877.4,2064.5,1819.4,1212.2,338.5,146.458,270.54,425.359,515.146,445.085,318.744,104.947,564.509,1139.759,1582.569,2448.092,2134.74,1932.558,744.787
ir_tbp_1_dft-pyz_1_dft-asme3_1_dft-iacn_1_bromide_1_smi1_1_s_1,1830.9,3366.2,5079.6,4601.3,2704.5,1408.2,738.2,168.1,288.4,363.2,510.8,368.9,425.0,421.7,456.5,651.6,919.0,901.2,811.0,885.3,519.3,115.252,188.495,254.561,291.418,229.606,212.167,154.326,415.333,697.792,896.157,1229.814,919.421,1012.738,962.089
ir_tbp_1_dft-pph3_1_dft-py_1_dft-iacn_1_dft-cn_1_smi1_1_s_1,2288.7,3768.4,5759.7,7742.7,7619.6,6501.6,5290.7,302.2,483.4,730.3,842.9,1028.4,1314.6,1412.7,785.6,1213.8,1760.7,1969.5,2439.9,2905.1,2853.8,202.381,320.52,473.472,546.463,667.612,782.88,755.577,747.443,1190.435,1778.729,2042.831,2551.468,3258.532,3412.12
ir_tbp_1_dft-pyz_1_dft-py_1_dft-hicn_1_dft-no2_1_smi1_1_s_1,2116.6,3365.3,4009.6,3458.0,1987.2,1032.0,463.5,167.2,308.0,447.4,489.1,409.6,287.1,168.0,497.0,875.2,1153.0,1102.1,843.1,530.1,266.3,120.08,215.647,292.175,291.027,229.116,146.453,75.417,435.058,827.87,1174.546,1267.433,1049.631,703.276,396.13
ir_tbp_1_dft-oxaz_1_dft-py_1_dft-hicn_1_dft-icn_1_smi1_1_s_1,1709.6,2805.2,3998.1,3142.4,1787.2,1277.1,488.0,158.8,274.0,396.0,437.4,403.1,337.9,181.6,440.3,721.3,973.1,947.8,806.3,590.5,249.7,109.789,182.824,255.27,259.449,227.098,171.428,75.959,408.56,710.922,1002.85,1111.061,1033.841,849.199,440.175
ir_tbp_1_dft-iz_1_dft-sime_1_dft-co_1_fluoride_1_smi1_1_s_1,1772.2,2442.8,3396.8,4865.4,2108.6,1066.5,810.9,174.9,316.3,399.9,475.3,504.2,312.7,290.4,498.4,765.0,991.1,1096.8,928.6,646.2,520.4,117.577,192.116,246.932,283.763,258.548,157.341,130.455,451.049,825.548,1027.445,1203.665,1326.434,752.407,688.621
ir_tbp_1_dft-pyz_1_dft-nme3_1_dft-co_1_dft-itcn_1_smi1_1_s_1,1699.9,2973.0,4824.3,2761.0,1920.1,1323.5,169.5,159.9,288.4,421.5,615.1,442.5,306.6,84.8,455.9,748.2,1132.8,1154.1,773.8,447.9,84.8,109.211,183.757,283.063,321.859,238.728,156.993,30.456,406.253,733.672,1064.134,1519.263,1102.186,737.095,188.61
ir_tbp_1_dft-pyz_1_dft-pme3_1_dft-hicn_1_dft-cch_1_smi1_1_s_1,1566.6,2661.6,4789.9,2792.3,1855.3,1130.0,412.6,161.8,265.0,369.1,541.0,425.1,444.4,220.4,426.8,634.2,955.1,987.7,888.8,708.7,252.4,109.573,174.427,253.976,285.222,242.347,192.93,81.133,399.276,637.811,904.587,1292.674,1043.725,1035.348,511.77
ir_tbp_1_dft-pph3_1_dft-sime_1_dft-hicn_1_dft-icn_1_smi1_1_s_1,2411.0,3979.6,6308.6,9195.3,8254.1,7271.0,6281.7,327.0,544.2,806.4,999.9,1230.7,1503.3,1627.1,871.1,1364.0,1999.6,2354.1,2835.4,3320.4,3313.7,216.435,348.928,517.549,635.305,766.712,880.893,869.461,815.047,1347.074,1973.751,2433.145,3055.966,3753.268,3996.882
