id,Z-0_MA_AB,Z-1_MA_AB,Z-2_MA_AB,Z-3_MA_AB,Z-4_MA_AB,Z-5_MA_AB,Z-6_MA_AB,I-0_MA_AB,I-1_MA_AB,I-2_MA_AB,I-3_MA_AB,I-4_MA_AB,I-5_MA_AB,I-6_MA_AB,T-0_MA_AB,T-1_MA_AB,T-2_MA_AB,T-3_MA_AB,T-4_MA_AB,T-5_MA_AB,T-6_MA_AB,S-0_MA_AB,S-1_MA_AB,S-2_MA_AB,S-3_MA_AB,S-4_MA_AB,S-5_MA_AB,S-6_MA_AB,chi-0_MA_AB,chi-1_MA_AB,chi-2_MA_AB,chi-3_MA_AB,chi-4_MA_AB,chi-5_MA_AB,chi-6_MA_AB
ir_tbp_1_dft-asme3_1_dft-oxaz_1_dft-iacn_1_chloride_1_smi1_1_s_1,1288.7,1915.0,3664.5,1463.9,0.0,0.0,0.0,16.7,24.9,47.6,19.0,0.0,0.0,0.0,66.9,99.5,190.4,76.0,0.0,0.0,0.0,23.598,35.066,67.103,26.807,0.0,0.0,0.0,36.819,54.714,104.7,41.826,0.0,0.0,0.0
ir_tbp_1_dft-py_1_dft-sime_1_dft-iacn_1_iodide_1_smi1_1_s_1,1288.5,1436.3,2481.9,4388.7,238.7,0.0,0.0,16.7,18.7,32.2,57.0,3.1,0.0,0.0,66.9,74.6,128.9,228.0,12.4,0.0,0.0,23.595,26.3,45.448,80.364,4.372,0.0,0.0,36.815,41.036,70.913,125.391,6.821,0.0,0.0
ir_tbp_1_dft-pet3_1_dft-oxaz_1_dft-co_1_chloride_1_smi1_1_s_1,1666.0,1812.0,3499.9,2899.6,0.0,0.0,0.0,21.6,23.5,45.5,37.7,0.0,0.0,0.0,108.2,117.7,227.3,188.3,0.0,0.0,0.0,30.507,33.181,64.09,53.097,0.0,0.0,0.0,47.599,51.772,99.998,82.847,0.0,0.0,0.0
ir_tbp_1_dft-pme3_1_dft-py_1_dft-co_1_dft-oh_1_smi1_1_s_1,1254.9,1955.4,3308.9,1001.4,238.8,0.0,0.0,16.3,25.4,43.0,13.0,3.1,0.0,0.0,65.2,101.6,171.9,52.0,12.4,0.0,0.0,22.98,35.807,60.591,18.338,4.372,0.0,0.0,35.855,55.869,94.539,28.613,6.821,0.0,0.0
ir_tbp_1_dft-pme3_1_dft-nme3_1_dft-hicn_1_dft-cn_1_smi1_1_s_1,1266.8,2493.5,4540.6,0.0,0.0,0.0,0.0,16.5,32.4,59.0,0.0,0.0,0.0,0.0,65.8,129.5,235.9,0.0,0.0,0.0,0.0,23.197,45.66,83.145,0.0,0.0,0.0,0.0,36.194,71.242,129.73,0.0,0.0,0.0,0.0
ir_tbp_1_dft-ime_1_dft-sime_1_dft-iacn_1_dft-icn_1_smi1_1_s_1,1234.9,1840.3,2704.8,5636.1,0.0,0.0,0.0,16.0,23.9,35.1,73.2,0.0,0.0,0.0,64.2,95.6,140.5,292.8,0.0,0.0,0.0,22.613,33.699,49.529,103.206,0.0,0.0,0.0,35.283,52.58,77.28,161.031,0.0,0.0,0.0
ir_tbp_1_dft-nme3_1_dft-nme3_1_dft-hicn_1_dft-itcn_1_smi1_1_s_1,1249.7,2415.1,4894.9,0.0,0.0,0.0,0.0,16.2,31.4,63.6,0.0,0.0,0.0,0.0,64.9,125.5,254.3,0.0,0.0,0.0,0.0,22.885,44.225,89.634,0.0,0.0,0.0,0.0,35.706,69.003,139.854,0.0,0.0,0.0,0.0
ir_tbp_1_dft-nme3_1_dft-sime_1_dft-iacn_1_dft-itcn_1_smi1_1_s_1,1243.9,2124.1,3837.1,3386.9,0.0,0.0,0.0,16.2,27.6,49.8,44.0,0.0,0.0,0.0,64.6,110.3,199.3,175.9,0.0,0.0,0.0,22.777,38.896,70.264,62.02,0.0,0.0,0.0,35.539,60.689,109.632,96.769,0.0,0.0,0.0
ir_tbp_1_dft-pph3_1_dft-asme3_1_dft-iacn_1_dft-cn_1_smi1_1_s_1,1285.5,2603.5,3991.2,4109.0,3236.6,716.3,0.0,16.7,33.8,51.8,53.4,42.0,9.3,0.0,66.8,135.2,207.3,213.5,168.1,37.2,0.0,23.54,47.675,73.085,75.242,59.268,13.117,0.0,36.729,74.386,114.033,117.399,92.475,20.467,0.0
ir_tbp_1_dft-pyz_1_dft-iz_1_dft-hicn_1_bromide_1_smi1_1_s_1,2038.1,2593.2,2298.1,731.2,0.0,0.0,0.0,26.5,33.7,29.8,9.5,0.0,0.0,0.0,158.8,202.1,179.1,57.0,0.0,0.0,0.0,37.321,47.486,42.083,13.389,0.0,0.0,0.0,58.231,74.092,65.661,20.891,0.0,0.0,0.0
ir_tbp_1_dft-phos_1_dft-sime_1_dft-iacn_1_dft-sh_1_smi1_1_s_1,1279.2,1753.3,2483.1,4389.7,238.7,0.0,0.0,16.6,22.8,32.2,57.0,3.1,0.0,0.0,66.5,91.1,129.0,228.0,12.4,0.0,0.0,23.425,32.106,45.47,80.384,4.372,0.0,0.0,36.549,50.095,70.946,125.421,6.821,0.0,0.0
ir_tbp_1_dft-sime_1_dft-sime_1_dft-hicn_1_dft-no2_1_smi1_1_s_1,2003.1,2090.6,2361.0,5336.7,0.0,0.0,0.0,26.0,27.2,30.7,69.3,0.0,0.0,0.0,156.1,162.9,184.0,415.8,0.0,0.0,0.0,36.68,38.283,43.235,97.724,0.0,0.0,0.0,57.231,59.732,67.458,152.477,0.0,0.0,0.0
ir_tbp_1_dft-asme3_1_dft-nme3_1_dft-co_1_dft-sh_1_smi1_1_s_1,1302.4,2377.0,4307.5,0.0,0.0,0.0,0.0,16.9,30.9,55.9,0.0,0.0,0.0,0.0,67.7,123.5,223.8,0.0,0.0,0.0,0.0,23.849,43.527,78.877,0.0,0.0,0.0,0.0,37.211,67.914,123.07,0.0,0.0,0.0,0.0
ir_tbp_1_dft-ime_1_dft-iz_1_dft-co_1_dft-no2_1_smi1_1_s_1,2004.4,2089.9,2126.5,2979.7,0.0,0.0,0.0,26.0,27.1,27.6,38.7,0.0,0.0,0.0,156.2,162.9,165.7,232.2,0.0,0.0,0.0,36.705,38.27,38.94,54.563,0.0,0.0,0.0,57.27,59.713,60.758,85.134,0.0,0.0,0.0
ir_tbp_1_dft-pme3_1_dft-iz_1_dft-co_1_fluoride_1_smi1_1_s_1,1633.1,1726.3,3226.6,731.3,0.0,0.0,0.0,21.2,22.4,41.9,9.5,0.0,0.0,0.0,106.0,112.1,209.5,47.5,0.0,0.0,0.0,29.905,31.611,59.084,13.391,0.0,0.0,0.0,46.66,49.322,92.189,20.894,0.0,0.0,0.0
ir_tbp_1_dft-pph3_1_dft-py_1_dft-co_1_dft-oh_1_smi1_1_s_1,1255.4,1957.1,2731.0,4314.7,3552.3,716.3,0.0,16.3,25.4,35.5,56.0,46.1,9.3,0.0,65.2,101.7,141.9,224.1,184.5,37.2,0.0,22.988,35.839,50.009,79.01,65.048,13.117,0.0,35.868,55.918,78.029,123.278,101.494,20.467,0.0
ir_tbp_1_dft-pet3_1_dft-iz_1_dft-iacn_1_dft-cn_1_smi1_1_s_1,1259.0,2210.8,3588.6,3604.5,0.0,0.0,0.0,16.4,28.7,46.6,46.8,0.0,0.0,0.0,65.4,114.8,186.4,187.2,0.0,0.0,0.0,23.054,40.483,65.713,66.005,0.0,0.0,0.0,35.971,63.165,102.531,102.986,0.0,0.0,0.0
ir_tbp_1_dft-pph3_1_dft-pph3_1_dft-co_1_chloride_1_smi1_1_s_1,1303.1,2175.4,3151.4,6779.5,6472.8,1432.6,0.0,16.9,28.3,40.9,88.0,84.1,18.6,0.0,67.7,113.0,163.7,352.2,336.2,74.4,0.0,23.862,39.835,57.708,124.144,118.527,26.234,0.0,37.232,62.154,90.041,193.7,184.936,40.933,0.0
ir_tbp_1_dft-ime_1_dft-oxaz_1_dft-iacn_1_chloride_1_smi1_1_s_1,1260.6,1520.4,2565.1,3712.9,0.0,0.0,0.0,16.4,19.7,33.3,48.2,0.0,0.0,0.0,65.5,79.0,133.3,192.9,0.0,0.0,0.0,23.084,27.842,46.971,67.989,0.0,0.0,0.0,36.018,43.441,73.288,106.082,0.0,0.0,0.0
ir_tbp_1_dft-pyz_1_dft-pph3_1_dft-co_1_dft-itcn_1_smi1_1_s_1,1254.8,2204.1,3008.5,4382.3,3236.2,716.3,0.0,16.3,28.6,39.1,56.9,42.0,9.3,0.0,65.2,114.5,156.3,227.7,168.1,37.2,0.0,22.977,40.361,55.091,80.248,59.261,13.117,0.0,35.851,62.974,85.958,125.209,92.463,20.465,0.0
ir_tbp_1_dft-pme3_1_dft-py_1_dft-hicn_1_dft-icn_1_smi1_1_s_1,1255.5,2208.7,3864.5,1001.3,238.7,0.0,0.0,16.3,28.7,50.2,13.0,3.1,0.0,0.0,65.2,114.7,200.8,52.0,12.4,0.0,0.0,22.991,40.445,70.766,18.336,4.372,0.0,0.0,35.872,63.106,110.415,28.609,6.821,0.0,0.0
ir_tbp_1_dft-asme3_1_dft-ime_1_dft-co_1_dft-sh_1_smi1_1_s_1,1288.3,2015.5,3207.1,2248.8,0.0,0.0,0.0,16.7,26.2,41.7,29.2,0.0,0.0,0.0,66.9,104.7,166.6,116.8,0.0,0.0,0.0,23.591,36.906,58.727,41.18,0.0,0.0,0.0,36.809,57.585,91.631,64.252,0.0,0.0,0.0
ir_tbp_1_dft-pet3_1_dft-ime_1_dft-iacn_1_dft-cch_1_smi1_1_s_1,1257.6,2216.9,3806.9,5122.4,0.0,0.0,0.0,16.3,28.8,49.4,66.5,0.0,0.0,0.0,65.3,115.2,197.8,266.1,0.0,0.0,0.0,23.028,40.596,69.71,93.8,0.0,0.0,0.0,35.931,63.341,108.768,146.355,0.0,0.0,0.0
ir_tbp_1_dft-pet3_1_dft-sime_1_dft-co_1_dft-cn_1_smi1_1_s_1,1257.8,2205.9,3317.3,4822.2,0.0,0.0,0.0,16.3,28.6,43.1,62.6,0.0,0.0,0.0,65.3,114.6,172.3,250.5,0.0,0.0,0.0,23.033,40.394,60.745,88.303,0.0,0.0,0.0,35.939,63.025,94.779,137.777,0.0,0.0,0.0
ir_tbp_1_dft-oxaz_1_dft-phos_1_dft-hicn_1_dft-no2_1_smi1_1_s_1,2019.0,2229.9,2634.4,1748.0,238.7,0.0,0.0,26.2,29.0,34.2,22.7,3.1,0.0,0.0,157.3,173.8,205.3,136.2,18.6,0.0,0.0,36.972,40.833,48.24,32.009,4.372,0.0,0.0,57.686,63.711,75.268,49.943,6.821,0.0,0.0
ir_tbp_1_dft-pph3_1_dft-ime_1_dft-iacn_1_dft-itcn_1_smi1_1_s_1,1255.2,2209.9,3248.6,6280.4,3236.6,716.3,0.0,16.3,28.7,42.2,81.6,42.0,9.3,0.0,65.2,114.8,168.8,326.3,168.1,37.2,0.0,22.984,40.467,59.488,115.005,59.267,13.117,0.0,35.862,63.14,92.819,179.441,92.474,20.467,0.0
ir_tbp_1_dft-iz_1_dft-iz_1_dft-iacn_1_chloride_1_smi1_1_s_1,1259.9,1438.6,2409.6,2181.1,0.0,0.0,0.0,16.4,18.7,31.3,28.3,0.0,0.0,0.0,65.4,74.7,125.2,113.3,0.0,0.0,0.0,23.07,26.344,44.125,39.939,0.0,0.0,0.0,35.996,41.104,68.847,62.317,0.0,0.0,0.0
ir_tbp_1_dft-iz_1_dft-py_1_dft-hicn_1_chloride_1_smi1_1_s_1,1642.7,2016.0,2383.1,1470.6,0.0,0.0,0.0,21.3,26.2,30.9,19.1,0.0,0.0,0.0,106.7,130.9,154.7,95.5,0.0,0.0,0.0,30.08,36.917,43.639,26.929,0.0,0.0,0.0,46.933,57.601,68.089,42.016,0.0,0.0,0.0
ir_tbp_1_dft-iz_1_dft-nme3_1_dft-co_1_fluoride_1_smi1_1_s_1,1617.4,1645.7,3226.7,731.1,0.0,0.0,0.0,21.0,21.4,41.9,9.5,0.0,0.0,0.0,105.0,106.9,209.5,47.5,0.0,0.0,0.0,29.617,30.135,59.087,13.388,0.0,0.0,0.0,46.21,47.019,92.193,20.89,0.0,0.0,0.0
ir_tbp_1_dft-oxaz_1_dft-sime_1_dft-iacn_1_fluoride_1_smi1_1_s_1,1611.5,2051.7,3513.2,2662.5,0.0,0.0,0.0,20.9,26.6,45.6,34.6,0.0,0.0,0.0,104.6,133.2,228.1,172.9,0.0,0.0,0.0,29.51,37.57,64.332,48.755,0.0,0.0,0.0,46.044,58.62,100.376,76.072,0.0,0.0,0.0
ir_tbp_1_dft-pyz_1_dft-asme3_1_dft-co_1_iodide_1_smi1_1_s_1,1699.5,1829.5,3231.0,992.6,0.0,0.0,0.0,22.1,23.8,42.0,12.9,0.0,0.0,0.0,110.4,118.8,209.8,64.5,0.0,0.0,0.0,31.121,33.502,59.165,18.177,0.0,0.0,0.0,48.557,52.272,92.315,28.361,0.0,0.0,0.0
ir_tbp_1_dft-pyz_1_dft-ime_1_dft-co_1_dft-no2_1_smi1_1_s_1,2003.4,2088.1,2209.5,3241.1,0.0,0.0,0.0,26.0,27.1,28.7,42.1,0.0,0.0,0.0,156.1,162.7,172.2,252.6,0.0,0.0,0.0,36.687,38.236,40.459,59.35,0.0,0.0,0.0,57.241,59.659,63.128,92.604,0.0,0.0,0.0
ir_tbp_1_dft-pyz_1_dft-pme3_1_dft-hicn_1_fluoride_1_smi1_1_s_1,1250.0,1806.8,3541.9,992.9,0.0,0.0,0.0,16.2,23.5,46.0,12.9,0.0,0.0,0.0,64.9,93.9,184.0,51.6,0.0,0.0,0.0,22.89,33.086,64.857,18.182,0.0,0.0,0.0,35.715,51.624,101.196,28.368,0.0,0.0,0.0
ir_tbp_1_dft-pyz_1_dft-iz_1_dft-hicn_1_dft-icn_1_smi1_1_s_1,1613.1,2417.2,2702.1,1227.7,0.0,0.0,0.0,20.9,31.4,35.1,15.9,0.0,0.0,0.0,104.7,157.0,175.5,79.7,0.0,0.0,0.0,29.539,44.263,49.48,22.481,0.0,0.0,0.0,46.089,69.063,77.202,35.076,0.0,0.0,0.0
ir_tbp_1_dft-asme3_1_dft-sime_1_dft-iacn_1_fluoride_1_smi1_1_s_1,1258.6,1834.8,3481.1,3387.4,0.0,0.0,0.0,16.3,23.8,45.2,44.0,0.0,0.0,0.0,65.4,95.3,180.8,176.0,0.0,0.0,0.0,23.047,33.597,63.745,62.028,0.0,0.0,0.0,35.96,52.422,99.46,96.781,0.0,0.0,0.0
ir_tbp_1_dft-pme3_1_dft-phos_1_dft-hicn_1_chloride_1_smi1_1_s_1,1299.9,1864.8,3541.7,1002.7,238.8,0.0,0.0,16.9,24.2,46.0,13.0,3.1,0.0,0.0,67.5,96.9,184.0,52.1,12.4,0.0,0.0,23.803,34.147,64.854,18.36,4.372,0.0,0.0,37.14,53.279,101.191,28.647,6.821,0.0,0.0
ir_tbp_1_dft-pme3_1_dft-py_1_dft-iacn_1_dft-no2_1_smi1_1_s_1,2026.8,2459.5,3570.7,1797.3,238.8,0.0,0.0,26.3,31.9,46.4,23.3,3.1,0.0,0.0,157.9,191.6,278.2,140.0,18.6,0.0,0.0,37.114,45.037,65.385,32.911,4.372,0.0,0.0,57.909,70.271,102.019,51.351,6.822,0.0,0.0
ir_tbp_1_dft-pph3_1_dft-asme3_1_dft-co_1_dft-sh_1_smi1_1_s_1,1310.3,2461.2,3729.0,3390.0,3313.4,716.3,0.0,17.0,32.0,48.4,44.0,43.0,9.3,0.0,68.1,127.9,193.7,176.1,172.1,37.2,0.0,23.995,45.068,68.284,62.077,60.674,13.117,0.0,37.439,70.319,106.543,96.857,94.668,20.466,0.0
ir_tbp_1_dft-pyz_1_dft-py_1_dft-hicn_1_iodide_1_smi1_1_s_1,2054.4,2592.2,2380.0,1001.3,238.7,0.0,0.0,26.7,33.7,30.9,13.0,3.1,0.0,0.0,160.1,202.0,185.5,78.0,18.6,0.0,0.0,37.619,47.467,43.582,18.335,4.372,0.0,0.0,58.696,74.062,68.001,28.608,6.821,0.0,0.0
ir_tbp_1_dft-pet3_1_dft-asme3_1_dft-iacn_1_dft-cn_1_smi1_1_s_1,1285.2,2606.5,4668.2,2873.3,0.0,0.0,0.0,16.7,33.9,60.6,37.3,0.0,0.0,0.0,66.8,135.4,242.5,149.3,0.0,0.0,0.0,23.535,47.729,85.482,52.614,0.0,0.0,0.0,36.721,74.471,133.377,82.093,0.0,0.0,0.0
ir_tbp_1_dft-nme3_1_dft-nme3_1_dft-co_1_dft-cn_1_smi1_1_s_1,1253.2,2409.7,4307.3,0.0,0.0,0.0,0.0,16.3,31.3,55.9,0.0,0.0,0.0,0.0,65.1,125.2,223.8,0.0,0.0,0.0,0.0,22.948,44.126,78.873,0.0,0.0,0.0,0.0,35.806,68.849,123.065,0.0,0.0,0.0,0.0
ir_tbp_1_dft-pph3_1_dft-iz_1_dft-iacn_1_dft-cch_1_smi1_1_s_1,1258.2,2212.9,3148.5,4840.2,3313.7,716.4,0.0,16.3,28.7,40.9,62.9,43.0,9.3,0.0,65.4,115.0,163.6,251.4,172.1,37.2,0.0,23.04,40.522,57.655,88.633,60.679,13.118,0.0,35.949,63.225,89.958,138.293,94.677,20.468,0.0
ir_tbp_1_dft-pet3_1_dft-asme3_1_dft-co_1_dft-no2_1_smi1_1_s_1,2053.0,2857.5,4405.9,2154.2,0.0,0.0,0.0,26.7,37.1,57.2,28.0,0.0,0.0,0.0,160.0,222.7,343.3,167.9,0.0,0.0,0.0,37.594,52.326,80.68,39.447,0.0,0.0,0.0,58.657,81.643,125.884,61.548,0.0,0.0,0.0
ir_tbp_1_dft-ime_1_dft-iz_1_dft-co_1_bromide_1_smi1_1_s_1,1656.9,1436.1,2126.4,2980.0,0.0,0.0,0.0,21.5,18.7,27.6,38.7,0.0,0.0,0.0,107.6,93.3,138.1,193.5,0.0,0.0,0.0,30.341,26.297,38.939,54.569,0.0,0.0,0.0,47.341,41.03,60.755,85.142,0.0,0.0,0.0
ir_tbp_1_dft-nme3_1_dft-sime_1_dft-iacn_1_dft-cn_1_smi1_1_s_1,2015.6,3185.8,5085.6,718.9,0.0,0.0,0.0,26.2,41.4,66.0,9.3,0.0,0.0,0.0,157.1,248.2,396.3,56.0,0.0,0.0,0.0,36.908,58.338,93.126,13.164,0.0,0.0,0.0,57.588,91.024,145.303,20.54,0.0,0.0,0.0
ir_tbp_1_dft-pyz_1_dft-asme3_1_dft-iacn_1_bromide_1_smi1_1_s_1,1299.7,1833.2,3571.5,1711.6,0.0,0.0,0.0,16.9,23.8,46.4,22.2,0.0,0.0,0.0,67.5,95.2,185.5,88.9,0.0,0.0,0.0,23.799,33.569,65.401,31.341,0.0,0.0,0.0,37.134,52.378,102.044,48.902,0.0,0.0,0.0
ir_tbp_1_dft-pph3_1_dft-py_1_dft-iacn_1_dft-cn_1_smi1_1_s_1,1260.1,2206.8,2992.5,5110.1,3552.3,716.3,0.0,16.4,28.7,38.9,66.4,46.1,9.3,0.0,65.5,114.6,155.5,265.5,184.5,37.2,0.0,23.074,40.41,54.798,93.575,65.049,13.118,0.0,36.002,63.051,85.501,146.004,101.494,20.467,0.0
ir_tbp_1_dft-pyz_1_dft-py_1_dft-hicn_1_dft-no2_1_smi1_1_s_1,2384.5,2668.6,2461.0,1497.7,238.7,0.0,0.0,31.0,34.7,32.0,19.5,3.1,0.0,0.0,216.8,242.6,223.7,136.2,21.7,0.0,0.0,43.664,48.867,45.066,27.426,4.372,0.0,0.0,68.129,76.246,70.315,42.793,6.821,0.0,0.0
ir_tbp_1_dft-oxaz_1_dft-py_1_dft-hicn_1_dft-icn_1_smi1_1_s_1,1613.2,2498.1,2880.7,1484.5,0.0,0.0,0.0,21.0,32.4,37.4,19.3,0.0,0.0,0.0,104.8,162.2,187.1,96.4,0.0,0.0,0.0,29.541,45.745,52.751,27.184,0.0,0.0,0.0,46.093,71.375,82.307,42.415,0.0,0.0,0.0
ir_tbp_1_dft-iz_1_dft-sime_1_dft-co_1_fluoride_1_smi1_1_s_1,1612.4,1357.8,2136.8,3399.3,0.0,0.0,0.0,20.9,17.6,27.8,44.1,0.0,0.0,0.0,104.7,88.2,138.8,220.7,0.0,0.0,0.0,29.525,24.864,39.129,62.248,0.0,0.0,0.0,46.067,38.796,61.053,97.124,0.0,0.0,0.0
ir_tbp_1_dft-pyz_1_dft-nme3_1_dft-co_1_dft-itcn_1_smi1_1_s_1,1620.6,2700.6,3581.8,496.4,0.0,0.0,0.0,21.0,35.1,46.5,6.4,0.0,0.0,0.0,105.2,175.4,232.6,32.2,0.0,0.0,0.0,29.676,49.453,65.588,9.09,0.0,0.0,0.0,46.304,77.161,102.336,14.183,0.0,0.0,0.0
ir_tbp_1_dft-pyz_1_dft-pme3_1_dft-hicn_1_dft-cch_1_smi1_1_s_1,1257.6,2210.7,3778.6,992.8,0.0,0.0,0.0,16.3,28.7,49.1,12.9,0.0,0.0,0.0,65.3,114.8,196.3,51.6,0.0,0.0,0.0,23.029,40.482,69.193,18.18,0.0,0.0,0.0,35.932,63.163,107.961,28.366,0.0,0.0,0.0
ir_tbp_1_dft-pph3_1_dft-sime_1_dft-hicn_1_dft-icn_1_smi1_1_s_1,1254.4,2208.9,3196.3,6058.1,3236.5,716.3,0.0,16.3,28.7,41.5,78.7,42.0,9.3,0.0,65.2,114.7,166.0,314.7,168.1,37.2,0.0,22.971,40.449,58.529,110.934,59.266,13.117,0.0,35.841,63.112,91.322,173.088,92.471,20.467,0.0
ir_tbp_1_dft-iz_1_dft-py_1_dft-iacn_1_dft-itcn_1_smi1_1_s_1,1615.7,2415.6,2769.2,2189.2,0.0,0.0,0.0,21.0,31.4,36.0,28.4,0.0,0.0,0.0,104.9,156.9,179.8,142.2,0.0,0.0,0.0,29.586,44.233,50.709,40.089,0.0,0.0,0.0,46.162,69.017,79.12,62.55,0.0,0.0,0.0
ir_tbp_1_dft-pme3_1_dft-pme3_1_dft-iacn_1_dft-oh_1_smi1_1_s_1,1272.9,2407.0,4572.3,719.0,0.0,0.0,0.0,16.5,31.3,59.4,9.3,0.0,0.0,0.0,66.1,125.0,237.5,37.3,0.0,0.0,0.0,23.31,44.077,83.727,13.165,0.0,0.0,0.0,36.37,68.773,130.637,20.542,0.0,0.0,0.0
ir_tbp_1_dft-pet3_1_dft-py_1_dft-co_1_dft-cch_1_smi1_1_s_1,1258.8,2211.1,3644.7,3155.5,238.7,0.0,0.0,16.3,28.7,47.3,41.0,3.1,0.0,0.0,65.4,114.9,189.3,163.9,12.4,0.0,0.0,23.051,40.489,66.74,57.783,4.372,0.0,0.0,35.966,63.174,104.134,90.157,6.821,0.0,0.0
