id,Z-0_MD_AB,Z-1_MD_AB,Z-2_MD_AB,Z-3_MD_AB,Z-4_MD_AB,Z-5_MD_AB,Z-6_MD_AB,I-0_MD_AB,I-1_MD_AB,I-2_MD_AB,I-3_MD_AB,I-4_MD_AB,I-5_MD_AB,I-6_MD_AB,T-0_MD_AB,T-1_MD_AB,T-2_MD_AB,T-3_MD_AB,T-4_MD_AB,T-5_MD_AB,T-6_MD_AB,S-0_MD_AB,S-1_MD_AB,S-2_MD_AB,S-3_MD_AB,S-4_MD_AB,S-5_MD_AB,S-6_MD_AB,chi-0_MD_AB,chi-1_MD_AB,chi-2_MD_AB,chi-3_MD_AB,chi-4_MD_AB,chi-5_MD_AB,chi-6_MD_AB
ir_tbp_1_dft-ime_1_dft-oxaz_1_dft-iacn_1_chloride_1_smi1_1_s_1,907.6,1135.3,2276.7,3416.8,0.0,0.0,0.0,-4.4,-4.7,-3.3,-3.2,0.0,0.0,0.0,31.6,40.3,86.7,131.8,0.0,0.0,0.0,0.548,1.404,8.987,15.231,0.0,0.0,0.0,10.028,13.254,32.687,50.781,0.0,0.0,0.0
ir_tbp_1_dft-pyz_1_dft-pph3_1_dft-co_1_dft-itcn_1_smi1_1_s_1,907.7,1588.4,2501.9,3639.1,2730.0,683.7,0.0,-4.3,-7.6,-6.1,-8.9,-6.0,-0.3,0.0,31.7,55.4,92.9,135.1,102.0,26.7,0.0,0.624,0.985,7.458,10.767,8.731,3.388,0.0,10.104,17.575,33.528,48.687,37.171,10.498,0.0
ir_tbp_1_dft-pme3_1_dft-py_1_dft-hicn_1_dft-icn_1_smi1_1_s_1,907.7,1588.3,3414.8,911.0,227.9,0.0,0.0,-4.3,-7.7,-5.2,-1.0,-0.1,0.0,0.0,31.7,55.3,129.8,35.0,8.9,0.0,0.0,0.615,0.925,13.262,3.916,1.129,0.0,0.0,10.095,17.515,48.812,13.396,3.499,0.0,0.0
ir_tbp_1_dft-asme3_1_dft-ime_1_dft-co_1_dft-sh_1_smi1_1_s_1,907.3,1590.8,2961.3,2049.8,0.0,0.0,0.0,-4.7,-5.2,-2.7,-2.2,0.0,0.0,0.0,31.3,57.8,114.3,78.8,0.0,0.0,0.0,0.189,3.435,13.34,8.864,0.0,0.0,0.0,9.669,20.025,44.15,30.194,0.0,0.0,0.0
ir_tbp_1_dft-pet3_1_dft-ime_1_dft-iacn_1_dft-cch_1_smi1_1_s_1,907.7,1588.2,3415.6,4784.5,0.0,0.0,0.0,-4.3,-7.8,-4.4,-3.5,0.0,0.0,0.0,31.7,55.2,130.6,185.5,0.0,0.0,0.0,0.588,0.818,14.01,22.305,0.0,0.0,0.0,10.068,17.408,49.56,72.075,0.0,0.0,0.0
ir_tbp_1_dft-pet3_1_dft-sime_1_dft-co_1_dft-cn_1_smi1_1_s_1,907.7,1588.4,2959.9,4557.4,0.0,0.0,0.0,-4.3,-7.6,-4.1,-2.6,0.0,0.0,0.0,31.7,55.4,112.9,177.4,0.0,0.0,0.0,0.584,0.962,11.908,21.974,0.0,0.0,0.0,10.064,17.552,42.718,69.374,0.0,0.0,0.0
ir_tbp_1_dft-oxaz_1_dft-phos_1_dft-hicn_1_dft-no2_1_smi1_1_s_1,1359.8,1588.0,2275.8,1594.3,227.9,0.0,0.0,-8.2,-8.0,-4.2,-1.7,-0.1,0.0,0.0,81.8,97.0,145.8,103.3,14.9,0.0,0.0,-0.841,0.65,8.087,6.909,1.13,0.0,0.0,13.379,17.24,31.787,23.499,3.5,0.0,0.0
ir_tbp_1_dft-pph3_1_dft-ime_1_dft-iacn_1_dft-itcn_1_smi1_1_s_1,907.7,1588.3,2729.8,5462.4,2730.0,683.7,0.0,-4.3,-7.7,-6.2,-9.6,-6.0,-0.3,0.0,31.7,55.3,101.8,206.4,102.0,26.7,0.0,0.619,0.91,8.57,19.956,8.727,3.387,0.0,10.099,17.5,37.01,76.836,37.167,10.497,0.0
ir_tbp_1_dft-iz_1_dft-iz_1_dft-iacn_1_chloride_1_smi1_1_s_1,907.6,1136.3,2047.7,2050.7,0.0,0.0,0.0,-4.4,-3.7,-4.3,-1.3,0.0,0.0,0.0,31.6,41.3,76.7,79.7,0.0,0.0,0.0,0.558,2.466,6.776,9.744,0.0,0.0,0.0,10.038,14.316,28.106,31.074,0.0,0.0,0.0
ir_tbp_1_dft-iz_1_dft-py_1_dft-hicn_1_chloride_1_smi1_1_s_1,1133.7,1590.8,2048.1,1366.9,0.0,0.0,0.0,-6.3,-5.2,-3.9,-1.1,0.0,0.0,0.0,53.7,78.8,104.1,70.9,0.0,0.0,0.0,-0.183,3.428,7.121,6.282,0.0,0.0,0.0,11.667,20.018,28.451,20.502,0.0,0.0,0.0
ir_tbp_1_dft-iz_1_dft-nme3_1_dft-co_1_fluoride_1_smi1_1_s_1,1134.0,1364.6,2961.1,683.5,0.0,0.0,0.0,-6.0,-3.4,-2.9,-0.5,0.0,0.0,0.0,54.0,68.6,153.1,35.5,0.0,0.0,0.0,0.145,4.008,13.084,3.195,0.0,0.0,0.0,11.995,18.228,43.894,10.305,0.0,0.0,0.0
ir_tbp_1_dft-oxaz_1_dft-sime_1_dft-iacn_1_fluoride_1_smi1_1_s_1,1134.1,1590.4,3188.4,2506.4,0.0,0.0,0.0,-5.9,-5.6,-3.6,-1.6,0.0,0.0,0.0,54.1,78.4,164.4,130.4,0.0,0.0,0.0,0.221,2.965,13.594,11.952,0.0,0.0,0.0,12.071,19.555,46.774,38.022,0.0,0.0,0.0
ir_tbp_1_dft-pyz_1_dft-asme3_1_dft-co_1_iodide_1_smi1_1_s_1,1132.9,1362.2,2961.0,911.1,0.0,0.0,0.0,-7.1,-5.8,-3.0,-0.9,0.0,0.0,0.0,52.9,66.2,153.0,47.1,0.0,0.0,0.0,-0.922,1.62,13.029,4.029,0.0,0.0,0.0,10.928,15.84,43.839,13.509,0.0,0.0,0.0
ir_tbp_1_dft-pyz_1_dft-ime_1_dft-co_1_dft-no2_1_smi1_1_s_1,1360.0,1589.9,1819.3,2960.9,0.0,0.0,0.0,-8.0,-6.1,-4.7,-3.1,0.0,0.0,0.0,82.0,98.9,115.3,191.9,0.0,0.0,0.0,-0.639,2.492,5.146,12.897,0.0,0.0,0.0,13.581,19.082,24.106,43.707,0.0,0.0,0.0
ir_tbp_1_dft-pyz_1_dft-pme3_1_dft-hicn_1_fluoride_1_smi1_1_s_1,907.8,1362.5,3188.0,911.1,0.0,0.0,0.0,-4.2,-5.5,-4.0,-0.9,0.0,0.0,0.0,31.8,48.5,122.0,35.1,0.0,0.0,0.0,0.686,1.914,13.222,4.025,0.0,0.0,0.0,10.166,16.134,46.402,13.505,0.0,0.0,0.0
ir_tbp_1_dft-pyz_1_dft-iz_1_dft-hicn_1_dft-icn_1_smi1_1_s_1,1134.1,1816.6,2274.9,1139.1,0.0,0.0,0.0,-5.9,-7.4,-5.1,-0.9,0.0,0.0,0.0,54.1,88.6,114.9,59.1,0.0,0.0,0.0,0.2,2.448,7.208,5.206,0.0,0.0,0.0,12.05,21.408,30.908,17.056,0.0,0.0,0.0
ir_tbp_1_dft-asme3_1_dft-sime_1_dft-iacn_1_fluoride_1_smi1_1_s_1,907.7,1362.2,3188.8,3190.0,0.0,0.0,0.0,-4.3,-5.8,-3.2,-2.0,0.0,0.0,0.0,31.7,48.2,122.8,124.0,0.0,0.0,0.0,0.574,1.552,14.011,15.228,0.0,0.0,0.0,10.054,15.772,47.191,48.408,0.0,0.0,0.0
ir_tbp_1_dft-pme3_1_dft-phos_1_dft-hicn_1_chloride_1_smi1_1_s_1,907.1,1361.8,3188.0,911.0,227.9,0.0,0.0,-4.9,-6.2,-4.0,-1.0,-0.1,0.0,0.0,31.1,47.8,122.0,35.0,8.9,0.0,0.0,0.038,1.162,13.224,3.899,1.129,0.0,0.0,9.518,15.382,46.404,13.379,3.499,0.0,0.0
ir_tbp_1_dft-pme3_1_dft-py_1_dft-iacn_1_dft-no2_1_smi1_1_s_1,1359.7,1816.1,3187.6,1593.7,227.9,0.0,0.0,-8.3,-7.9,-4.4,-2.3,-0.1,0.0,0.0,81.7,112.1,205.6,102.7,14.9,0.0,0.0,-0.942,1.899,12.848,6.269,1.129,0.0,0.0,13.278,20.859,46.028,22.859,3.499,0.0,0.0
ir_tbp_1_dft-pph3_1_dft-asme3_1_dft-co_1_dft-sh_1_smi1_1_s_1,907.0,1816.0,3416.6,2728.0,2729.0,683.7,0.0,-5.0,-8.0,-3.4,-8.0,-7.0,-0.3,0.0,31.0,64.0,131.6,100.0,101.0,26.7,0.0,-0.098,1.877,15.021,6.734,7.729,3.387,0.0,9.382,20.837,50.571,35.174,36.169,10.497,0.0
ir_tbp_1_dft-pyz_1_dft-py_1_dft-hicn_1_iodide_1_smi1_1_s_1,1359.3,2045.3,2048.1,911.0,227.9,0.0,0.0,-8.7,-6.7,-3.9,-1.0,-0.1,0.0,0.0,81.3,128.3,131.1,59.0,14.9,0.0,0.0,-1.3,4.405,7.161,3.917,1.13,0.0,0.0,12.92,25.735,28.491,13.397,3.5,0.0,0.0
ir_tbp_1_dft-pet3_1_dft-asme3_1_dft-iacn_1_dft-cn_1_smi1_1_s_1,907.3,1814.1,4328.4,2734.7,0.0,0.0,0.0,-4.7,-9.9,-3.6,-1.3,0.0,0.0,0.0,31.3,62.1,167.4,106.7,0.0,0.0,0.0,0.229,-0.011,19.744,13.445,0.0,0.0,0.0,9.709,18.949,64.774,41.885,0.0,0.0,0.0
ir_tbp_1_dft-nme3_1_dft-nme3_1_dft-co_1_dft-cn_1_smi1_1_s_1,907.7,1816.7,4102.1,0.0,0.0,0.0,0.0,-4.3,-7.3,-1.9,0.0,0.0,0.0,0.0,31.7,64.7,160.1,0.0,0.0,0.0,0.0,0.645,2.545,20.201,0.0,0.0,0.0,0.0,10.125,21.505,62.861,0.0,0.0,0.0,0.0
ir_tbp_1_dft-pph3_1_dft-iz_1_dft-iacn_1_dft-cch_1_smi1_1_s_1,907.7,1588.3,2731.1,4095.1,2729.0,683.7,0.0,-4.3,-7.7,-4.9,-8.9,-7.0,-0.3,0.0,31.7,55.3,103.1,153.1,101.0,26.7,0.0,0.579,0.871,9.87,13.28,7.725,3.386,0.0,10.059,17.461,38.31,55.94,36.165,10.496,0.0
ir_tbp_1_dft-pet3_1_dft-asme3_1_dft-co_1_dft-no2_1_smi1_1_s_1,1359.3,2041.9,4100.8,2051.0,0.0,0.0,0.0,-8.7,-10.1,-3.2,-1.0,0.0,0.0,0.0,81.3,124.9,266.8,134.0,0.0,0.0,0.0,-1.282,0.959,18.92,10.094,0.0,0.0,0.0,12.938,22.289,61.58,31.424,0.0,0.0,0.0
ir_tbp_1_dft-ime_1_dft-iz_1_dft-co_1_bromide_1_smi1_1_s_1,1133.5,1136.3,1820.4,2733.3,0.0,0.0,0.0,-6.5,-3.7,-3.6,-2.7,0.0,0.0,0.0,53.5,56.3,92.4,141.3,0.0,0.0,0.0,-0.368,2.5,6.224,12.059,0.0,0.0,0.0,11.482,14.35,25.184,40.499,0.0,0.0,0.0
ir_tbp_1_dft-nme3_1_dft-sime_1_dft-iacn_1_dft-cn_1_smi1_1_s_1,1359.8,2499.6,4785.0,683.7,0.0,0.0,0.0,-8.2,-8.4,-3.0,-0.3,0.0,0.0,0.0,81.8,156.6,312.0,44.7,0.0,0.0,0.0,-0.796,5.155,22.783,3.354,0.0,0.0,0.0,13.424,31.225,72.553,10.464,0.0,0.0,0.0
ir_tbp_1_dft-pyz_1_dft-asme3_1_dft-iacn_1_bromide_1_smi1_1_s_1,907.1,1362.2,3187.6,1594.8,0.0,0.0,0.0,-4.9,-5.8,-4.4,-1.2,0.0,0.0,0.0,31.1,48.2,121.6,61.8,0.0,0.0,0.0,0.041,1.572,12.836,7.382,0.0,0.0,0.0,9.521,15.792,46.016,23.972,0.0,0.0,0.0
ir_tbp_1_dft-pph3_1_dft-py_1_dft-iacn_1_dft-cn_1_smi1_1_s_1,907.6,1588.3,2502.1,4322.6,2956.9,683.7,0.0,-4.4,-7.7,-5.9,-9.4,-7.1,-0.3,0.0,31.6,55.3,93.1,161.6,109.9,26.7,0.0,0.556,0.95,7.666,14.005,8.856,3.387,0.0,10.036,17.54,33.736,59.035,39.666,10.497,0.0
ir_tbp_1_dft-pyz_1_dft-py_1_dft-hicn_1_dft-no2_1_smi1_1_s_1,1586.0,2044.3,2047.0,1366.5,227.9,0.0,0.0,-10.0,-7.7,-5.0,-1.5,-0.1,0.0,0.0,116.0,154.3,157.0,106.5,17.9,0.0,0.0,-1.358,3.413,6.108,5.929,1.13,0.0,0.0,15.232,24.743,27.438,20.149,3.5,0.0,0.0
ir_tbp_1_dft-oxaz_1_dft-py_1_dft-hicn_1_dft-icn_1_smi1_1_s_1,1134.0,1815.6,2503.6,1366.7,0.0,0.0,0.0,-6.0,-8.4,-4.4,-1.3,0.0,0.0,0.0,54.0,87.6,127.6,70.7,0.0,0.0,0.0,0.199,1.397,9.118,6.1,0.0,0.0,0.0,12.049,20.357,35.188,20.32,0.0,0.0,0.0
ir_tbp_1_dft-iz_1_dft-sime_1_dft-co_1_fluoride_1_smi1_1_s_1,1134.1,1137.4,1820.2,3189.9,0.0,0.0,0.0,-5.9,-2.6,-3.8,-2.1,0.0,0.0,0.0,54.1,57.4,92.2,165.9,0.0,0.0,0.0,0.21,3.516,6.089,15.073,0.0,0.0,0.0,12.06,15.366,25.049,48.253,0.0,0.0,0.0
ir_tbp_1_dft-pyz_1_dft-nme3_1_dft-co_1_dft-itcn_1_smi1_1_s_1,1134.0,2043.9,3187.5,455.6,0.0,0.0,0.0,-6.0,-8.1,-4.5,-0.4,0.0,0.0,0.0,54.0,99.9,163.5,23.6,0.0,0.0,0.0,0.103,2.997,12.703,2.013,0.0,0.0,0.0,11.953,24.327,45.883,6.753,0.0,0.0,0.0
ir_tbp_1_dft-pyz_1_dft-pme3_1_dft-hicn_1_dft-cch_1_smi1_1_s_1,907.7,1588.3,3415.9,911.1,0.0,0.0,0.0,-4.3,-7.7,-4.1,-0.9,0.0,0.0,0.0,31.7,55.3,130.9,35.1,0.0,0.0,0.0,0.587,0.899,14.377,4.026,0.0,0.0,0.0,10.067,17.489,49.927,13.506,0.0,0.0,0.0
ir_tbp_1_dft-pph3_1_dft-sime_1_dft-hicn_1_dft-icn_1_smi1_1_s_1,907.7,1588.3,2730.5,5234.3,2730.0,683.7,0.0,-4.3,-7.7,-5.5,-9.7,-6.0,-0.3,0.0,31.7,55.3,102.5,197.3,102.0,26.7,0.0,0.629,0.923,9.25,18.614,8.728,3.387,0.0,10.109,17.513,37.69,73.124,37.168,10.497,0.0
ir_tbp_1_dft-iz_1_dft-py_1_dft-iacn_1_dft-itcn_1_smi1_1_s_1,1134.0,1816.6,2274.0,2050.6,0.0,0.0,0.0,-6.0,-7.4,-6.0,-1.4,0.0,0.0,0.0,54.0,88.6,114.0,106.6,0.0,0.0,0.0,0.167,2.469,6.336,9.638,0.0,0.0,0.0,12.017,21.429,30.036,30.968,0.0,0.0,0.0
ir_tbp_1_dft-pme3_1_dft-pme3_1_dft-iacn_1_dft-oh_1_smi1_1_s_1,907.5,1816.7,4329.6,683.7,0.0,0.0,0.0,-4.5,-7.3,-2.4,-0.3,0.0,0.0,0.0,31.5,64.7,168.6,26.7,0.0,0.0,0.0,0.388,2.58,20.989,3.353,0.0,0.0,0.0,9.868,21.54,66.019,10.463,0.0,0.0,0.0
