id,Z-0_MR_AB,Z-1_MR_AB,Z-2_MR_AB,Z-3_MR_AB,Z-4_MR_AB,Z-5_MR_AB,Z-6_MR_AB,I-0_MR_AB,I-1_MR_AB,I-2_MR_AB,I-3_MR_AB,I-4_MR_AB,I-5_MR_AB,I-6_MR_AB,T-0_MR_AB,T-1_MR_AB,T-2_MR_AB,T-3_MR_AB,T-4_MR_AB,T-5_MR_AB,T-6_MR_AB,S-0_MR_AB,S-1_MR_AB,S-2_MR_AB,S-3_MR_AB,S-4_MR_AB,S-5_MR_AB,S-6_MR_AB,chi-0_MR_AB,chi-1_MR_AB,chi-2_MR_AB,chi-3_MR_AB,chi-4_MR_AB,chi-5_MR_AB,chi-6_MR_AB
ir_tbp_1_dft-ime_1_dft-oxaz_1_dft-iacn_1_chloride_1_smi1_1_s_1,764.7,966.7,2127.0,3284.9,0.0,0.0,0.0,9.9,12.6,27.6,42.7,0.0,0.0,0.0,39.7,50.2,110.5,170.6,0.0,0.0,0.0,14.003,17.703,38.949,60.152,0.0,0.0,0.0,21.849,27.621,60.772,93.854,0.0,0.0,0.0
ir_tbp_1_dft-pyz_1_dft-pph3_1_dft-co_1_dft-itcn_1_smi1_1_s_1,765.5,1343.7,2242.5,3274.8,2481.3,671.8,0.0,9.9,17.5,29.1,42.5,32.2,8.7,0.0,39.8,69.8,116.5,170.1,128.9,34.9,0.0,14.017,24.605,41.063,59.968,45.436,12.303,0.0,21.871,38.391,64.07,93.566,70.894,19.195,0.0
ir_tbp_1_dft-pme3_1_dft-py_1_dft-hicn_1_dft-icn_1_smi1_1_s_1,765.2,1340.3,3209.7,865.8,224.0,0.0,0.0,9.9,17.4,41.7,11.2,2.9,0.0,0.0,39.8,69.6,166.7,45.0,11.6,0.0,0.0,14.013,24.544,58.775,15.855,4.101,0.0,0.0,21.864,38.295,91.706,24.739,6.399,0.0,0.0
ir_tbp_1_dft-asme3_1_dft-ime_1_dft-co_1_dft-sh_1_smi1_1_s_1,759.0,1391.3,2844.7,1961.5,0.0,0.0,0.0,9.9,18.1,36.9,25.5,0.0,0.0,0.0,39.4,72.3,147.8,101.9,0.0,0.0,0.0,13.899,25.478,52.092,35.918,0.0,0.0,0.0,21.687,39.753,81.278,56.043,0.0,0.0,0.0
ir_tbp_1_dft-pet3_1_dft-ime_1_dft-iacn_1_dft-cch_1_smi1_1_s_1,764.7,1337.0,3219.1,4642.0,0.0,0.0,0.0,9.9,17.4,41.8,60.3,0.0,0.0,0.0,39.7,69.5,167.2,241.1,0.0,0.0,0.0,14.002,24.483,58.948,85.002,0.0,0.0,0.0,21.848,38.201,91.975,132.627,0.0,0.0,0.0
ir_tbp_1_dft-pet3_1_dft-sime_1_dft-co_1_dft-cn_1_smi1_1_s_1,764.8,1343.9,2780.3,4448.2,0.0,0.0,0.0,9.9,17.5,36.1,57.8,0.0,0.0,0.0,39.7,69.8,144.4,231.1,0.0,0.0,0.0,14.005,24.61,50.912,81.454,0.0,0.0,0.0,21.851,38.398,79.437,127.092,0.0,0.0,0.0
ir_tbp_1_dft-oxaz_1_dft-phos_1_dft-hicn_1_dft-no2_1_smi1_1_s_1,1124.8,1298.1,2105.0,1518.6,224.0,0.0,0.0,14.6,16.9,27.3,19.7,2.9,0.0,0.0,87.6,101.2,164.0,118.3,17.5,0.0,0.0,20.596,23.771,38.547,27.808,4.101,0.0,0.0,32.136,37.09,60.144,43.389,6.399,0.0,0.0
ir_tbp_1_dft-pph3_1_dft-ime_1_dft-iacn_1_dft-itcn_1_smi1_1_s_1,765.5,1340.3,2455.5,5074.3,2481.1,671.8,0.0,9.9,17.4,31.9,65.9,32.2,8.7,0.0,39.8,69.6,127.6,263.6,128.9,34.9,0.0,14.017,24.544,44.965,92.919,45.432,12.302,0.0,21.87,38.295,70.158,144.98,70.887,19.194,0.0
ir_tbp_1_dft-iz_1_dft-iz_1_dft-iacn_1_chloride_1_smi1_1_s_1,764.9,1007.3,1868.8,1997.1,0.0,0.0,0.0,9.9,13.1,24.3,25.9,0.0,0.0,0.0,39.7,52.3,97.1,103.7,0.0,0.0,0.0,14.006,18.445,34.221,36.569,0.0,0.0,0.0,21.853,28.779,53.395,57.059,0.0,0.0,0.0
ir_tbp_1_dft-iz_1_dft-py_1_dft-hicn_1_chloride_1_smi1_1_s_1,944.8,1401.8,1887.5,1320.5,0.0,0.0,0.0,12.3,18.2,24.5,17.1,0.0,0.0,0.0,61.4,91.0,122.6,85.7,0.0,0.0,0.0,17.301,25.669,34.563,24.181,0.0,0.0,0.0,26.994,40.051,53.928,37.729,0.0,0.0,0.0
ir_tbp_1_dft-iz_1_dft-nme3_1_dft-co_1_fluoride_1_smi1_1_s_1,950.1,1218.8,2841.8,663.6,0.0,0.0,0.0,12.3,15.8,36.9,8.6,0.0,0.0,0.0,61.7,79.1,184.5,43.1,0.0,0.0,0.0,17.398,22.319,52.038,12.152,0.0,0.0,0.0,27.146,34.824,81.195,18.961,0.0,0.0,0.0
ir_tbp_1_dft-oxaz_1_dft-sime_1_dft-iacn_1_fluoride_1_smi1_1_s_1,951.3,1381.0,3028.8,2439.4,0.0,0.0,0.0,12.4,17.9,39.3,31.7,0.0,0.0,0.0,61.8,89.7,196.7,158.4,0.0,0.0,0.0,17.419,25.288,55.462,44.669,0.0,0.0,0.0,27.179,39.456,86.536,69.696,0.0,0.0,0.0
ir_tbp_1_dft-pyz_1_dft-asme3_1_dft-co_1_iodide_1_smi1_1_s_1,934.6,1169.7,2839.7,870.3,0.0,0.0,0.0,12.1,15.2,36.9,11.3,0.0,0.0,0.0,60.7,76.0,184.4,56.5,0.0,0.0,0.0,17.114,21.419,51.999,15.936,0.0,0.0,0.0,26.702,33.42,81.134,24.865,0.0,0.0,0.0
ir_tbp_1_dft-pyz_1_dft-ime_1_dft-co_1_dft-no2_1_smi1_1_s_1,1128.5,1364.9,1621.4,2832.1,0.0,0.0,0.0,14.7,17.7,21.1,36.8,0.0,0.0,0.0,87.9,106.4,126.3,220.7,0.0,0.0,0.0,20.666,24.993,29.691,51.861,0.0,0.0,0.0,32.244,38.996,46.326,80.918,0.0,0.0,0.0
ir_tbp_1_dft-pyz_1_dft-pme3_1_dft-hicn_1_fluoride_1_smi1_1_s_1,766.6,1174.1,3029.5,870.1,0.0,0.0,0.0,10.0,15.2,39.3,11.3,0.0,0.0,0.0,39.8,61.0,157.4,45.2,0.0,0.0,0.0,14.038,21.501,55.475,15.933,0.0,0.0,0.0,21.903,33.547,86.557,24.861,0.0,0.0,0.0
ir_tbp_1_dft-pyz_1_dft-iz_1_dft-hicn_1_dft-icn_1_smi1_1_s_1,950.7,1568.1,2069.5,1098.6,0.0,0.0,0.0,12.3,20.4,26.9,14.3,0.0,0.0,0.0,61.7,101.8,134.4,71.3,0.0,0.0,0.0,17.409,28.715,37.895,20.118,0.0,0.0,0.0,27.162,44.804,59.128,31.39,0.0,0.0,0.0
ir_tbp_1_dft-asme3_1_dft-sime_1_dft-iacn_1_fluoride_1_smi1_1_s_1,765.2,1166.6,3047.7,3106.4,0.0,0.0,0.0,9.9,15.2,39.6,40.3,0.0,0.0,0.0,39.8,60.6,158.3,161.4,0.0,0.0,0.0,14.013,21.362,55.808,56.884,0.0,0.0,0.0,21.864,33.331,87.076,88.755,0.0,0.0,0.0
ir_tbp_1_dft-pme3_1_dft-phos_1_dft-hicn_1_chloride_1_smi1_1_s_1,756.3,1149.7,3029.7,865.0,224.0,0.0,0.0,9.8,14.9,39.3,11.2,2.9,0.0,0.0,39.3,59.7,157.4,44.9,11.6,0.0,0.0,13.85,21.054,55.478,15.84,4.101,0.0,0.0,21.61,32.85,86.562,24.714,6.399,0.0,0.0
ir_tbp_1_dft-pme3_1_dft-py_1_dft-iacn_1_dft-no2_1_smi1_1_s_1,1123.2,1530.0,3009.5,1497.0,224.0,0.0,0.0,14.6,19.9,39.1,19.4,2.9,0.0,0.0,87.5,119.2,234.5,116.7,17.5,0.0,0.0,20.568,28.018,55.108,27.413,4.101,0.0,0.0,32.092,43.716,85.985,42.772,6.399,0.0,0.0
ir_tbp_1_dft-pph3_1_dft-asme3_1_dft-co_1_dft-sh_1_smi1_1_s_1,754.4,1545.5,3263.5,2404.3,2442.7,671.8,0.0,9.8,20.1,42.4,31.2,31.7,8.7,0.0,39.2,80.3,169.5,124.9,126.9,34.9,0.0,13.814,28.301,59.76,44.028,44.729,12.302,0.0,21.553,44.157,93.242,68.696,69.79,19.195,0.0
ir_tbp_1_dft-pyz_1_dft-py_1_dft-hicn_1_iodide_1_smi1_1_s_1,1120.3,1797.1,1888.8,865.9,224.0,0.0,0.0,14.5,23.3,24.5,11.2,2.9,0.0,0.0,87.3,140.0,147.2,67.5,17.5,0.0,0.0,20.515,32.907,34.587,15.856,4.101,0.0,0.0,32.01,51.345,53.965,24.74,6.399,0.0,0.0
ir_tbp_1_dft-pet3_1_dft-asme3_1_dft-iacn_1_dft-cn_1_smi1_1_s_1,759.1,1500.5,4173.5,2680.7,0.0,0.0,0.0,9.9,19.5,54.2,34.8,0.0,0.0,0.0,39.4,77.9,216.8,139.3,0.0,0.0,0.0,13.9,27.476,76.424,49.089,0.0,0.0,0.0,21.688,42.871,119.244,76.592,0.0,0.0,0.0
ir_tbp_1_dft-nme3_1_dft-nme3_1_dft-co_1_dft-cn_1_smi1_1_s_1,765.5,1570.1,4023.3,0.0,0.0,0.0,0.0,9.9,20.4,52.3,0.0,0.0,0.0,0.0,39.8,81.6,209.0,0.0,0.0,0.0,0.0,14.017,28.752,73.673,0.0,0.0,0.0,0.0,21.871,44.861,114.95,0.0,0.0,0.0,0.0
ir_tbp_1_dft-pph3_1_dft-iz_1_dft-iacn_1_dft-cch_1_smi1_1_s_1,764.3,1338.8,2515.6,3737.6,2442.5,671.8,0.0,9.9,17.4,32.7,48.5,31.7,8.7,0.0,39.7,69.5,130.7,194.2,126.9,34.9,0.0,13.995,24.516,46.066,68.442,44.726,12.301,0.0,21.836,38.252,71.876,106.788,69.785,19.193,0.0
ir_tbp_1_dft-pet3_1_dft-asme3_1_dft-co_1_dft-no2_1_smi1_1_s_1,1118.5,1689.2,3964.8,2011.2,0.0,0.0,0.0,14.5,21.9,51.5,26.1,0.0,0.0,0.0,87.2,131.6,308.9,156.7,0.0,0.0,0.0,20.481,30.933,72.603,36.828,0.0,0.0,0.0,31.956,48.264,113.281,57.462,0.0,0.0,0.0
ir_tbp_1_dft-ime_1_dft-iz_1_dft-co_1_bromide_1_smi1_1_s_1,942.5,983.5,1663.3,2625.1,0.0,0.0,0.0,12.2,12.8,21.6,34.1,0.0,0.0,0.0,61.2,63.9,108.0,170.5,0.0,0.0,0.0,17.26,18.01,30.458,48.07,0.0,0.0,0.0,26.93,28.1,47.523,75.003,0.0,0.0,0.0
ir_tbp_1_dft-nme3_1_dft-sime_1_dft-iacn_1_dft-cn_1_smi1_1_s_1,1126.5,2201.0,4656.1,669.7,0.0,0.0,0.0,14.6,28.6,60.5,8.7,0.0,0.0,0.0,87.8,171.5,362.8,52.2,0.0,0.0,0.0,20.628,40.304,85.262,12.264,0.0,0.0,0.0,32.186,62.886,133.033,19.135,0.0,0.0,0.0
ir_tbp_1_dft-pyz_1_dft-asme3_1_dft-iacn_1_bromide_1_smi1_1_s_1,756.9,1167.3,3009.3,1540.0,0.0,0.0,0.0,9.8,15.2,39.1,20.0,0.0,0.0,0.0,39.3,60.6,156.3,80.0,0.0,0.0,0.0,13.861,21.376,55.105,28.2,0.0,0.0,0.0,21.627,33.352,85.979,44.0,0.0,0.0,0.0
ir_tbp_1_dft-pph3_1_dft-py_1_dft-iacn_1_dft-cn_1_smi1_1_s_1,763.9,1342.7,2249.6,3940.0,2666.5,671.8,0.0,9.9,17.4,29.2,51.2,34.6,8.7,0.0,39.7,69.7,116.9,204.7,138.5,34.9,0.0,13.988,24.587,41.193,72.148,48.828,12.302,0.0,21.825,38.362,64.273,112.571,76.186,19.194,0.0
ir_tbp_1_dft-pyz_1_dft-py_1_dft-hicn_1_dft-no2_1_smi1_1_s_1,1308.7,1757.2,1848.2,1300.9,224.0,0.0,0.0,17.0,22.8,24.0,16.9,2.9,0.0,0.0,119.0,159.7,168.0,118.3,20.4,0.0,0.0,23.965,32.177,33.844,23.822,4.101,0.0,0.0,37.391,50.205,52.807,37.17,6.399,0.0,0.0
ir_tbp_1_dft-oxaz_1_dft-py_1_dft-hicn_1_dft-icn_1_smi1_1_s_1,950.7,1528.0,2323.3,1310.6,0.0,0.0,0.0,12.3,19.8,30.2,17.0,0.0,0.0,0.0,61.7,99.2,150.9,85.1,0.0,0.0,0.0,17.408,27.981,42.544,23.999,0.0,0.0,0.0,27.162,43.658,66.38,37.445,0.0,0.0,0.0
ir_tbp_1_dft-iz_1_dft-sime_1_dft-co_1_fluoride_1_smi1_1_s_1,951.3,1022.6,1658.2,3100.5,0.0,0.0,0.0,12.4,13.3,21.5,40.3,0.0,0.0,0.0,61.8,66.4,107.7,201.3,0.0,0.0,0.0,17.419,18.726,30.364,56.775,0.0,0.0,0.0,27.179,29.218,47.376,88.585,0.0,0.0,0.0
ir_tbp_1_dft-pyz_1_dft-nme3_1_dft-co_1_dft-itcn_1_smi1_1_s_1,949.0,1767.5,3005.0,435.1,0.0,0.0,0.0,12.3,23.0,39.0,5.7,0.0,0.0,0.0,61.6,114.8,195.1,28.3,0.0,0.0,0.0,17.378,32.365,55.027,7.967,0.0,0.0,0.0,27.114,50.499,85.858,12.431,0.0,0.0,0.0
ir_tbp_1_dft-pyz_1_dft-pme3_1_dft-hicn_1_dft-cch_1_smi1_1_s_1,764.5,1339.0,3255.2,870.2,0.0,0.0,0.0,9.9,17.4,42.3,11.3,0.0,0.0,0.0,39.7,69.6,169.1,45.2,0.0,0.0,0.0,14.0,24.519,59.607,15.934,0.0,0.0,0.0,21.844,38.257,93.005,24.862,0.0,0.0,0.0
ir_tbp_1_dft-pph3_1_dft-sime_1_dft-hicn_1_dft-icn_1_smi1_1_s_1,765.7,1340.6,2488.0,4841.4,2481.1,671.8,0.0,9.9,17.4,32.3,62.9,32.2,8.7,0.0,39.8,69.6,129.2,251.5,128.9,34.9,0.0,14.022,24.548,45.559,88.654,45.433,12.302,0.0,21.878,38.302,71.085,138.325,70.889,19.194,0.0
ir_tbp_1_dft-iz_1_dft-py_1_dft-iacn_1_dft-itcn_1_smi1_1_s_1,950.0,1569.2,2029.6,1990.4,0.0,0.0,0.0,12.3,20.4,26.4,25.8,0.0,0.0,0.0,61.7,101.9,131.8,129.2,0.0,0.0,0.0,17.397,28.735,37.165,36.447,0.0,0.0,0.0,27.144,44.835,57.989,56.868,0.0,0.0,0.0
ir_tbp_1_dft-pme3_1_dft-pme3_1_dft-iacn_1_dft-oh_1_smi1_1_s_1,761.7,1573.3,4230.4,669.7,0.0,0.0,0.0,9.9,20.4,54.9,8.7,0.0,0.0,0.0,39.6,81.7,219.8,34.8,0.0,0.0,0.0,13.948,28.809,77.466,12.263,0.0,0.0,0.0,21.763,44.95,120.869,19.133,0.0,0.0,0.0
ir_tbp_1_dft-pet3_1_dft-py_1_dft-co_1_dft-cch_1_smi1_1_s_1,764.4,1340.4,2967.2,2877.0,224.0,0.0,0.0,9.9,17.4,38.5,37.4,2.9,0.0,0.0,39.7,69.6,154.1,149.5,11.6,0.0,0.0,13.997,24.546,54.334,52.683,4.101,0.0,0.0,21.839,38.298,84.777,82.201,6.399,0.0,0.0
ir_tbp_1_dft-pyz_1_dft-ime_1_dft-hicn_1_chloride_1_smi1_1_s_1,764.7,1006.8,1850.9,2831.8,0.0,0.0,0.0,9.9,13.1,24.0,36.8,0.0,0.0,0.0,39.7,52.3,96.2,147.1,0.0,0.0,0.0,14.003,18.436,33.894,51.855,0.0,0.0,0.0,21.849,28.766,52.884,80.908,0.0,0.0,0.0
